@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,4-8,12,16-17,19,24-25,30,32,35,37'

@attribute Sp12 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp16 numeric
@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp31 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp43 numeric
@attribute Sp45 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
115,94,84,102,106,79,83,103,92,118,81,102,121,100,113,3
102,79,84,94,102,79,76,78,84,104,81,84,99,79,104,3
98,83,80,89,115,87,87,85,84,108,85,84,103,87,109,3
115,94,92,111,120,91,87,92,88,122,92,88,107,92,113,3
106,87,88,111,115,91,87,92,92,113,88,88,107,87,109,3
73,76,80,94,106,83,83,81,80,100,81,84,99,83,100,7
91,74,76,87,100,74,74,67,75,96,71,74,87,70,88,4
95,81,84,103,104,85,85,83,79,104,87,46,40,114,104,3
107,92,88,107,118,92,88,83,88,113,87,86,104,85,108,3
54,70,53,54,71,63,63,67,55,74,62,59,56,66,76,5
54,63,56,54,71,63,63,67,55,70,67,59,53,70,73,5
99,79,84,99,104,79,79,100,82,108,81,96,108,86,105,3
116,92,88,111,118,92,87,89,90,117,89,87,108,86,110,3
107,87,88,107,109,83,87,89,86,112,92,92,108,86,119,3
109,89,90,109,112,89,92,90,92,110,86,97,115,97,124,3
113,92,90,113,122,96,103,86,87,114,109,89,115,101,135,3
104,89,90,104,108,92,89,86,92,105,83,85,106,90,114,3
100,81,82,100,104,81,81,79,79,105,83,85,102,80,101,3
96,81,86,96,104,81,81,79,79,97,83,85,102,83,101,3
63,66,59,60,73,63,66,60,63,68,60,74,79,65,82,7
60,63,59,56,76,66,70,57,63,72,64,67,79,62,74,5
95,79,83,95,93,75,72,80,78,101,76,80,94,76,94,3
91,68,79,88,93,68,68,73,82,93,73,80,85,68,94,4
88,68,75,84,90,68,72,73,78,93,69,80,85,72,94,4
84,72,75,88,90,68,75,69,74,89,76,72,69,83,111,4
108,86,92,108,114,90,90,90,93,114,90,92,111,87,106,3
95,83,83,99,101,79,79,87,89,114,87,88,111,91,111,3
99,83,83,103,105,86,79,83,82,105,83,84,98,79,106,3
40,122,42,37,119,129,136,135,44,131,135,43,31,139,133,2
37,129,44,34,124,136,136,131,44,120,139,43,31,139,133,2
92,76,82,102,110,83,83,83,84,106,91,50,87,81,108,3
97,83,82,97,105,83,90,87,84,106,87,88,107,88,113,3
115,90,93,115,114,90,90,87,92,111,83,88,107,88,113,3
106,90,93,111,110,94,87,87,92,111,87,88,107,88,108,3
106,87,89,106,114,90,90,91,88,115,87,88,107,85,108,3
88,69,74,84,85,69,69,72,68,86,72,71,83,74,91,7
79,69,67,79,82,65,62,72,72,82,68,76,83,67,83,7
79,62,67,75,74,62,58,68,72,78,57,71,79,67,79,7
120,98,88,120,125,98,102,103,88,133,103,88,121,104,123,3
94,72,80,89,90,68,72,74,76,96,74,67,58,100,113,4
89,68,80,89,90,72,68,70,71,96,88,59,45,116,128,2
111,91,88,102,115,87,87,88,88,108,88,79,107,87,113,3
106,87,92,111,111,87,83,88,92,113,85,88,107,83,109,3
106,87,88,111,115,83,91,88,88,113,88,88,107,92,109,3
111,91,88,111,111,87,87,88,88,118,88,93,107,87,109,3
106,87,88,106,111,87,87,88,88,108,88,93,111,87,113,3
106,87,92,106,111,87,83,88,88,113,85,88,103,83,109,3
106,87,88,102,106,83,83,85,88,108,88,88,107,87,109,3
98,79,84,98,106,83,83,74,76,96,67,71,83,67,89,7
81,68,72,77,78,61,57,67,71,79,63,75,79,71,85,7
126,107,88,126,139,103,103,108,88,134,104,90,128,107,127,3
107,85,84,99,104,78,78,87,84,104,79,90,113,89,104,3
107,88,88,107,113,88,88,87,93,113,87,86,109,85,112,3
107,88,88,107,113,88,85,87,93,109,87,90,109,89,112,3
79,67,71,75,87,67,63,71,71,85,67,70,83,70,80,7
