@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,8,12,16,20,22,25-26,30,33,36-37'

@attribute Sp11 numeric
@attribute Sp14 numeric
@attribute Sp16 numeric
@attribute Sp18 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp32 numeric
@attribute Sp34 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
76,87,98,79,76,88,85,95,79,103,103,79,79,3
80,83,89,79,79,74,78,54,79,95,91,75,79,5
72,68,73,65,65,67,67,79,71,79,75,67,67,7
80,88,112,88,85,87,83,103,82,104,104,82,85,3
92,88,103,85,88,92,87,107,90,104,109,90,89,3
88,85,103,85,81,79,79,95,86,104,104,82,85,3
80,81,91,78,74,75,71,83,86,100,100,82,81,7
60,67,54,70,63,71,67,51,66,63,60,59,66,5
79,83,103,79,79,85,85,96,79,99,95,83,75,3
84,87,99,87,83,85,78,100,52,48,77,83,83,3
84,83,107,87,87,85,85,104,83,99,103,87,83,3
88,83,99,83,87,85,85,100,83,99,99,87,86,3
88,87,103,87,87,89,85,104,87,103,103,92,86,3
55,67,51,67,62,63,66,53,63,66,63,63,64,5
55,67,48,62,67,66,70,49,63,63,66,59,64,5
78,66,83,66,66,72,68,91,78,84,84,74,76,4
90,89,104,85,89,86,86,108,93,111,106,89,87,3
90,89,104,89,92,86,86,103,89,111,106,89,90,3
82,81,96,85,85,79,83,99,82,102,106,89,83,3
66,66,63,66,63,68,60,66,74,84,79,67,65,7
92,86,108,86,90,97,97,115,92,120,120,88,102,3
46,127,32,131,131,136,133,34,44,31,34,44,135,2
71,75,99,83,86,97,76,102,44,40,73,84,83,3
92,86,103,83,83,90,90,106,88,111,106,88,87,3
92,83,103,86,83,90,83,111,88,111,111,92,91,3
78,83,102,83,80,79,79,98,80,95,99,80,78,3
78,80,97,80,76,76,76,94,80,99,95,80,74,4
74,76,75,80,90,109,128,34,46,34,31,46,146,2
44,136,34,133,97,135,139,40,43,31,31,46,132,2
89,87,106,87,87,83,87,111,88,103,107,88,88,3
93,94,106,87,87,87,87,102,88,107,107,88,88,3
89,83,102,87,80,83,83,106,88,103,107,88,92,3
85,87,102,80,83,83,87,111,88,107,103,84,88,3
82,87,97,87,80,83,79,94,68,79,79,71,67,3
44,139,34,135,135,139,135,31,44,32,34,48,125,2
44,135,31,135,139,135,135,34,48,34,37,44,129,2
64,83,102,83,91,103,81,103,48,37,58,79,79,2
84,83,106,87,83,88,88,107,88,103,111,93,92,3
88,83,111,91,87,88,88,107,93,107,107,88,87,3
84,91,111,87,87,85,85,103,88,103,103,84,83,3
92,91,106,91,91,88,88,107,88,107,107,88,87,3
88,94,111,91,91,92,85,103,93,116,111,88,83,3
76,76,89,72,72,67,63,79,71,79,79,71,62,7
92,88,103,85,88,83,87,103,86,104,104,86,89,3
88,85,107,85,85,87,83,103,90,109,109,86,85,3
88,85,107,88,88,83,83,103,86,104,100,86,85,3
71,74,87,70,67,71,67,83,70,79,87,74,66,7
84,79,99,79,79,85,81,100,92,108,103,83,79,3
44,154,29,150,150,151,151,29,46,40,30,42,150,2
93,87,107,87,87,89,89,109,92,112,108,92,90,3
93,92,103,87,83,89,89,109,92,108,103,87,86,3
84,83,107,87,92,85,89,104,87,112,103,83,86,3
75,67,79,62,71,66,63,75,71,77,77,71,64,7
46,140,32,133,125,135,131,34,44,34,34,42,129,2
66,85,96,81,85,98,79,99,47,40,60,82,80,2
90,89,109,89,85,86,86,112,89,106,106,89,90,3
90,85,109,85,92,94,98,117,93,115,111,89,90,3
86,85,100,81,85,79,72,84,67,79,71,67,58,7
52,109,40,139,157,126,115,34,44,31,40,50,116,2
46,131,34,131,124,129,129,34,44,31,31,44,124,2
46,131,37,127,124,126,126,34,47,34,37,44,120,2
52,98,84,79,83,115,94,92,44,37,40,64,79,2
87,86,103,86,86,90,90,106,84,102,106,88,87,3
92,94,108,86,86,90,83,106,92,106,111,92,91,3
87,86,108,86,90,87,87,106,92,111,111,92,87,3
87,90,103,83,86,90,87,106,92,111,111,88,87,3
92,90,112,94,98,97,90,111,92,120,106,80,76,3
63,60,70,60,60,55,58,75,64,66,69,68,72,7
71,68,88,72,68,65,65,79,76,77,77,68,57,7
89,80,75,83,108,83,83,40,84,95,95,64,96,2
42,150,29,143,143,142,146,31,50,36,31,46,139,2
44,136,34,129,129,135,131,31,46,31,34,46,125,2
89,87,106,87,90,87,83,111,88,107,103,88,85,3
47,124,34,120,124,121,121,36,51,37,40,48,116,2
44,124,37,120,109,125,125,36,48,34,37,48,125,2
60,54,66,57,57,34,45,57,59,54,54,59,46,5
76,76,85,72,68,70,67,75,71,75,75,67,58,7
46,132,34,128,125,129,125,29,46,29,29,46,118,2
84,85,103,88,88,79,87,111,52,49,79,86,85,3
88,85,103,85,88,83,87,107,90,104,104,90,89,3
88,88,107,92,88,92,87,111,90,109,113,90,92,3
92,92,112,92,92,96,96,111,90,109,113,95,96,3
88,83,99,79,79,78,81,96,79,91,91,83,79,4
44,146,29,146,146,144,144,32,42,32,34,46,142,2
44,137,34,133,133,136,136,32,46,32,34,42,135,2
48,112,45,100,129,129,118,43,46,34,34,49,116,2
93,92,107,87,87,89,92,113,96,112,112,92,90,3
63,42,51,29,37,52,48,53,59,57,51,52,57,5
67,62,79,67,75,59,59,75,63,66,66,63,64,7
95,96,118,92,96,98,90,99,89,102,92,82,73,3
82,81,91,78,74,79,75,95,78,88,92,78,80,4
63,103,34,144,144,79,120,32,78,88,63,47,133,2
43,140,29,133,125,135,139,32,50,43,31,44,133,2
92,86,99,75,75,73,80,92,76,89,89,80,79,4
96,90,108,90,90,94,94,115,97,115,115,88,91,3
59,53,66,57,64,58,58,71,57,52,59,60,65,7
44,136,34,136,133,139,135,31,43,29,31,46,121,2
44,129,34,129,129,124,124,34,50,36,36,50,121,2
53,83,43,101,108,124,113,31,43,29,29,43,128,2
76,76,89,79,79,81,78,95,84,99,95,79,79,4
80,79,89,79,76,78,78,91,84,95,95,79,75,4
80,79,94,76,72,78,81,87,79,95,91,79,75,4
84,76,85,72,72,81,74,87,79,91,91,84,79,4
44,142,31,139,139,143,139,31,48,34,32,44,137,2
88,94,111,91,87,81,78,95,84,95,95,84,79,7
64,57,55,46,42,63,56,61,71,83,79,63,75,5
57,54,49,50,50,63,52,51,55,51,54,59,54,5
44,124,29,113,116,135,128,29,41,27,27,41,129,2
76,74,91,74,81,79,75,95,82,96,96,82,78,4
80,81,99,81,81,79,79,99,82,96,100,82,78,4
80,81,103,81,78,79,79,95,82,100,96,78,78,4
76,74,87,78,78,79,79,99,78,91,91,82,81,4
43,128,29,128,132,137,129,27,43,27,27,43,133,2
48,116,42,104,116,129,129,49,52,48,60,63,64,2
71,67,75,67,67,70,66,75,71,81,77,71,68,7
75,71,83,75,75,74,70,83,75,88,84,75,72,7
41,129,27,133,116,147,133,27,42,30,30,42,127,2
82,78,100,81,78,79,83,95,85,97,92,82,76,4
82,81,96,78,78,83,83,95,82,92,92,78,76,4
46,129,32,125,122,120,116,40,50,43,40,47,104,2
63,55,71,55,55,53,53,70,63,67,71,63,55,7
78,74,83,70,74,75,75,84,74,84,84,70,69,7
59,70,56,70,63,72,72,57,67,67,56,57,76,5
83,83,95,83,79,80,76,92,84,98,102,84,83,4
56,60,51,68,68,58,65,53,57,55,55,53,83,5
46,113,45,72,72,104,94,40,44,29,31,47,87,2
89,83,97,80,80,91,83,98,97,116,112,92,88,3
67,51,67,55,51,54,57,69,60,71,71,60,56,7
63,55,71,58,62,57,57,73,68,71,75,64,59,7
78,73,84,69,69,72,72,81,80,87,87,71,74,7
70,69,75,69,69,72,76,69,64,68,71,64,78,5
57,73,53,76,65,72,76,52,71,71,61,56,74,5
88,79,98,79,79,85,92,112,97,111,111,97,92,3
57,98,55,102,87,70,63,71,67,68,72,67,54,7
68,54,66,54,54,52,52,71,67,72,72,63,54,7
68,54,69,57,57,59,56,71,67,72,68,67,54,7
68,61,77,61,61,56,56,71,67,72,72,67,58,7
68,74,75,67,70,67,67,72,66,75,71,66,66,5
64,70,61,70,74,67,62,68,66,63,67,66,63,5
50,96,36,107,107,96,100,29,43,27,29,49,100,2
93,96,116,96,92,92,96,118,96,112,117,96,94,3
93,92,111,92,83,92,89,104,83,95,84,75,57,3
67,54,72,54,54,59,59,71,63,77,84,71,68,7
67,79,68,75,71,78,78,71,71,77,73,67,75,5
99,96,118,96,92,94,94,117,101,120,120,97,94,3
99,92,113,92,89,98,90,112,97,115,106,93,90,3
90,89,109,89,89,90,90,112,89,111,111,93,90,3
99,92,113,96,89,94,90,108,93,111,106,85,80,3
90,89,104,85,74,68,57,73,67,71,67,63,51,7
70,63,71,55,55,53,53,66,63,67,67,60,55,7
63,55,71,55,59,57,57,73,67,71,75,63,58,7
63,59,75,59,55,60,60,77,67,79,75,67,58,7
66,59,71,55,55,64,68,73,67,75,84,70,65,7
66,55,71,55,55,57,57,70,67,71,75,70,62,7
70,55,71,59,59,64,64,81,70,79,79,74,65,7
66,70,75,70,74,72,72,81,70,79,84,74,76,7
43,103,32,107,107,116,109,30,44,29,34,47,97,2
96,94,117,94,94,97,94,115,101,120,115,97,94,3
63,57,73,57,60,58,58,71,64,73,73,64,61,7
71,68,73,60,57,62,65,79,68,73,73,64,61,7
63,57,70,57,57,58,62,75,68,73,77,68,61,7
67,60,77,64,64,65,65,79,68,77,81,72,65,7
63,68,73,72,72,73,73,84,76,94,89,72,79,7
46,127,32,120,101,126,129,34,44,29,29,44,124,2
63,55,71,58,58,57,61,73,64,75,75,68,59,7
70,65,79,58,58,57,61,73,68,71,71,64,59,7
67,58,75,62,62,61,61,77,64,75,75,68,59,7
78,76,97,76,80,76,76,94,76,91,87,80,78,7
70,58,75,69,65,68,61,73,76,83,83,68,70,4
67,65,84,76,94,65,72,85,68,83,79,71,74,4
70,76,79,94,115,72,79,66,68,79,83,71,81,4
64,57,73,61,61,63,56,75,67,72,75,67,58,7
68,57,73,57,61,59,56,71,63,72,68,67,58,7
41,128,31,124,113,132,128,31,44,32,29,44,129,2
92,92,112,96,96,92,92,121,95,118,118,95,96,3
71,63,79,67,63,62,62,79,66,79,79,70,63,7
71,67,87,74,74,67,71,87,70,83,79,70,70,7
80,74,91,74,74,71,71,83,70,79,87,66,70,7
76,74,87,74,78,71,75,95,70,83,87,74,78,7
67,58,72,58,58,59,59,71,67,73,73,63,57,7
67,58,72,58,54,63,59,71,67,73,73,67,57,7
71,62,79,67,62,59,63,79,67,73,77,67,60,7
75,75,79,67,67,89,78,79,67,95,88,67,72,4
75,71,79,83,108,66,74,83,71,84,84,75,72,4
96,90,103,86,90,65,83,115,64,73,89,88,98,3
87,83,88,72,64,80,73,79,80,98,85,76,65,7
71,60,77,60,60,62,62,79,68,73,73,68,61,7
63,68,84,75,83,73,80,102,68,94,111,76,102,1
75,86,103,86,83,97,101,111,72,115,115,72,98,1
46,105,37,98,101,101,90,56,64,73,81,72,72,2
60,65,84,73,80,76,83,111,68,91,103,76,99,1
67,80,102,90,97,94,102,115,76,116,112,80,103,1
70,90,97,80,80,98,91,94,76,116,112,68,88,1
74,73,84,65,65,72,68,85,71,87,91,76,70,4
68,57,73,54,61,59,59,75,67,75,72,67,58,7
84,79,98,72,68,74,78,87,79,91,91,75,75,4
68,61,77,61,57,59,59,75,71,75,75,67,58,7
68,54,73,54,57,59,59,75,67,72,75,67,58,7
68,63,79,59,56,62,58,75,66,75,71,63,74,7
71,99,103,88,81,100,96,103,66,113,113,66,100,1
76,70,79,63,63,58,58,68,59,63,63,63,55,7
80,78,95,78,74,79,75,91,70,83,91,74,78,4
71,75,83,71,71,81,74,71,75,88,91,71,64,7
67,58,72,58,58,55,55,67,63,66,66,63,60,7
75,75,91,71,71,78,78,87,71,84,91,75,72,4
66,59,75,63,59,64,64,73,67,79,79,67,62,7
66,63,100,85,89,60,72,99,63,75,79,74,76,7
82,89,96,81,81,83,83,99,74,92,102,82,83,4
82,81,100,81,81,83,83,99,82,102,97,82,83,4
66,63,79,63,63,64,64,77,67,75,75,67,65,7
66,100,113,100,100,98,98,108,63,111,120,63,101,1
63,52,63,52,55,57,53,66,70,71,67,63,62,7
63,55,67,55,55,60,57,66,63,71,71,67,62,7
79,75,91,72,75,76,76,88,84,94,85,76,76,4
75,75,91,79,83,76,83,102,76,94,102,84,83,4
67,60,73,64,64,69,62,75,76,89,81,72,61,7
63,83,60,83,86,87,90,56,57,59,55,57,83,5
59,86,57,86,86,94,90,56,57,55,55,57,76,5
79,98,108,98,98,101,101,111,68,115,111,68,98,1
74,83,84,83,80,83,83,98,80,95,99,80,81,3
57,76,67,65,62,72,68,66,56,57,57,56,67,5
63,76,102,94,101,83,98,115,64,99,112,68,99,1
67,101,111,97,97,98,98,115,68,112,116,64,103,1
67,104,106,94,87,102,102,106,64,116,116,68,96,1
63,62,71,62,62,61,65,69,68,75,75,64,59,7
76,79,94,76,68,78,67,87,75,91,83,71,67,7
57,68,66,65,65,70,67,75,55,54,51,59,67,5
80,78,91,74,63,83,83,91,82,100,100,82,85,3
60,74,54,70,78,50,54,58,52,49,56,56,59,5
56,70,57,78,78,54,62,58,52,56,60,59,66,5
84,75,87,75,75,78,78,71,83,103,91,71,75,4
71,75,91,71,62,66,70,87,67,73,84,75,75,7
55,71,58,71,71,74,74,53,49,54,54,52,75,5
74,70,79,63,63,72,68,81,74,88,92,67,69,4
66,41,49,33,44,34,42,48,60,63,46,50,51,5
59,66,60,70,74,68,72,51,53,53,56,53,73,5
66,100,113,100,100,98,101,112,63,111,111,67,101,1
70,100,113,96,89,101,101,108,67,111,111,70,97,1
66,63,79,66,59,57,64,81,60,67,63,67,69,7
67,101,108,101,90,94,97,111,68,111,111,68,102,1
71,90,88,75,68,97,87,79,68,111,106,64,79,1
63,57,66,57,57,65,58,71,72,77,73,64,57,7
63,57,70,57,60,58,58,71,68,73,69,60,54,7
74,76,84,69,69,72,68,85,76,87,91,76,70,4
70,65,88,73,80,68,76,98,71,79,87,80,78,7
74,73,92,80,80,76,76,98,76,87,91,80,78,7
78,80,92,80,83,76,76,94,80,91,95,80,81,7
53,69,53,73,69,68,65,52,56,51,51,53,59,5
76,72,94,68,65,70,74,87,79,91,91,75,71,4
72,68,89,76,76,70,74,91,71,79,83,75,75,7
53,61,52,65,68,67,63,51,55,54,54,55,58,5
68,98,115,98,98,96,96,107,71,111,107,67,96,1
68,98,111,98,98,96,96,107,71,107,103,67,96,1
71,70,83,67,70,67,71,91,74,87,87,78,70,4
68,63,83,67,63,62,67,79,66,79,83,66,66,7
76,81,75,81,74,79,75,79,74,91,91,82,78,4
80,85,103,85,81,87,87,99,82,104,104,82,89,3
53,59,51,59,63,67,71,58,52,56,56,56,78,5
64,99,116,99,96,100,100,111,63,113,109,63,96,1
68,96,112,103,99,96,100,111,66,104,113,70,103,1
79,71,91,71,71,74,70,87,75,88,91,79,72,4
84,87,107,92,87,81,81,104,75,84,84,79,83,3
71,100,111,96,96,96,96,109,63,108,103,63,90,1
67,96,107,96,100,96,92,104,63,103,103,63,94,1
67,100,111,96,96,103,96,109,63,108,108,63,98,1
78,70,87,74,74,72,72,91,78,92,92,82,69,4
82,81,91,78,74,79,79,88,70,84,88,74,73,4
59,66,63,66,70,68,68,73,60,67,49,60,65,5
70,70,79,74,70,72,75,81,60,60,75,70,73,7
66,100,109,96,96,98,98,112,67,106,111,63,94,1
66,103,113,103,96,98,98,108,63,106,111,63,101,1
66,96,104,96,100,98,98,112,63,106,111,63,104,1
75,79,95,79,79,69,76,79,64,73,81,72,76,4
75,75,95,83,86,69,80,106,72,94,98,80,87,7
79,83,103,86,86,80,87,111,80,98,102,80,94,3
56,57,54,60,64,69,80,63,64,69,81,80,91,5
67,83,91,86,90,97,104,120,80,106,111,76,94,1
75,79,99,86,98,80,83,97,64,89,85,64,83,1
63,94,103,94,90,90,94,102,64,102,102,64,94,1
67,98,99,94,79,94,101,106,68,111,111,72,98,1
59,60,70,60,57,58,58,71,68,77,73,64,61,7
67,87,84,87,90,91,102,115,92,116,121,88,96,3
93,97,120,104,101,91,98,111,80,87,83,71,88,1
80,72,94,76,72,74,74,91,79,87,91,79,71,4
64,57,81,68,76,59,63,79,67,75,68,67,62,7
76,68,85,72,76,70,74,99,75,87,91,84,83,7
64,87,81,87,91,88,96,112,75,103,99,75,92,3
68,102,111,98,98,96,99,112,67,111,111,71,100,1
80,70,91,74,74,75,71,91,78,87,87,74,70,4
80,78,95,78,70,83,75,87,78,83,96,82,78,7
64,78,87,81,88,83,92,103,78,109,100,70,92,3
60,88,95,88,92,92,92,103,63,104,104,59,92,1
64,96,107,92,92,92,96,103,63,100,100,66,96,1
64,96,103,99,96,92,96,107,66,100,100,63,96,1
59,54,79,75,83,55,59,83,63,63,70,79,83,5
75,83,107,92,96,92,92,100,67,99,95,63,90,1
75,96,99,96,92,92,92,87,63,91,91,59,86,1
63,92,99,87,92,92,92,104,59,91,88,59,90,1
63,87,107,92,92,92,81,96,63,99,99,59,86,1
63,100,107,100,100,96,100,109,67,103,108,67,94,1
67,100,111,96,96,100,96,113,67,108,108,67,98,1
66,59,79,63,70,57,57,84,67,75,71,63,62,7
74,70,83,66,63,68,72,84,63,75,84,70,73,7
78,78,96,85,78,83,83,95,78,92,97,82,87,7
82,85,113,96,96,94,101,117,93,120,115,93,101,3
63,81,96,89,92,90,90,99,57,88,88,57,87,1
66,96,104,92,89,79,83,95,63,84,84,67,76,1
63,92,109,96,96,86,86,103,63,79,84,67,76,1
66,96,113,96,100,94,94,108,63,111,106,67,94,1
63,86,95,86,86,90,94,102,64,106,102,64,94,1
63,94,108,101,98,97,94,111,64,111,111,72,98,1
67,101,108,98,98,94,97,111,72,111,111,72,98,1
63,55,71,55,58,57,61,73,68,71,71,64,56,7
63,58,71,58,58,57,57,73,64,75,71,64,56,7
67,69,88,73,73,68,83,106,68,75,87,88,85,7
74,73,92,87,83,79,79,94,76,83,83,80,81,7
63,90,97,94,87,98,94,106,64,107,112,64,96,1
88,94,111,94,98,96,103,112,88,121,111,79,96,3
88,102,111,94,94,99,92,103,71,103,99,63,87,1
53,83,89,83,79,85,74,75,51,72,68,51,79,1
60,98,106,98,94,92,96,112,63,95,107,71,96,1
64,94,102,87,83,96,99,112,79,111,116,75,96,1
68,94,111,98,94,96,96,112,71,111,111,71,100,1
68,67,79,59,59,71,67,72,70,83,91,82,85,7
76,70,83,70,78,71,75,87,70,75,87,74,74,7
88,92,112,96,103,96,100,111,86,100,104,78,96,3
53,74,79,78,78,79,79,72,56,79,75,52,74,1
68,99,112,99,96,100,96,111,66,109,109,66,96,1
67,58,72,54,58,55,55,71,63,66,73,67,57,7
63,58,72,58,54,55,59,67,63,73,77,71,68,7
67,58,72,58,58,59,59,75,75,88,95,83,83,7
79,75,87,71,75,74,78,87,63,66,77,67,68,7
75,79,83,79,87,74,78,91,71,77,91,87,90,7
88,87,103,92,96,81,92,100,87,103,108,87,94,3
51,79,75,79,75,78,78,71,52,70,70,52,75,1
55,79,83,83,83,85,78,79,56,88,84,52,79,1
51,83,79,79,75,78,78,83,52,81,73,56,83,1
66,55,71,55,55,57,57,73,67,84,97,82,80,7
70,63,83,70,78,83,86,112,85,106,102,89,94,3
74,78,79,74,74,68,68,77,67,71,75,67,73,7
74,74,83,78,81,72,83,103,67,71,88,89,94,7
86,92,100,92,92,98,94,108,85,106,102,74,90,3
49,78,67,78,78,75,75,73,50,67,71,50,80,1
52,78,71,78,74,75,75,84,50,71,75,53,80,1
56,85,91,89,85,86,86,88,53,79,79,53,83,1
66,96,113,96,100,94,98,108,63,106,111,67,87,1
67,64,81,68,72,83,83,102,84,106,102,84,87,3
87,83,99,86,90,87,87,106,88,106,106,88,94,3
52,79,73,79,79,76,73,71,53,69,66,50,76,1
52,68,70,72,79,73,76,79,53,73,73,57,76,1
59,86,91,86,83,73,80,84,57,77,81,57,79,1
56,83,84,83,79,83,83,84,57,85,85,53,79,1
56,83,84,83,79,87,87,88,57,89,94,60,87,1
63,98,103,94,94,94,90,106,53,66,94,64,91,1
89,87,106,87,87,87,87,106,84,103,103,88,81,3
67,73,63,69,65,65,61,66,64,68,68,76,81,7
47,73,67,76,76,76,76,73,53,61,68,64,85,1
60,83,102,94,90,98,91,94,43,31,34,46,107,2
67,90,88,83,83,94,94,89,76,95,99,80,96,5
88,87,106,91,87,92,88,103,88,107,107,88,87,3
50,76,66,76,76,74,67,68,48,61,61,51,71,1
50,76,66,76,76,67,74,83,51,61,68,59,75,1
60,94,106,94,98,92,96,107,67,103,107,67,96,1
60,87,98,91,91,107,92,95,44,32,34,51,104,2
72,94,89,94,91,99,96,95,75,99,99,75,96,5
68,68,66,68,68,70,67,61,48,42,48,51,62,5
84,81,99,85,81,83,87,103,90,100,104,90,81,3
88,81,103,85,88,79,79,99,82,96,96,82,78,3
46,107,75,92,88,129,125,58,46,34,32,46,133,2
71,92,95,99,96,96,96,99,70,96,96,74,96,5
88,87,103,83,83,85,81,100,87,99,99,83,79,3
88,83,103,83,87,81,81,100,83,99,95,83,83,3
84,92,103,92,92,89,89,100,87,99,99,75,90,3
88,92,103,92,96,89,92,104,79,99,99,67,90,3
51,71,68,71,71,74,70,67,49,73,77,49,75,1
51,71,68,71,75,66,70,71,52,70,70,52,75,1
63,83,87,83,83,81,81,83,59,81,81,56,79,1
67,87,95,87,83,92,92,96,67,99,99,63,90,1
63,83,95,87,92,89,89,96,63,103,103,59,90,1
51,104,87,83,83,133,114,71,42,30,30,46,124,2
90,85,100,81,81,83,83,95,85,97,97,82,80,3
90,89,104,89,89,86,86,103,89,102,102,89,94,3
86,89,100,89,92,86,86,99,78,92,97,67,94,3
59,81,87,85,92,86,94,99,57,88,88,60,83,1
63,92,100,92,89,94,94,103,70,106,97,63,90,1
63,89,96,89,89,90,90,99,63,97,102,63,90,1
66,92,104,103,100,94,94,108,63,97,102,74,104,1
70,100,113,100,100,101,101,112,67,102,106,70,101,1
66,100,109,100,100,101,101,112,67,106,111,67,97,1
59,107,43,122,118,98,98,54,67,111,88,47,122,1
82,85,63,78,74,86,75,60,74,88,84,63,73,5
49,66,53,66,63,68,64,63,60,63,63,63,62,7
87,86,112,94,98,94,94,115,88,111,115,92,87,3
92,94,112,98,90,94,97,106,92,115,106,88,83,3
52,72,70,72,75,65,73,75,50,69,69,53,76,1
59,86,88,86,86,83,87,97,53,89,94,57,83,1
63,83,84,94,98,90,80,88,53,55,73,64,79,5
89,87,102,87,94,87,87,111,84,103,112,92,88,3
97,97,106,94,80,87,83,102,80,99,103,84,85,3
53,83,71,76,80,76,72,69,50,71,68,50,70,1
53,73,84,80,83,76,76,77,53,75,79,53,81,1
63,90,102,90,90,83,83,98,60,75,68,64,88,1
44,133,31,133,136,131,131,31,46,39,48,50,96,2
84,87,102,87,87,81,88,112,84,95,99,88,87,3
88,91,115,94,87,88,88,99,88,107,99,84,79,3
53,79,73,76,72,74,67,68,55,72,68,51,71,1
53,76,77,76,76,81,78,83,59,83,99,67,87,1
68,91,89,83,83,88,78,68,67,83,72,55,75,1
60,83,85,83,91,78,74,83,59,72,68,63,83,1
64,91,94,87,87,85,88,95,67,103,95,59,92,1
64,94,106,98,98,99,99,103,71,111,99,67,92,1
68,98,102,94,94,96,92,91,67,91,75,59,92,1
50,74,75,78,78,75,75,79,49,71,71,52,78,1
68,88,91,85,88,92,87,83,66,83,87,70,89,1
68,88,99,85,88,92,92,95,59,79,87,63,89,1
71,99,112,99,99,100,96,99,70,100,100,66,96,1
60,92,64,99,114,92,83,79,63,75,100,70,89,1
53,114,36,128,128,87,92,61,70,100,79,63,92,5
56,85,64,85,81,83,79,61,56,60,60,56,78,5
84,79,103,83,87,81,81,104,83,99,103,87,86,3
48,71,72,75,75,74,74,71,49,77,66,49,75,1
51,75,72,71,71,74,70,71,52,66,70,52,72,1
63,83,87,87,92,92,89,96,67,103,99,67,94,1
71,100,111,96,96,92,96,104,75,108,103,71,98,1
59,79,64,92,100,74,74,71,49,45,51,59,72,5
82,81,100,81,85,83,86,99,89,102,102,85,94,3
63,92,91,89,81,90,86,81,53,84,79,50,80,1
49,78,71,74,78,75,72,70,50,75,75,53,73,1
66,81,83,81,89,83,83,77,63,75,79,60,80,1
74,78,91,81,81,79,83,91,74,88,92,74,76,4
83,83,103,86,86,87,87,102,84,102,106,88,98,3
87,86,99,86,90,87,94,92,88,106,106,76,91,3
52,72,70,72,75,76,73,71,57,77,73,50,68,1
59,86,95,86,83,83,83,84,60,73,73,60,79,1
63,86,88,83,83,90,83,75,64,85,81,60,79,1
75,98,108,94,94,97,97,106,72,106,106,76,94,1
85,94,92,87,90,98,91,94,84,107,107,68,92,1
57,80,84,80,83,79,79,73,60,79,87,60,81,1
70,97,106,94,94,94,94,102,64,103,107,71,96,1
70,94,106,94,97,94,94,106,71,103,103,71,96,1
67,90,88,83,80,94,87,89,68,75,87,71,81,4
80,76,94,76,79,81,81,95,88,99,103,88,87,3
84,79,106,87,94,92,96,112,93,111,111,93,96,3
53,76,77,79,79,74,81,87,59,79,87,63,83,1
68,91,98,91,91,88,92,107,71,103,107,71,96,1
64,94,102,94,94,96,96,103,67,107,107,71,96,1
72,94,106,91,94,96,96,107,71,107,107,75,96,1
76,94,106,91,94,99,103,112,75,103,107,79,100,1
72,94,111,94,94,96,99,107,79,103,111,84,96,1
80,81,95,85,92,87,92,111,86,104,109,90,96,3
84,81,99,81,81,79,79,99,82,96,91,82,81,3
84,92,107,96,96,96,100,107,90,104,109,86,100,3
84,96,107,96,92,100,100,103,95,109,104,74,96,1
50,78,79,78,81,79,75,75,49,71,71,49,70,1
71,96,103,92,92,96,96,103,66,100,104,70,96,1
60,99,64,96,96,92,96,87,59,83,79,66,96,5
76,76,89,76,76,78,74,95,79,95,95,75,75,4
76,76,94,72,76,74,74,87,75,87,91,75,67,4
