@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R5,15,17-19,23-24,27,29,31,35,37'

@attribute Sp15 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp39 numeric
@attribute Sp42 numeric
@attribute Sp44 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
80,104,84,99,104,104,81,113,84,104,104,3
68,87,68,83,87,87,70,81,71,81,85,4
76,87,76,91,91,104,81,85,67,96,96,4
88,118,88,112,113,113,88,113,88,104,109,3
84,113,88,103,113,113,88,118,93,113,113,3
88,113,92,107,118,118,88,109,88,109,109,3
88,113,88,99,104,104,85,109,84,104,100,3
88,109,84,103,113,113,92,112,90,112,112,3
92,113,93,107,109,109,92,112,90,112,112,3
88,109,88,107,109,109,87,108,90,108,112,3
88,100,88,103,109,113,83,104,86,96,104,3
88,104,84,99,109,104,83,104,86,104,100,3
67,104,49,40,112,122,125,119,46,119,119,2
84,117,63,67,104,104,78,119,52,110,97,2
88,108,90,104,112,112,85,105,87,114,114,3
84,112,90,109,112,108,89,110,87,119,110,3
84,104,86,100,104,100,81,105,87,105,97,3
79,108,86,100,112,112,85,105,83,105,105,3
75,112,86,100,112,100,81,105,83,105,105,3
59,119,46,37,119,119,131,124,44,124,124,2
86,110,87,99,105,105,86,110,89,114,110,3
82,101,83,99,105,101,79,114,89,105,110,3
86,105,83,103,105,105,83,105,82,105,105,3
82,105,87,103,105,97,72,105,82,105,105,3
87,124,93,115,124,135,104,125,88,131,136,3
96,135,93,130,129,129,97,136,88,136,125,3
79,93,78,88,97,97,73,98,80,94,94,4
87,110,85,102,110,105,83,106,88,111,115,3
87,105,82,97,105,114,90,115,84,106,111,3
87,114,89,102,114,114,87,120,88,111,111,3
79,110,85,102,105,101,83,106,88,111,111,3
59,74,60,63,74,74,62,78,64,74,78,7
89,125,88,120,125,131,102,139,88,133,128,3
42,120,44,34,131,125,135,133,43,128,128,2
85,111,88,102,115,106,87,108,88,108,108,3
93,111,88,106,106,106,83,113,88,113,108,3
89,106,88,111,115,115,91,113,88,113,113,3
89,115,92,111,115,115,91,118,88,113,113,3
89,111,88,102,106,106,83,113,88,108,113,3
47,128,46,34,133,128,135,123,44,118,123,2
64,118,50,51,113,104,81,128,48,123,104,2
92,118,88,107,113,108,85,113,93,109,109,3
88,113,88,103,113,113,88,109,84,113,118,3
80,104,80,95,91,96,70,93,71,77,85,7
88,134,88,121,128,123,96,133,90,127,122,3
80,100,84,91,100,100,79,100,82,96,100,4
80,100,84,95,100,100,75,96,82,100,96,4
76,96,59,58,104,113,116,108,49,122,127,2
43,123,48,34,123,128,129,117,49,117,122,2
92,109,88,107,104,109,87,108,86,104,112,3
88,109,88,107,109,109,92,112,86,108,108,3
88,113,88,107,109,113,87,108,90,108,100,3
88,112,90,113,122,112,92,114,92,119,119,3
88,112,86,104,108,104,85,110,87,105,114,3
93,108,86,104,112,108,89,105,83,110,105,3
93,122,95,113,117,112,92,114,92,110,101,3
78,101,79,91,105,101,90,97,53,114,119,4
46,140,42,30,135,130,142,135,44,124,129,2
46,119,46,37,130,124,124,114,47,119,114,2
86,105,87,108,110,114,86,110,89,114,110,3
86,110,92,108,114,105,86,114,89,110,114,3
96,124,93,120,124,119,94,120,92,115,115,3
92,124,93,115,119,119,90,115,88,115,111,3
87,119,93,106,114,101,80,111,92,115,111,3
42,124,44,34,129,124,143,136,44,136,136,2
46,114,47,37,114,114,115,120,44,120,115,2
87,110,93,106,114,114,90,106,88,111,111,3
87,110,89,106,114,114,94,115,92,120,120,3
71,82,70,84,93,85,69,86,72,90,86,7
89,115,88,102,111,111,91,113,84,113,113,3
50,120,50,40,115,111,116,128,46,122,108,2
44,136,44,31,136,131,135,133,46,133,122,2
44,136,44,31,131,120,131,133,46,122,122,2
44,120,44,31,120,115,124,122,46,122,122,2
93,115,88,111,115,115,87,108,92,113,118,3
85,111,88,106,111,111,91,108,92,108,113,3
97,120,92,120,120,111,87,122,88,108,91,3
67,67,60,62,67,74,61,67,53,67,75,7
60,74,64,66,67,71,57,79,68,71,71,7
88,113,92,112,113,118,88,113,93,113,118,3
44,128,46,34,128,128,132,128,48,134,123,2
84,100,84,99,104,113,88,109,79,100,109,3
88,104,88,103,113,108,88,104,88,109,113,3
88,113,88,107,113,113,88,118,88,113,118,3
64,79,64,68,71,75,63,77,67,74,70,7
72,79,71,79,79,75,59,70,67,74,74,7
50,134,44,32,134,128,133,133,46,133,127,2
53,118,48,40,118,104,100,127,46,122,112,2
43,118,48,40,113,113,116,112,49,112,117,2
88,109,88,111,109,113,87,100,86,108,108,3
92,118,93,111,118,118,92,117,90,117,122,3
68,74,63,68,74,74,58,73,63,69,76,7
44,127,43,32,133,138,144,114,42,130,130,2
44,117,43,29,138,127,133,105,46,124,130,2
63,73,66,67,80,73,59,65,59,72,79,7
75,80,70,79,84,84,66,75,67,79,75,7
46,130,46,32,130,135,142,124,44,129,124,2
49,119,49,34,114,105,116,114,44,114,119,2
46,119,42,34,110,110,116,124,44,114,114,2
