@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1-2,7,10,12,15-17,21,26-28,31,33,37'

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp17 numeric
@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp26 numeric
@attribute Sp27 numeric
@attribute Sp28 numeric
@attribute Sp33 numeric
@attribute Sp38 numeric
@attribute Sp39 numeric
@attribute Sp41 numeric
@attribute Sp44 numeric
@attribute Sp46 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
76,102,106,94,76,118,88,80,80,103,104,83,104,79,3
80,94,98,77,79,96,74,71,60,95,100,83,104,75,5
72,81,78,69,65,79,67,71,71,79,77,67,81,67,7
80,107,118,107,85,113,87,79,79,104,104,85,108,82,3
92,112,113,107,88,118,92,93,93,104,117,92,112,90,3
88,99,108,95,81,100,79,88,88,104,108,89,104,82,3
80,91,100,83,74,100,75,75,75,100,112,85,112,82,7
60,68,75,54,63,77,71,55,55,63,76,66,73,59,5
79,103,104,95,79,108,85,82,78,99,105,83,101,83,3
84,99,109,103,83,104,85,82,86,48,110,105,97,83,3
84,103,113,107,87,108,85,90,86,99,105,83,105,87,3
88,107,109,103,87,108,85,86,86,99,110,83,105,87,3
88,107,109,103,87,108,89,86,86,103,105,83,110,92,3
55,54,74,48,62,73,63,59,59,66,68,57,72,63,5
55,51,70,48,67,76,66,59,56,63,72,60,72,59,5
78,87,92,83,66,93,72,75,75,84,93,69,89,74,4
90,109,112,104,89,114,86,92,92,111,110,94,114,89,3
90,104,108,104,92,110,86,92,92,111,110,87,110,89,3
82,96,104,100,85,101,79,83,87,102,114,87,114,89,3
66,71,76,60,63,86,68,67,63,84,85,69,85,67,7
92,103,114,103,90,119,97,89,93,120,125,98,125,88,3
46,37,119,34,131,124,136,42,44,31,120,139,131,44,2
71,77,105,103,86,105,97,74,82,40,120,120,106,84,3
92,103,105,103,83,114,90,89,93,111,115,87,111,88,3
92,103,110,99,83,105,90,89,89,111,111,87,115,92,3
78,102,105,102,80,102,79,80,80,95,100,78,104,80,3
78,102,101,92,76,102,76,84,80,99,100,74,100,80,4
74,88,93,63,90,111,109,50,47,34,133,146,139,46,2
44,34,119,56,97,131,135,41,44,31,128,135,128,46,2
89,111,114,106,87,106,83,88,88,103,108,88,113,88,3
93,111,114,111,87,111,87,88,84,107,113,88,108,88,3
89,97,105,102,80,106,83,88,88,103,108,85,113,88,3
85,102,101,97,83,106,83,88,84,107,113,88,113,84,3
82,106,105,97,80,102,83,80,76,79,83,67,83,71,3
44,31,131,31,135,133,139,43,43,32,134,137,128,48,2
44,34,125,31,139,128,135,43,46,34,128,129,123,44,2
64,73,106,111,91,113,103,71,88,37,123,125,104,79,2
84,102,106,111,83,108,88,92,88,103,109,87,109,93,3
88,111,115,111,87,113,88,88,88,107,113,92,109,88,3
84,106,115,106,87,108,85,88,84,103,113,87,104,84,3
92,111,115,115,91,113,88,88,88,107,109,87,109,88,3
88,111,120,106,91,118,92,88,88,116,118,96,113,88,3
76,94,86,85,72,87,67,71,68,79,85,67,81,71,7
92,107,113,103,88,104,83,88,88,104,104,85,112,86,3
88,107,113,103,85,113,87,84,84,109,112,89,108,86,3
88,103,113,107,88,109,83,84,88,104,108,85,108,86,3
71,83,91,83,67,89,71,75,75,79,84,66,92,74,7
84,99,104,95,79,104,85,82,82,108,114,90,105,83,3
44,32,145,29,150,138,151,49,46,40,119,139,135,42,2
93,107,113,111,87,112,89,90,86,112,119,90,110,92,3
93,107,113,103,83,112,89,90,86,108,110,86,105,87,3
84,103,113,111,92,108,85,86,86,112,114,90,105,83,3
75,79,85,87,71,80,66,70,70,77,82,64,79,71,7
46,29,127,32,125,124,135,46,46,34,124,143,119,42,2
66,71,104,104,85,110,98,75,87,40,114,115,105,82,2
90,109,108,104,85,105,86,87,87,106,114,87,110,89,3
90,104,117,109,92,114,94,92,92,115,114,90,114,89,3
86,104,108,104,85,101,79,75,75,79,78,62,78,67,7
52,45,119,30,157,119,126,50,44,31,120,131,115,50,2
46,34,124,34,124,119,129,44,44,31,120,131,120,44,2
46,34,130,34,124,114,126,47,47,34,115,120,120,44,2
52,51,101,99,83,114,115,57,82,37,115,120,111,64,2
87,103,110,103,86,110,90,89,89,102,102,87,111,88,3
92,108,110,103,86,114,90,89,89,106,115,87,111,92,3
87,103,110,112,90,114,87,89,89,111,115,91,120,92,3
87,112,105,99,86,114,90,89,89,111,111,87,115,88,3
92,112,114,117,98,119,97,93,89,120,120,94,111,80,3
63,66,72,73,60,70,55,67,67,66,67,54,74,68,7
71,77,93,84,68,85,65,67,67,77,90,68,78,68,7
89,106,97,49,108,111,83,76,53,95,100,85,100,64,2
42,29,124,34,143,131,142,44,44,36,118,128,139,46,2
44,34,119,34,129,131,135,44,44,31,122,132,122,46,2
89,111,114,106,90,106,87,88,88,107,108,88,104,88,3
47,37,120,37,124,118,121,43,46,37,118,112,113,48,2
44,37,115,40,109,122,125,50,50,34,123,125,118,48,2
60,69,67,69,57,53,34,56,60,54,63,42,63,59,5
76,81,90,77,68,87,70,68,71,75,85,67,74,67,7
46,31,122,34,125,128,129,44,48,29,127,133,122,46,2
84,99,113,107,88,100,79,88,88,49,112,107,100,86,3
88,103,113,107,88,104,83,88,93,104,112,89,112,90,3
88,107,113,112,88,113,92,93,88,109,117,89,112,90,3
92,112,118,112,92,118,96,93,93,109,112,89,117,95,3
88,95,100,95,79,104,78,82,82,91,97,75,97,83,4
44,34,134,34,146,133,144,43,46,32,130,146,130,46,2
44,32,128,32,133,133,136,46,49,32,124,139,124,42,2
48,40,104,37,129,122,129,49,52,34,119,127,114,49,2
93,107,113,111,87,117,89,90,90,112,114,90,119,92,3
63,61,50,54,37,69,52,59,56,57,55,42,58,52,5
67,75,85,87,75,73,59,63,66,66,79,64,72,63,7
95,118,117,113,96,114,98,92,92,102,110,83,101,82,3
82,96,92,83,74,101,79,79,79,88,93,76,93,78,4
63,56,127,32,144,93,79,56,42,88,93,76,101,47,2
43,29,127,29,125,124,135,42,42,43,110,111,124,44,2
92,99,101,91,75,89,73,78,78,89,98,76,94,80,4
96,112,119,112,90,114,94,93,97,115,115,94,120,88,3
59,60,72,73,64,70,58,63,67,52,71,61,78,60,7
44,34,124,34,133,125,139,47,44,29,128,132,118,46,2
