@relation satimage

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp25 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
71,107,96,99,113,100,100,96,66,75,103,98,1
57,73,76,77,94,75,75,74,60,59,79,83,1
50,77,79,73,90,75,75,74,56,55,72,71,1
52,77,75,66,82,79,79,76,50,53,77,76,1
75,99,92,103,113,109,100,92,70,63,95,90,1
63,96,96,113,127,88,99,86,63,57,88,83,1
67,103,79,84,93,106,102,87,63,68,111,79,1
64,106,102,111,125,107,112,96,68,63,107,100,1
63,81,94,88,105,92,97,97,70,88,111,76,1
63,99,90,84,93,88,71,76,47,50,69,72,1
70,113,96,96,104,112,108,98,63,67,106,101,1
66,113,96,109,122,108,112,94,67,63,106,94,1
56,79,85,87,100,95,99,92,67,63,100,92,1
67,107,100,111,123,113,109,96,63,63,108,94,1
48,64,75,72,85,71,67,74,49,46,66,75,1
53,75,70,79,96,79,79,79,59,56,83,78,1
68,103,92,107,118,107,107,96,71,70,109,92,1
66,113,100,113,122,112,112,101,71,70,111,97,1
71,107,99,112,122,111,116,96,75,70,100,92,1
50,71,76,75,97,73,73,79,53,46,79,81,1
71,103,96,107,122,103,103,92,71,70,109,92,1
56,95,92,103,118,95,99,92,67,63,96,89,1
67,95,87,111,123,83,91,81,74,67,99,101,1
86,100,92,104,122,99,99,90,67,67,97,94,1
60,95,92,103,118,99,103,92,67,63,100,92,1
64,91,88,103,113,103,103,92,71,70,109,92,1
63,99,90,99,114,88,97,90,70,68,89,91,1
53,84,83,84,101,85,85,83,53,56,87,81,1
67,99,90,91,101,97,88,83,50,50,73,72,1
66,104,92,100,108,91,95,83,67,63,84,76,1
59,88,86,99,110,88,97,87,63,57,94,87,1
