@relation satimage

@attribute Sp17 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp22 numeric
@attribute Sp23 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp43 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
118,92,111,123,96,66,104,92,66,92,67,98,71,112,67,108,98,1
123,96,111,123,100,66,113,100,70,100,63,101,71,112,71,112,101,1
100,78,67,84,78,52,70,75,52,75,47,73,50,67,50,71,76,1
98,83,98,106,91,60,95,88,64,88,63,87,63,103,63,103,92,1
122,96,109,112,96,67,99,90,63,90,67,94,57,97,53,88,83,1
123,100,107,118,96,70,113,100,70,100,67,98,67,108,67,103,90,1
97,76,79,93,80,53,73,76,57,79,56,74,56,75,60,79,81,1
90,76,77,98,76,56,79,78,56,85,59,79,59,95,63,99,92,1
98,83,89,106,87,56,83,81,56,85,67,87,63,95,63,95,87,1
113,88,103,113,88,71,103,92,71,92,70,96,70,109,66,104,92,1
90,79,73,90,79,60,83,81,68,81,63,83,63,95,63,95,87,1
104,85,91,108,85,67,95,92,71,92,59,81,66,96,70,104,92,1
120,98,111,125,102,64,107,96,68,99,67,96,71,116,71,111,104,1
124,104,111,129,101,72,111,102,80,102,64,92,68,99,71,107,103,1
110,90,111,114,97,72,106,94,68,94,71,96,68,107,68,103,92,1
105,86,91,110,86,57,88,87,60,87,53,87,57,94,57,94,83,1
91,81,87,100,85,63,87,83,63,83,56,78,59,87,59,87,89,1
97,83,79,101,83,50,77,79,50,76,53,88,50,79,50,79,81,1
114,90,102,119,97,64,98,91,68,98,60,85,60,99,64,99,92,1
87,74,75,91,74,51,72,75,48,75,46,74,49,71,49,71,78,1
96,78,75,91,74,51,75,75,55,71,52,81,52,71,52,71,70,1
100,85,83,100,85,63,81,83,63,86,63,83,67,88,67,92,90,1
114,90,97,97,83,72,111,98,68,87,71,99,71,112,76,112,96,1
101,83,84,93,83,60,84,83,63,80,64,83,60,81,60,81,79,1
100,81,75,100,78,49,73,79,52,75,47,73,47,71,50,67,76,1
119,101,112,124,101,74,115,101,74,101,68,98,72,115,68,111,98,1
118,96,99,109,92,66,104,96,66,92,67,79,63,91,63,95,83,1
118,88,91,100,81,67,107,96,63,92,66,100,66,113,66,113,100,1
118,99,107,118,96,71,111,96,67,96,66,89,63,100,63,109,96,1
118,96,103,113,92,66,113,100,66,100,63,98,63,108,67,108,98,1
96,78,75,96,78,51,72,75,48,79,49,74,49,71,52,75,78,1
114,90,102,114,94,64,98,91,60,87,64,96,60,103,53,83,85,1
118,92,103,108,88,67,99,87,63,87,66,81,63,87,63,87,85,1
123,100,107,123,100,70,113,96,70,96,67,86,71,112,71,108,98,1
112,96,104,112,96,75,108,94,71,94,74,97,70,111,70,106,94,1
104,85,91,104,81,63,107,92,63,87,66,92,63,104,63,100,92,1
130,98,112,119,98,63,115,101,67,104,60,98,64,111,68,115,102,1
124,98,112,124,98,67,111,97,63,97,68,98,68,115,64,115,98,1
96,79,72,89,75,52,67,78,52,78,52,75,52,70,52,73,75,1
119,97,111,119,97,68,111,94,68,98,76,99,71,112,71,112,96,1
114,90,99,114,90,60,97,94,63,97,53,83,57,98,60,106,98,1
115,94,102,106,91,71,103,88,64,92,67,87,63,91,59,91,87,1
100,85,75,91,74,51,72,75,51,71,52,78,52,71,56,75,74,1
84,70,63,80,70,49,73,75,52,72,50,76,50,79,50,71,73,1
104,87,91,100,87,63,87,85,56,89,52,75,52,84,52,81,79,1
100,85,71,96,85,63,79,87,59,87,63,85,63,83,66,83,85,1
120,98,106,111,91,76,116,96,71,99,75,100,75,111,71,111,100,1
124,101,111,124,101,60,111,98,64,98,64,96,60,107,64,107,99,1
125,102,111,120,98,71,107,103,71,99,71,96,71,103,71,107,100,1
100,92,91,108,89,59,95,90,52,86,60,87,53,84,50,79,83,1
85,80,75,89,80,68,89,87,68,91,64,88,64,95,68,103,88,1
118,96,116,118,100,63,109,92,66,96,63,94,67,103,63,103,94,1
118,99,107,122,96,67,107,96,71,96,66,96,66,113,66,113,96,1
82,72,73,90,76,50,75,74,53,78,51,75,48,72,51,83,75,1
104,85,100,112,92,63,66,79,63,86,67,87,74,92,78,92,94,1
115,94,106,120,94,68,107,96,68,92,71,92,71,99,71,99,96,1
104,87,95,104,87,66,87,85,66,81,63,86,59,88,67,84,83,1
118,100,111,123,96,66,109,100,66,96,63,98,63,108,67,103,94,1
119,97,106,124,97,68,111,98,64,94,71,103,71,112,68,112,99,1
110,87,111,114,94,64,89,83,64,91,56,81,60,95,64,95,88,1
119,90,97,114,94,64,106,98,64,94,60,92,64,107,64,112,96,1
91,74,64,79,74,51,68,71,51,71,49,78,49,71,49,67,70,1
127,100,113,122,100,63,112,98,63,101,63,101,63,111,63,111,101,1
119,94,108,119,98,63,111,94,67,97,68,98,64,111,68,111,98,1
125,98,115,125,102,64,116,103,64,103,71,100,67,111,67,111,100,1
118,96,107,118,96,70,104,92,66,92,63,90,59,99,59,95,90,1
93,75,66,86,72,47,75,80,50,76,50,76,50,73,50,73,76,1
118,96,107,118,96,67,107,96,67,96,66,78,66,87,66,91,78,1
120,98,111,120,98,68,116,99,64,99,67,100,67,111,71,107,96,1
86,76,77,94,79,64,83,85,64,85,51,71,59,72,59,79,79,1
93,80,88,101,83,53,77,76,53,79,60,85,60,83,56,79,78,1
111,91,98,106,87,64,99,88,64,85,51,104,59,87,63,95,83,1
94,76,66,82,72,53,71,74,53,74,48,75,51,68,51,68,71,1
119,94,108,124,98,67,102,97,74,104,64,91,68,106,72,111,102,1
124,98,99,110,94,70,106,94,67,90,72,94,76,111,76,106,94,1
110,86,95,105,86,63,92,87,67,90,64,87,64,85,68,89,94,1
119,98,108,119,98,67,97,87,67,94,60,79,64,89,64,98,91,1
119,98,112,114,98,67,111,101,67,101,68,98,68,111,68,115,98,1
113,92,99,113,87,63,104,92,63,92,59,90,59,91,59,88,86,1
122,96,83,96,85,84,103,92,71,79,74,92,78,96,82,91,89,1
97,76,71,93,76,50,66,72,53,72,53,74,53,64,50,68,70,1
111,87,89,106,87,56,91,88,56,92,67,92,63,95,59,95,92,1
120,94,89,102,76,84,112,96,71,85,84,100,84,103,71,79,79,1
81,71,75,85,75,52,71,70,56,74,52,72,56,73,59,77,79,1
82,76,77,94,76,53,68,70,56,74,51,75,51,68,55,72,71,1
119,101,108,119,98,67,111,94,67,97,64,98,72,111,72,111,98,1
122,100,113,127,96,79,112,98,71,98,74,101,70,111,67,106,101,1
101,86,103,114,94,57,106,90,63,97,57,87,60,102,60,106,94,1
122,96,112,122,99,67,107,96,67,96,66,78,63,96,63,109,96,1
