@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R2,5,12,16,18,20-22,24-26,29,32,35-37'

@attribute Sp12 numeric
@attribute Sp15 numeric
@attribute Sp23 numeric
@attribute Sp27 numeric
@attribute Sp29 numeric
@attribute Sp32 numeric
@attribute Sp33 numeric
@attribute Sp34 numeric
@attribute Sp36 numeric
@attribute Sp37 numeric
@attribute Sp38 numeric
@attribute Sp42 numeric
@attribute Sp45 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
115,84,83,103,112,85,84,103,81,102,126,88,100,113,87,3
102,84,76,78,99,81,76,99,81,84,99,84,79,104,79,3
98,80,87,85,99,85,88,99,85,84,99,88,87,109,87,3
115,92,87,92,112,88,92,112,92,88,111,93,92,113,92,3
106,88,87,92,107,92,92,107,88,88,107,88,87,109,87,3
73,80,83,81,95,85,80,91,81,84,99,84,83,100,75,7
91,76,74,67,87,71,75,91,71,74,87,74,70,88,66,4
95,84,85,83,99,83,84,99,87,46,34,49,114,104,85,3
107,88,88,83,107,87,88,107,87,86,100,90,85,108,85,3
54,53,63,67,51,67,55,48,62,59,60,59,66,76,70,5
54,56,63,67,48,62,51,48,67,59,56,59,70,73,70,5
99,84,79,100,100,85,82,100,81,96,127,92,86,105,83,3
116,88,87,89,104,92,90,109,89,87,108,92,86,110,90,3
107,88,87,89,109,89,90,109,92,92,108,87,86,119,90,3
109,90,92,90,103,86,87,108,86,97,120,97,97,124,97,3
113,90,103,86,103,90,92,122,109,89,120,93,101,135,104,3
104,90,89,86,103,86,87,103,83,85,106,89,90,114,90,3
100,82,81,79,95,79,83,99,83,85,102,85,80,101,83,3
96,86,81,79,99,79,79,99,83,85,102,85,83,101,83,3
63,59,66,60,66,57,63,63,60,74,79,67,65,82,62,7
60,59,70,57,63,60,63,66,64,67,79,70,62,74,62,5
95,83,72,80,97,80,82,92,76,80,98,84,76,94,72,3
91,79,68,73,92,73,78,88,73,80,89,80,68,94,72,4
