@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R6,12,14,18,22-24,28-29,31-33,35-37'

@attribute Sp16 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp29 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp44 numeric
@attribute Sp45 numeric
@attribute Sp46 numeric
@attribute Sp48 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
102,79,99,99,103,118,88,79,79,109,87,79,109,87,3
106,83,107,103,103,113,92,87,93,109,87,88,109,87,3
106,87,103,103,99,104,85,83,84,109,83,84,104,83,3
98,83,99,91,87,96,74,79,79,100,83,79,100,83,3
55,65,68,54,54,71,63,71,55,85,67,55,74,67,5
99,81,99,99,103,104,79,100,82,108,85,82,108,81,3
91,74,87,87,87,96,71,70,74,88,66,74,92,70,4
103,88,99,99,99,109,87,114,63,104,85,82,104,78,3
112,88,103,111,107,109,92,85,90,112,85,90,117,89,3
112,85,116,111,107,113,87,89,90,117,92,90,112,89,3
107,92,107,107,107,109,87,89,90,112,89,90,112,85,3
112,92,107,107,107,109,87,85,90,112,89,86,108,89,3
103,87,100,100,100,104,78,86,83,105,83,79,110,83,3
107,87,100,100,104,104,85,83,79,105,83,83,114,86,3
95,75,96,91,91,92,70,75,83,97,72,83,97,72,4
75,79,60,49,40,112,114,127,46,119,131,46,119,131,2
75,67,96,83,75,88,66,83,79,97,72,71,86,68,7
48,67,53,49,40,69,66,64,59,75,64,56,75,68,5
128,100,103,122,127,130,105,101,93,135,104,93,129,101,3
104,85,108,103,103,105,86,87,89,114,90,85,110,87,3
96,85,95,95,99,105,83,83,82,114,87,89,114,87,3
95,75,102,102,97,101,80,79,80,102,76,84,98,76,3
73,98,49,40,37,119,129,135,47,125,135,44,131,131,2
37,131,34,34,31,124,133,135,44,120,139,44,131,135,2
77,83,34,56,92,101,76,139,44,120,120,64,106,83,2
103,86,106,111,106,114,87,87,92,111,87,88,111,87,3
103,90,111,111,106,110,87,91,88,115,91,88,115,91,3
108,86,106,106,102,114,90,91,92,120,94,88,111,91,3
103,83,106,102,106,114,87,87,92,111,87,92,111,87,3
99,79,106,97,102,105,87,87,88,106,83,88,106,83,3
99,83,102,102,102,105,83,87,88,111,87,88,111,83,3
99,86,106,106,102,105,83,87,84,102,83,80,98,79,3
88,69,85,85,81,94,72,88,56,108,103,56,104,92,4
106,90,111,106,111,111,87,85,84,108,85,84,113,88,3
102,83,102,98,98,106,83,81,80,91,74,76,96,70,3
102,87,98,98,98,102,83,74,76,96,70,68,83,67,3
79,69,89,85,85,86,72,63,68,83,67,71,87,70,7
120,98,126,126,121,133,103,108,88,134,104,88,128,104,3
98,76,95,99,95,100,78,79,84,100,75,79,100,75,3
34,135,31,31,31,139,143,154,44,145,150,44,139,150,2
106,87,103,107,103,113,92,87,88,109,92,84,113,92,3
98,76,79,79,75,87,67,71,75,85,71,71,85,67,7
95,78,103,99,99,104,79,89,86,104,85,82,104,81,3
91,74,95,83,72,96,83,81,66,100,92,56,108,107,2
54,92,34,34,37,118,121,133,43,122,133,46,127,136,2
54,114,34,37,45,113,104,133,46,127,136,46,122,136,2
34,143,45,37,32,139,150,136,52,112,114,52,117,122,2
31,146,37,32,32,139,154,114,52,117,122,46,138,151,2
31,139,29,29,27,134,146,151,46,138,151,46,133,151,2
31,139,29,27,29,134,141,151,46,133,151,46,138,147,2
34,103,34,32,37,123,125,129,46,122,129,46,122,125,2
107,88,107,107,107,109,87,89,86,108,89,86,112,89,3
99,88,103,103,103,109,87,89,82,104,85,82,104,85,3
107,92,107,111,111,113,92,85,90,117,85,90,117,92,3
107,85,103,103,107,109,87,81,86,108,85,90,108,85,3
87,67,79,83,79,89,71,66,66,80,63,70,84,66,7
75,67,79,79,79,85,62,70,74,80,66,70,76,63,7
107,87,109,109,109,112,89,90,92,119,90,92,110,90,3
103,87,104,100,104,108,85,79,75,93,72,75,93,72,3
107,87,104,109,96,100,78,72,75,90,68,67,79,60,3
79,67,79,83,79,80,66,57,71,82,64,71,82,64,7
87,71,75,75,79,84,66,64,71,75,64,71,82,68,7
128,103,122,127,122,130,105,104,93,129,104,97,124,101,3
109,89,103,108,112,119,90,87,93,114,87,93,114,90,3
113,92,108,103,99,101,83,76,78,89,73,70,82,65,3
79,70,73,73,70,75,57,69,67,78,58,63,74,58,7
57,124,37,31,31,129,140,135,47,125,135,50,131,135,2
103,86,106,106,111,110,87,87,88,111,87,88,106,87,3
91,72,79,71,71,78,58,54,64,71,50,60,67,50,5
77,72,88,79,79,82,65,72,76,90,68,72,78,61,7
125,101,125,120,115,120,94,92,92,118,92,88,113,88,3
115,97,102,106,111,115,91,88,88,113,88,92,113,88,3
