@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,8,10,14-15,18,24,26,30,34,37'

@attribute Sp11 numeric
@attribute Sp12 numeric
@attribute Sp13 numeric
@attribute Sp15 numeric
@attribute Sp18 numeric
@attribute Sp21 numeric
@attribute Sp25 numeric
@attribute Sp26 numeric
@attribute Sp29 numeric
@attribute Sp36 numeric
@attribute Sp38 numeric
@attribute Sp43 numeric
@attribute Sp47 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
76,89,98,76,76,98,95,104,91,78,91,91,87,4
72,89,94,72,76,94,87,91,87,67,87,87,79,4
76,94,98,72,72,85,83,87,83,67,79,79,75,4
68,85,86,68,72,85,83,87,83,67,79,75,75,4
88,102,106,92,91,115,99,104,103,92,103,103,111,3
84,102,111,84,87,111,112,118,112,92,107,107,107,3
88,98,106,84,83,111,103,108,99,85,99,99,95,3
84,102,106,88,87,111,99,104,103,81,99,95,95,3
57,55,78,53,65,49,54,75,54,63,54,51,48,5
80,95,104,76,74,95,91,96,91,71,87,87,87,4
88,107,118,88,88,103,107,109,103,87,109,104,104,3
88,107,118,88,85,103,103,109,103,87,104,104,96,3
88,103,108,88,92,107,103,109,107,92,104,96,104,3
71,79,87,71,67,79,75,85,79,67,83,75,79,7
79,103,104,79,79,95,100,108,96,70,95,95,91,4
75,95,100,75,75,91,91,96,87,70,91,91,88,4
93,111,113,93,92,111,109,112,109,92,108,108,108,3
88,107,113,88,87,107,109,112,109,89,108,108,108,3
88,95,100,88,83,103,100,100,100,81,103,99,95,3
88,103,113,84,83,99,100,104,100,81,95,99,99,3
84,99,104,84,83,95,100,104,100,85,99,103,103,3
59,61,77,55,67,51,63,76,60,66,73,66,63,5
78,91,92,74,70,91,91,97,91,72,92,92,92,4
70,83,92,70,70,83,91,97,88,64,88,75,63,4
63,67,104,82,78,100,48,110,77,83,34,56,92,2
90,104,112,86,85,104,103,105,95,83,102,102,97,3
82,96,100,82,81,96,95,97,99,79,111,106,106,3
79,91,90,79,68,91,88,97,88,73,94,94,89,4
87,103,105,87,86,108,106,114,115,90,106,106,111,3
79,95,105,83,83,99,102,101,97,83,106,111,102,3
83,95,105,83,79,99,102,105,102,87,102,102,102,3
83,103,105,87,83,88,106,105,97,80,98,98,94,3
63,63,72,63,64,57,79,82,75,58,81,77,73,7
97,120,119,97,97,120,131,136,120,98,126,126,121,3
82,102,101,78,80,97,98,98,98,76,95,99,95,3
44,34,119,44,136,34,31,125,31,135,31,34,31,2
89,106,110,89,90,102,115,115,115,91,107,107,112,3
89,106,114,89,90,106,115,120,111,87,107,112,112,3
82,102,105,82,87,106,102,111,102,87,99,103,103,3
82,102,114,89,87,106,102,106,102,83,103,103,99,3
80,94,94,80,72,89,99,100,95,74,91,95,95,4
80,94,94,80,72,89,91,91,91,70,83,72,58,4
64,69,102,57,109,40,45,113,34,143,45,37,32,2
88,111,115,88,87,111,107,113,103,88,103,103,107,3
88,111,111,88,83,102,103,118,99,85,107,103,103,3
80,98,98,76,76,89,79,83,75,63,79,79,79,7
88,121,133,92,103,121,121,128,116,92,123,118,109,3
80,95,100,80,74,95,95,104,99,75,100,100,96,3
88,107,108,88,85,107,107,113,107,87,96,104,104,3
