@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R3-5,18,22-24,28,31,33,36-37'

@attribute Sp13 numeric
@attribute Sp14 numeric
@attribute Sp15 numeric
@attribute Sp29 numeric
@attribute Sp34 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp41 numeric
@attribute Sp44 numeric
@attribute Sp46 numeric
@attribute Sp49 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
90,76,68,83,91,91,74,62,85,67,79,4
102,83,80,103,107,118,88,83,113,84,87,3
115,87,92,107,103,108,85,87,109,93,87,3
102,83,88,103,99,104,85,83,104,79,79,3
106,87,84,107,103,108,85,83,113,84,83,3
111,83,84,99,91,96,78,79,100,79,83,3
87,67,68,75,79,81,62,66,84,66,66,4
104,85,84,99,99,100,79,89,112,86,89,3
108,81,88,99,95,100,79,92,108,86,85,3
113,85,88,103,99,100,79,81,100,82,81,3
100,81,80,99,95,100,83,81,104,82,81,3
96,74,71,91,79,96,79,81,104,82,81,3
100,81,80,99,95,100,75,85,108,86,85,3
100,78,76,83,75,85,67,85,100,78,70,7
83,67,71,72,64,81,67,66,76,66,66,7
71,63,56,48,48,70,67,70,73,49,66,5
93,67,71,83,83,92,66,72,90,75,75,4
109,87,88,104,104,108,89,86,110,92,86,3
92,70,78,91,91,90,68,73,93,78,73,4
92,70,78,84,84,93,72,73,93,78,69,4
108,85,90,103,95,105,83,76,110,85,83,3
112,85,90,112,108,110,90,90,114,89,87,3
112,89,90,103,108,114,86,90,110,93,87,3
108,85,90,108,108,110,90,87,110,89,90,3
112,89,90,108,103,110,86,90,114,89,90,3
97,72,79,92,88,97,73,72,98,80,72,4
110,98,49,34,34,124,136,131,120,44,139,2
119,131,46,34,37,119,136,135,125,47,139,2
110,90,87,106,102,110,87,87,115,92,91,3
110,86,87,111,111,110,87,91,115,88,91,3
110,86,87,106,106,114,90,91,111,88,87,3
105,79,83,106,97,105,87,83,102,80,79,3
135,104,93,125,125,125,102,99,122,88,96,3
129,101,89,125,111,111,91,99,122,84,85,3
105,83,82,98,98,102,76,78,100,80,74,3
93,73,82,85,85,94,72,74,100,56,103,4
119,136,44,31,31,131,139,132,128,43,132,2
110,87,85,106,111,115,87,88,108,88,85,3
114,87,89,106,106,111,87,85,108,84,88,3
110,83,85,111,111,120,91,92,118,88,85,3
114,87,89,106,106,106,87,85,108,88,88,3
131,102,88,121,116,122,99,96,118,88,92,3
136,109,88,116,116,122,96,92,113,88,87,3
94,72,64,45,34,133,146,121,113,44,137,2
111,109,50,31,31,133,146,137,139,44,154,2
115,91,92,107,107,113,88,92,109,84,92,3
115,87,84,99,95,91,74,79,93,71,62,3
122,96,84,107,103,104,83,92,112,86,89,3
118,132,50,37,58,104,92,129,122,49,125,2
113,88,88,111,116,118,96,96,122,95,96,3
118,92,88,111,107,109,83,96,112,86,85,3
128,104,93,118,109,117,89,105,119,92,90,3
100,75,79,96,96,96,78,79,105,71,90,4
128,129,44,32,29,127,136,139,130,46,139,2
139,150,44,29,29,138,147,150,135,42,142,2
134,141,44,29,32,127,133,142,124,46,131,2
89,71,71,83,87,92,74,57,72,71,64,7
122,96,90,112,112,114,94,94,119,89,90,3
117,89,86,112,112,119,94,94,119,89,94,3
96,78,82,57,42,119,124,126,124,44,140,2
108,107,49,32,32,124,139,140,124,44,136,2
122,136,52,37,45,110,109,136,124,44,126,2
112,89,86,112,108,119,94,94,114,93,90,3
108,89,86,103,108,110,90,87,105,89,90,3
112,96,90,108,103,110,86,80,97,78,73,3
92,74,74,84,73,75,60,65,78,67,62,7
84,66,74,73,66,72,57,65,74,67,55,7
88,70,74,66,70,72,60,62,70,60,58,7
105,79,71,37,31,124,133,116,125,47,135,2
119,124,49,34,31,129,140,135,125,44,135,2
130,135,42,34,34,129,140,135,131,47,139,2
124,135,46,34,34,119,129,139,131,44,131,2
119,94,92,97,92,97,76,68,78,60,54,3
114,90,89,102,77,102,83,85,100,80,74,3
124,133,44,31,31,125,135,135,128,46,143,2
129,143,44,31,31,131,135,143,139,43,143,2
105,83,85,102,106,111,87,78,104,84,88,3
114,94,89,111,111,120,91,88,118,92,96,3
114,90,89,115,120,120,94,96,122,88,85,3
85,69,67,73,69,71,61,63,79,68,67,7
89,73,74,85,77,90,68,70,79,71,63,7
125,139,47,31,31,128,132,137,134,48,133,2
102,87,88,103,107,118,88,79,109,88,92,3
113,88,84,111,111,113,92,92,117,95,96,3
133,135,46,34,32,128,125,140,127,46,125,2
122,125,50,37,34,123,125,118,117,49,118,2
118,88,92,111,111,118,96,92,112,90,92,3
118,88,88,111,111,118,92,96,122,90,96,3
113,88,92,111,107,109,87,96,112,90,92,3
118,92,92,95,87,96,75,81,96,74,74,7
79,67,71,72,72,74,58,55,73,63,55,7
113,92,84,118,118,122,96,94,124,92,98,3
109,87,88,96,96,104,81,75,97,83,79,4
104,83,88,104,109,117,89,90,114,96,90,3
118,96,93,113,113,117,96,90,119,96,94,3
118,92,93,118,113,117,96,94,114,92,90,3
109,87,88,113,104,104,85,83,101,79,68,3
113,87,88,96,91,96,78,68,79,71,68,7
127,129,49,32,34,119,127,136,119,44,129,2
117,122,43,32,32,130,139,111,110,44,136,2
112,92,90,95,84,86,68,73,85,70,65,7
69,52,59,51,51,72,57,44,60,57,55,5
