@relation 'satimage-weka.filters.unsupervised.attribute.Remove-V-R10,12,14,18,26,28-29,33-35,37'

@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp29 numeric
@attribute Sp38 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,79,103,99,107,87,84,84,99,104,3
94,79,83,83,75,67,71,67,75,85,4
98,83,83,91,75,71,67,75,83,96,4
106,87,107,112,107,87,88,88,107,109,3
98,91,112,103,111,92,93,93,107,113,3
111,87,107,107,107,87,88,88,107,109,3
106,87,103,99,99,83,84,88,99,100,3
112,92,103,103,104,89,90,90,109,112,3
112,92,107,107,109,89,90,90,104,112,3
107,88,107,107,104,92,90,86,104,112,3
107,85,103,103,100,78,86,82,100,104,3
99,85,103,99,100,81,86,82,96,100,3
83,83,49,40,32,131,46,42,34,119,2
99,87,40,67,34,131,52,71,77,97,2
103,87,100,104,103,86,87,92,108,114,3
99,79,109,109,108,86,87,87,103,110,3
103,83,100,100,99,83,87,87,95,97,3
87,71,100,100,103,86,83,83,103,105,3
83,71,100,100,103,79,83,87,103,105,3
49,100,45,37,34,136,44,42,31,124,2
104,85,103,99,111,83,89,89,111,110,3
96,81,99,99,106,87,89,85,102,110,3
96,81,103,103,102,83,82,82,97,105,3
83,70,103,103,106,87,82,82,97,105,3
122,109,120,115,120,98,88,88,125,136,3
108,86,125,130,125,109,88,88,125,125,3
88,68,92,88,89,72,80,80,94,94,4
99,83,102,102,102,83,88,88,102,115,3
103,86,97,97,102,87,84,84,106,111,3
108,90,106,102,115,94,88,84,106,111,3
99,83,102,102,106,87,88,88,111,111,3
48,68,75,63,77,61,64,68,77,78,7
115,101,120,120,126,103,88,92,121,128,3
34,133,31,34,31,139,43,43,31,128,2
97,83,111,102,103,88,88,88,107,108,3
111,87,111,106,107,88,88,88,103,108,3
102,87,106,111,107,88,88,88,107,113,3
111,87,111,111,107,92,88,88,107,113,3
102,87,106,102,107,85,88,88,107,113,3
31,135,31,34,37,125,44,44,37,123,2
102,83,34,51,32,129,48,59,58,104,2
106,87,107,107,107,87,93,93,111,109,3
111,87,107,103,111,92,84,84,107,118,3
98,83,99,95,91,71,71,75,83,85,7
121,103,126,121,128,107,90,90,118,122,3
95,74,99,91,96,81,82,82,91,100,4
95,74,91,95,96,78,82,74,79,96,4
79,74,72,58,53,107,49,43,32,127,2
34,132,37,34,32,129,49,46,34,122,2
103,85,107,107,104,85,86,86,104,112,3
107,88,111,107,104,85,86,86,104,108,3
99,85,103,107,104,85,90,82,96,100,3
107,87,109,113,112,94,92,92,117,119,3
111,87,104,104,103,86,87,87,103,114,3
107,87,104,104,103,83,83,87,103,105,3
111,87,113,113,108,90,92,92,99,101,3
96,78,95,91,75,83,53,47,37,119,4
29,147,30,30,29,150,44,44,34,129,2
34,125,34,37,37,126,47,47,34,114,2
109,89,103,108,106,87,89,89,111,110,3
100,85,108,108,111,94,89,89,106,114,3
112,90,125,120,115,94,92,88,111,115,3
112,94,120,115,115,94,88,88,102,111,3
99,79,111,106,111,87,92,88,102,111,3
30,135,29,34,29,146,44,44,31,136,2
51,98,34,37,37,124,44,44,37,115,2
112,90,111,106,102,87,88,88,111,111,3
103,83,111,106,111,91,92,92,115,120,3
73,64,75,84,81,72,72,72,81,86,7
115,94,111,102,107,88,84,88,107,113,3
34,143,31,40,36,132,46,53,45,108,2
34,136,31,31,29,139,46,46,31,122,2
34,129,31,31,31,135,46,46,34,122,2
34,126,31,31,34,128,46,46,36,122,2
111,90,115,111,107,88,92,92,112,118,3
111,94,106,106,107,92,92,92,112,113,3
115,90,115,120,107,88,88,80,87,91,3
71,58,62,62,54,52,53,60,64,75,7
67,58,69,66,71,59,68,64,68,71,7
111,91,107,112,111,92,93,93,111,118,3
31,131,31,34,34,133,48,48,34,123,2
106,87,83,99,58,96,79,88,107,109,3
115,91,103,103,103,83,88,93,107,113,3
111,87,107,107,111,92,88,93,111,118,3
81,72,68,68,68,62,67,63,68,70,7
69,57,75,79,72,58,67,63,68,74,7
31,132,32,32,32,136,46,46,32,127,2
36,128,37,40,32,133,46,49,37,112,2
36,128,37,40,34,111,49,46,37,117,2
107,88,107,111,79,81,86,90,109,108,3
112,88,111,111,113,96,90,90,118,122,3
68,56,72,68,67,55,63,66,75,76,7
29,146,34,32,42,120,42,42,34,130,2
34,129,37,29,45,105,46,42,32,130,2
75,62,56,67,57,49,59,63,66,79,7
83,71,75,79,70,64,67,63,66,75,7
32,144,34,32,34,143,44,44,31,124,2
43,103,34,34,37,129,44,44,37,119,2
34,118,32,34,31,133,44,47,34,114,2
79,81,37,45,63,94,70,78,92,97,2
109,96,112,117,115,94,97,93,111,114,3
113,96,108,112,111,87,89,85,106,110,3
113,96,112,108,106,87,85,85,97,105,3
113,92,108,108,106,83,85,82,92,101,3
87,74,73,77,71,58,63,60,67,67,7
56,55,51,54,60,58,57,57,56,70,5
117,94,115,115,115,94,88,84,94,102,3
32,135,34,34,31,139,44,47,34,125,2
31,122,40,31,45,107,50,43,29,133,2
40,111,37,40,51,92,64,68,71,91,2
46,111,55,69,75,63,68,64,68,75,2
63,94,69,77,75,59,64,64,71,75,7
106,87,99,95,95,75,84,79,95,100,4
49,113,91,91,99,79,84,75,87,93,4
34,135,31,29,34,129,44,44,34,118,2
34,120,36,36,34,121,48,44,34,118,2
115,94,112,107,99,79,79,84,95,104,3
102,83,99,95,95,75,84,84,99,104,7
98,79,95,103,99,79,84,71,83,85,7
59,54,61,61,64,75,59,59,58,81,5
87,74,91,91,91,78,78,78,91,100,4
87,78,91,95,91,78,78,82,91,104,4
29,143,87,58,96,81,82,78,87,92,2
71,70,75,72,71,59,63,63,67,69,7
75,59,72,72,67,55,63,63,67,73,7
75,59,75,75,71,55,66,66,79,84,7
99,81,99,95,87,74,82,78,87,92,7
99,79,91,91,95,79,79,83,103,105,4
75,58,67,71,70,57,67,67,77,82,7
79,67,87,83,91,72,79,75,81,82,7
87,71,75,83,84,72,75,75,88,97,7
45,112,49,53,48,60,56,59,54,82,5
96,78,99,95,106,83,85,85,97,101,4
32,125,45,37,71,80,50,44,40,105,2
71,59,70,70,63,51,60,63,67,74,7
71,55,66,66,67,55,63,63,71,74,7
91,78,81,84,75,62,70,74,79,89,7
87,78,95,84,88,73,74,74,84,85,7
83,70,84,88,84,73,74,74,84,85,7
60,66,57,60,53,76,57,60,60,82,5
99,79,115,111,111,94,97,97,111,111,3
95,75,106,97,111,91,88,88,98,102,3
73,57,71,67,69,57,68,68,73,74,7
91,72,79,79,73,61,68,76,85,86,7
77,68,75,75,77,72,68,68,69,86,7
48,60,60,53,62,68,57,50,46,78,5
54,72,53,49,37,98,41,44,37,102,5
97,80,98,98,103,81,88,88,107,113,3
115,90,111,115,107,88,92,97,112,122,3
71,58,69,73,75,56,68,64,75,71,7
92,76,73,85,75,59,68,76,87,83,7
84,73,69,73,71,78,68,68,75,87,5
60,69,52,59,57,74,56,56,57,79,5
40,80,29,31,29,114,43,46,34,104,2
98,87,107,103,111,92,88,88,107,109,3
106,87,103,103,111,87,88,88,107,109,3
69,87,95,83,103,83,71,63,68,89,2
73,72,71,71,68,79,67,67,72,85,5
55,61,54,54,75,71,63,48,37,100,5
87,74,83,95,79,66,78,78,83,92,7
71,78,91,75,83,70,78,78,83,88,5
75,62,91,75,73,49,63,63,70,75,7
75,79,83,83,84,68,75,83,95,105,7
64,62,67,63,77,68,71,67,66,75,5
118,92,112,112,111,90,93,93,115,114,3
113,96,117,112,115,94,97,97,111,119,3
113,92,112,112,111,94,97,93,106,114,3
75,59,73,81,75,58,67,67,75,82,7
79,66,81,81,79,69,74,74,79,85,7
83,70,81,73,79,62,67,67,84,89,7
83,70,81,84,88,73,78,78,92,93,7
71,66,73,70,75,80,67,70,75,89,5
73,49,71,67,69,54,64,64,69,71,7
77,60,79,79,85,68,72,76,85,90,7
73,72,79,84,98,87,76,76,89,98,5
84,75,84,84,85,79,72,68,89,94,4
88,75,84,88,85,79,68,68,85,98,4
77,68,88,79,89,83,68,72,89,94,4
32,127,31,31,34,113,47,44,31,111,2
111,87,98,106,99,85,84,84,107,113,4
75,62,69,73,71,59,64,68,75,79,7
79,69,77,81,75,63,71,71,83,83,7
79,73,85,89,99,88,76,76,103,108,4
29,126,34,31,36,114,46,40,31,104,2
98,76,107,103,107,87,88,84,99,100,4
94,72,103,99,107,87,84,79,91,93,4
85,72,95,91,99,87,75,75,95,104,4
75,59,72,75,79,63,70,66,75,76,7
31,121,32,29,32,114,46,43,29,108,2
83,70,37,64,32,122,52,66,67,80,2
111,92,113,109,108,90,92,92,108,110,3
72,58,79,79,77,60,71,67,77,86,7
79,67,75,75,70,60,67,67,77,75,7
113,92,112,103,84,65,85,97,115,124,3
71,55,81,77,79,62,70,67,79,82,7
73,60,71,75,77,61,68,64,77,74,7
37,98,67,43,85,76,64,68,81,90,2
77,60,88,84,94,76,76,72,85,86,4
102,83,73,73,75,59,64,68,75,79,7
79,65,98,85,87,78,76,71,87,91,7
97,80,115,115,116,99,76,71,112,122,1
106,87,107,107,107,83,84,84,103,104,4
102,87,103,99,103,83,88,84,95,100,4
81,65,83,83,95,71,79,71,79,81,7
73,57,71,75,75,62,67,67,79,81,7
115,98,112,116,116,100,75,75,116,128,1
81,68,75,83,68,58,67,75,87,96,4
94,76,91,99,87,79,79,79,95,100,4
85,68,87,91,87,71,75,75,91,93,4
75,59,75,75,75,59,70,63,75,80,7
91,81,103,99,113,100,66,63,109,117,1
99,81,72,87,67,55,63,63,67,73,4
99,83,96,100,103,83,87,87,99,101,4
91,75,96,91,99,83,79,75,91,97,4
72,58,79,79,81,68,75,75,81,86,7
111,100,83,91,84,79,67,75,112,119,1
75,59,91,88,88,73,78,70,84,85,4
87,70,99,95,97,80,82,78,88,93,4
75,59,81,77,84,69,78,74,88,97,7
75,63,77,70,88,83,74,74,88,101,7
60,81,57,57,56,90,60,57,60,93,5
