@relation satimage

@attribute Sp15 numeric
@attribute Sp26 numeric
@attribute Sp28 numeric
@attribute Sp29 numeric
@attribute Sp31 numeric
@attribute Sp35 numeric
@attribute Sp36 numeric
@attribute Sp39 numeric
@attribute Sp42 numeric
@attribute Sp44 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
52,82,47,67,82,85,73,90,50,86,82,1
57,106,60,81,94,90,76,118,60,104,108,1
57,91,56,79,91,96,78,96,55,93,85,1
63,111,68,102,106,102,79,122,76,118,113,1
66,114,63,108,119,119,94,114,67,124,114,1
63,101,67,99,114,110,94,85,67,93,101,1
74,120,72,115,125,120,98,128,80,128,122,1
53,94,53,77,94,90,76,96,56,96,100,1
68,113,71,99,118,118,96,108,66,112,117,1
66,101,67,95,105,101,79,105,63,97,97,1
71,108,63,96,112,112,92,101,59,105,105,1
60,96,59,72,85,85,75,104,63,88,84,1
66,130,71,112,130,124,101,124,67,129,124,1
71,122,70,113,117,122,100,124,67,114,119,1
71,124,70,111,124,119,97,115,64,120,125,1
72,118,68,116,122,118,99,118,71,123,123,1
64,123,67,116,123,128,100,122,66,127,122,1
66,119,63,108,119,119,98,119,63,119,119,1
59,110,59,95,105,101,86,119,60,114,114,1
68,118,68,112,122,122,99,118,71,118,123,1
74,105,75,112,119,124,101,114,74,119,119,1
67,124,67,111,119,124,94,120,72,120,125,1
67,114,63,106,119,119,97,115,64,120,125,1
63,125,64,115,125,120,98,128,64,122,122,1
66,119,63,112,130,130,101,124,63,124,129,1
59,80,52,71,84,88,74,82,56,93,97,1
76,118,71,111,123,123,100,122,66,122,122,1
56,77,51,68,81,85,75,76,49,80,80,1
66,114,59,99,114,119,90,110,57,110,110,1
64,128,64,112,128,122,99,123,67,123,123,1
64,122,68,103,118,100,81,123,67,118,113,1
66,110,63,103,119,124,98,114,67,119,124,1
78,120,80,115,125,120,98,118,71,122,122,1
76,118,76,107,122,122,99,113,75,118,118,1
63,112,66,100,108,88,74,119,67,110,97,1
64,123,67,111,118,118,96,117,66,117,122,1
76,118,75,107,118,118,100,117,74,117,112,1
56,81,55,72,85,93,79,92,56,92,96,1
52,86,52,70,86,86,72,85,53,89,93,1
64,109,67,99,118,118,96,117,66,108,112,1
49,101,47,75,97,89,76,90,50,94,90,1
57,87,56,79,96,104,85,89,59,109,113,1
50,96,51,75,96,89,79,100,49,96,92,1
64,118,67,107,123,123,96,104,63,112,122,1
50,86,53,66,82,86,76,79,56,83,100,1
56,105,57,92,101,105,83,106,60,102,111,1
60,123,71,103,118,118,92,122,70,122,117,1
75,114,74,106,114,119,97,115,76,115,115,1
64,104,63,79,100,96,87,104,63,100,100,1
64,122,68,112,122,128,99,123,71,118,113,1
60,100,63,95,109,118,96,100,52,100,108,1
63,102,60,85,102,111,91,96,60,100,108,1
66,105,56,81,90,90,75,105,57,101,101,1
63,110,53,88,101,89,76,102,50,90,86,1
53,96,53,79,96,96,78,89,51,96,89,1
63,119,59,99,114,110,86,114,63,114,114,1
56,96,59,83,96,100,83,100,56,96,96,1
63,97,63,66,90,101,86,101,74,105,110,1
64,108,64,103,118,108,88,100,59,104,100,1
63,101,59,91,101,101,83,93,50,97,97,1
85,115,76,106,115,106,91,118,71,108,108,1
67,115,64,106,115,120,98,118,64,118,122,1
59,110,67,77,97,90,79,114,67,101,105,1
51,80,52,71,84,92,74,86,56,86,90,1
51,84,52,71,84,92,74,90,52,90,97,1
79,104,74,100,108,117,96,105,75,119,124,1
63,106,60,106,115,120,98,104,60,118,118,1
68,123,67,107,118,109,79,122,70,122,122,1
57,108,56,91,104,108,88,104,55,104,109,1
70,115,68,102,115,115,94,113,71,118,118,1
74,111,72,111,120,125,102,113,68,118,122,1
50,96,46,71,87,87,74,104,51,100,96,1
71,112,66,104,112,117,92,119,71,119,119,1
67,114,70,115,119,124,94,120,72,120,115,1
64,96,60,87,104,108,85,104,67,109,113,1
67,111,68,102,111,106,87,108,64,113,108,1
59,105,60,97,101,110,90,98,57,111,111,1
68,122,76,112,122,113,88,118,75,123,118,1
57,108,56,83,100,96,85,109,63,100,100,1
75,114,70,111,124,114,94,115,72,115,115,1
60,94,60,77,94,90,76,96,60,100,96,1
71,118,71,111,123,118,96,122,70,117,122,1
51,96,52,79,100,96,85,93,49,90,93,1
68,109,71,111,113,123,100,100,66,108,122,1
56,85,59,79,93,100,83,92,56,96,100,1
53,94,53,73,90,94,76,91,53,96,96,1
53,87,50,79,96,104,92,93,51,96,100,1
59,96,56,83,104,108,89,97,59,101,101,1
76,118,84,111,123,118,96,112,78,112,112,1
51,108,56,83,100,100,81,101,56,105,93,1
59,80,52,71,80,84,70,82,52,82,93,1
67,124,67,115,124,119,97,125,68,115,115,1
67,115,64,106,115,120,94,118,60,113,118,1
60,96,60,83,100,96,85,96,67,104,100,1
48,96,49,71,88,88,74,90,49,86,93,1
64,118,64,107,113,118,96,118,67,118,118,1
67,110,63,92,110,110,90,111,64,111,115,1
70,119,71,108,119,119,98,110,67,114,119,1
60,94,57,81,90,94,79,100,60,96,100,1
64,123,67,111,123,118,96,117,66,122,122,1
63,110,71,103,110,101,83,124,70,119,114,1
79,122,74,109,112,112,92,114,63,114,101,1
70,124,67,112,124,124,98,124,70,129,119,1
68,113,64,95,113,113,88,113,71,109,113,1
53,87,53,75,91,96,70,85,55,89,96,1
64,113,59,99,113,118,92,104,63,108,104,1
52,97,52,81,97,90,79,101,50,93,89,1
64,113,63,103,113,113,96,112,70,112,112,1
63,114,63,99,114,114,90,114,67,114,114,1
63,104,66,100,112,108,96,101,67,105,101,1
50,93,51,75,89,89,71,92,52,84,84,1
53,96,59,83,96,104,87,92,56,100,96,1
63,101,57,106,110,119,97,111,60,111,115,1
67,122,70,100,117,104,89,114,75,124,110,1
51,96,56,83,108,100,81,93,56,101,105,1
67,124,67,106,124,114,101,120,68,131,120,1
60,113,63,99,113,113,92,104,59,104,108,1
63,115,64,89,98,82,76,122,68,108,91,1
68,122,64,112,128,122,96,123,71,123,118,1
67,122,66,109,122,104,89,124,67,119,110,1
53,89,51,83,93,96,79,84,49,88,96,1
48,92,49,71,84,88,74,86,49,90,86,1
59,114,63,102,114,114,90,102,64,115,115,1
68,128,71,103,122,104,92,113,67,104,100,1
63,101,67,111,114,119,94,111,68,115,115,1
60,102,68,106,111,115,98,108,68,118,118,1
49,82,52,70,82,82,72,82,47,82,85,1
80,123,75,116,123,128,100,122,70,127,117,1
63,111,64,98,106,111,87,113,64,108,104,1
63,94,68,94,106,120,94,100,71,118,122,1
50,109,55,87,100,100,87,122,56,112,112,1
52,85,47,67,85,85,73,82,50,82,90,1
53,100,51,79,100,96,79,100,49,100,84,1
56,97,59,84,93,101,83,101,53,101,93,1
56,97,53,88,105,101,80,98,57,98,102,1
56,110,63,84,101,93,75,97,63,93,89,1
67,127,66,113,122,117,96,124,63,124,119,1
56,101,49,73,97,86,79,93,47,89,85,1
67,122,63,113,122,122,96,119,63,119,114,1
79,104,63,96,104,108,92,110,59,114,114,1
67,117,70,109,122,122,96,114,67,119,119,1
71,124,67,106,119,114,97,120,68,125,115,1
53,104,53,79,100,91,74,96,48,89,85,1
71,118,67,99,113,104,92,112,66,122,117,1
67,112,66,100,112,112,92,110,63,119,114,1
63,117,63,100,112,112,92,105,59,110,110,1
59,114,63,99,110,105,86,119,63,119,114,1
67,114,70,106,119,119,94,115,68,115,115,1
68,123,67,111,123,118,96,122,66,117,122,1
74,120,76,115,120,120,102,122,76,128,128,1
84,118,79,107,109,113,96,112,70,112,100,1
60,111,57,81,102,90,79,113,53,104,104,1
70,114,63,95,105,90,79,114,57,105,101,1
56,109,67,95,100,104,87,112,66,112,112,1
46,93,46,66,86,86,75,97,50,89,93,1
76,118,71,99,108,108,88,118,67,113,104,1
66,130,71,112,130,119,98,124,70,124,119,1
59,105,57,88,105,105,83,106,53,102,94,1
80,122,76,112,118,108,88,113,67,113,104,1
64,123,67,111,123,123,100,122,66,122,122,1
71,128,71,111,128,123,96,122,74,122,122,1
47,82,50,73,90,94,76,91,53,87,87,1
67,104,63,96,112,122,96,97,63,97,114,1
70,115,68,106,115,115,91,108,71,113,118,1
56,96,71,99,104,109,87,100,59,96,108,1
50,91,53,75,87,87,78,89,51,93,96,1
87,119,70,106,114,114,94,102,64,111,111,1
50,94,50,73,90,86,72,91,56,83,83,1
60,87,60,83,91,108,88,89,67,100,109,1
67,122,66,109,117,117,96,119,63,119,114,1
67,122,70,113,117,108,92,114,67,110,105,1
64,128,64,103,113,104,81,123,71,118,109,1
50,102,57,85,94,90,79,104,56,96,96,1
59,105,57,88,105,105,87,106,57,111,106,1
64,118,63,103,118,118,96,104,66,112,108,1
80,118,84,116,128,133,103,109,79,123,128,1
52,110,56,84,101,105,86,114,60,105,110,1
67,112,66,104,112,100,85,114,59,101,93,1
59,119,60,97,114,114,87,120,64,115,120,1
84,109,79,103,123,128,100,108,66,100,104,1
52,82,52,73,82,93,79,85,53,89,97,1
64,96,63,87,96,96,83,96,56,88,100,1
60,104,56,91,104,113,88,113,63,113,113,1
64,118,64,107,118,122,96,118,67,118,123,1
68,118,68,107,122,122,99,118,71,118,113,1
59,114,59,95,110,101,83,114,63,114,105,1
71,112,66,113,117,122,96,119,67,119,119,1
63,112,59,104,112,104,81,114,63,114,110,1
66,130,71,108,114,97,75,119,70,119,105,1
63,119,67,99,114,114,94,114,70,114,114,1
56,97,59,91,101,101,86,93,53,93,97,1
70,124,67,112,124,130,101,129,70,119,119,1
60,98,60,73,90,90,79,100,60,96,96,1
49,90,49,73,86,93,79,85,50,89,89,1
68,122,71,112,122,122,96,123,71,118,123,1
49,89,50,75,101,97,80,90,50,90,94,1
63,106,64,94,111,111,91,118,68,113,118,1
60,100,64,83,104,100,85,100,63,104,100,1
68,118,71,112,122,122,99,123,71,123,123,1
51,92,52,71,84,84,70,86,52,86,86,1
59,114,63,99,114,110,86,119,63,119,119,1
63,115,60,89,102,102,83,104,60,91,83,1
67,96,63,87,108,112,89,101,67,114,114,1
64,96,64,87,104,104,88,104,71,104,109,1
50,94,50,66,82,86,72,91,53,79,83,1
68,122,71,103,113,118,92,123,71,123,118,1
68,113,64,103,113,118,96,118,67,109,118,1
71,127,70,113,117,117,96,119,67,119,114,1
64,118,71,111,118,118,96,108,63,112,122,1
82,120,76,111,115,115,91,100,71,108,113,1
60,115,60,89,111,106,113,104,60,108,108,1
