@relation satimage

@attribute Sp21 numeric
@attribute Sp23 numeric
@attribute Sp25 numeric
@attribute Sp29 numeric
@attribute Sp38 numeric
@attribute Sp41 numeric
@attribute Sp42 numeric
@attribute Sp46 numeric
@attribute Sp47 numeric
@attribute Sp48 numeric
@attribute Class {1,2,3,4,5,6,7}

@data
111,100,113,113,108,98,67,67,112,124,1
99,99,99,103,100,92,70,70,104,112,1
111,98,112,103,107,100,67,67,111,123,1
111,98,107,107,103,96,67,71,116,118,1
91,85,95,91,96,89,59,52,87,108,1
113,96,103,108,106,90,63,74,111,114,1
73,75,79,79,73,76,50,53,77,94,1
85,79,107,99,107,96,63,63,99,113,1
106,91,103,107,103,96,71,71,107,113,1
66,76,64,61,61,67,51,51,68,81,1
87,87,104,91,91,90,56,52,77,93,1
96,92,99,103,88,90,60,53,84,97,1
98,91,91,95,99,87,63,63,103,113,1
85,72,112,99,111,100,71,67,99,109,1
102,87,111,111,112,96,68,68,112,118,1
83,75,109,104,108,98,67,67,91,101,1
94,87,83,87,79,75,59,59,87,100,1
112,99,111,111,109,96,66,66,109,122,1
87,78,103,91,106,94,63,63,88,97,1
106,94,115,115,121,103,88,92,103,108,1
94,83,116,112,111,100,71,71,107,118,1
72,71,79,71,66,75,52,52,70,86,1
112,99,111,111,100,92,78,74,113,122,1
115,101,106,111,107,99,64,68,107,122,1
104,96,103,112,106,94,74,70,111,124,1
85,83,87,87,99,87,63,63,95,109,1
116,100,113,113,112,101,79,71,108,124,1
111,102,107,107,107,96,71,71,111,123,1
103,92,95,99,87,85,63,63,100,112,1
73,83,87,83,87,87,63,63,79,100,1
95,92,91,95,87,85,63,63,96,112,1
111,94,115,115,116,99,68,64,112,122,1
68,75,96,79,73,79,59,63,73,93,1
66,68,75,71,81,76,57,53,73,90,1
102,94,99,103,99,92,59,59,103,118,1
87,85,99,103,87,81,66,66,96,108,1
77,75,75,79,81,79,68,68,98,111,1
81,86,84,92,102,98,80,88,115,131,1
79,79,83,83,81,83,56,56,88,105,1
103,90,79,88,85,83,64,68,89,102,1
103,92,103,103,104,92,63,59,104,112,1
95,85,58,87,32,133,46,56,71,104,1
103,87,83,87,84,83,56,59,84,93,1
107,103,103,103,100,92,70,70,104,112,1
79,80,73,77,79,78,56,56,87,100,1
106,94,116,112,103,96,67,63,91,104,1
68,74,83,72,96,89,63,56,63,84,1
112,101,102,115,106,98,72,68,111,120,1
99,92,99,91,87,81,63,56,91,108,1
75,76,66,73,75,74,53,53,75,87,1
111,98,107,107,111,96,67,71,107,118,1
100,92,103,103,106,94,70,74,111,114,1
75,79,75,79,84,79,56,52,73,93,1
112,96,91,103,87,74,63,66,104,108,1
98,91,99,103,91,87,59,55,83,100,1
79,78,73,84,75,80,53,57,84,93,1
92,80,106,102,103,92,68,64,99,104,1
111,94,112,112,111,100,71,71,111,123,1
88,83,81,81,75,74,56,56,79,91,1
111,94,112,112,111,100,71,71,107,118,1
107,92,87,96,95,90,59,59,99,114,1
95,90,88,92,85,83,60,60,94,111,1
71,76,69,73,71,74,50,50,79,96,1
75,78,79,75,79,78,52,52,71,84,1
107,96,103,107,104,92,63,66,100,112,1
87,85,95,84,106,90,60,53,84,110,1
84,83,73,73,75,78,53,53,79,96,1
113,100,112,108,111,101,67,67,111,119,1
71,76,66,66,61,67,56,64,83,100,1
79,80,77,77,83,81,60,60,83,100,1
111,97,106,111,112,99,71,64,91,104,1
111,104,109,104,103,94,63,67,108,119,1
98,91,95,103,103,92,71,71,107,118,1
95,90,106,102,98,91,60,57,85,98,1
97,87,94,94,87,85,56,53,83,100,1
77,76,75,75,72,75,51,55,79,96,1
111,96,109,109,108,94,63,67,103,114,1
109,96,112,112,111,97,67,67,106,124,1
