@relation coil2000

@attribute MOSTYPE numeric
@attribute MRELGE numeric
@attribute MRELSA numeric
@attribute MRELOV numeric
@attribute MFGEKIND numeric
@attribute MOPLMIDD numeric
@attribute MBERZELF numeric
@attribute MSKB2 numeric
@attribute MHHUUR numeric
@attribute MHKOOP numeric
@attribute MAUT2 numeric
@attribute MINKM30 numeric
@attribute MINK7512 numeric
@attribute PWAPART numeric
@attribute PWABEDR numeric
@attribute PBESAUT numeric
@attribute PMOTSCO numeric
@attribute PBROM numeric
@attribute PLEVEN numeric
@attribute PPERSONG numeric
@attribute PGEZONG numeric
@attribute PBRAND numeric
@attribute PINBOED numeric
@attribute PBYSTAND numeric
@attribute AWAPART numeric
@attribute AMOTSCO numeric
@attribute AAANHANG numeric
@attribute ATRACTOR numeric
@attribute AWERKT numeric
@attribute AWAOREG numeric
@attribute APLEZIER numeric
@attribute AFIETS numeric
@attribute CARAVAN {0,1}

@data
34,9,0,0,5,4,0,3,2,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,7,1,2,6,5,3,2,2,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1,2,9,0,0,5,5,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2,0,6,1,2,1,1,8,2,4,1,2,0,0,5,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0
38,9,0,0,4,0,0,1,6,3,0,2,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
25,7,1,2,5,5,0,2,1,8,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,4,0,5,2,1,0,0,8,1,2,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,5,2,3,3,3,1,3,3,6,1,3,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
29,5,2,3,3,1,0,1,1,8,2,1,1,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
7,5,4,0,4,6,0,4,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,0,2,2,2,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
3,7,1,2,3,4,1,2,0,9,2,0,1,0,6,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
31,9,0,0,8,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,0,2,6,2,0,0,9,0,2,6,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
33,6,0,3,2,5,0,5,0,9,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,0,4,2,0,0,2,9,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
12,8,1,1,4,2,0,1,4,5,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,1,0,4,3,0,6,2,7,2,5,1,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
36,7,0,2,4,0,0,0,9,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,7,2,0,3,5,0,0,0,9,0,4,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,0,0,0,0
3,4,0,5,3,2,0,1,5,4,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
31,6,1,3,2,2,0,2,6,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5,0,4,0,5,0,0,9,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,0,0,3,3,0,3,0,9,2,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,0,1,2,5,0,3,0,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7,0,2,3,2,0,2,3,6,2,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
30,5,0,4,2,3,0,1,8,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
24,5,2,3,4,5,1,1,8,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,2,3,4,1,3,3,6,2,2,2,2,0,0,0,0,3,0,0,4,0,0,1,0,1,0,0,0,0,0,0
