@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R1-4,8,11,14-17,19,22-25,27,30,33-35,53,55,57,59-60,63,66-67,71,75-78,82,86'

@attribute MOSTYPE numeric
@attribute MAANTHUI numeric
@attribute MGEMOMV numeric
@attribute MGEMLEEF numeric
@attribute MGODOV numeric
@attribute MRELSA numeric
@attribute MFGEKIND numeric
@attribute MFWEKIND numeric
@attribute MOPLHOOG numeric
@attribute MOPLMIDD numeric
@attribute MBERHOOG numeric
@attribute MBERMIDD numeric
@attribute MBERARBG numeric
@attribute MBERARBO numeric
@attribute MSKA numeric
@attribute MSKB2 numeric
@attribute MHHUUR numeric
@attribute MAUT2 numeric
@attribute MAUT0 numeric
@attribute MZFONDS numeric
@attribute PWERKT numeric
@attribute PLEVEN numeric
@attribute PGEZONG numeric
@attribute PBRAND numeric
@attribute PZEILPL numeric
@attribute PINBOED numeric
@attribute AWABEDR numeric
@attribute AWALAND numeric
@attribute AVRAAUT numeric
@attribute ABROM numeric
@attribute ALEVEN numeric
@attribute APERSONG numeric
@attribute AGEZONG numeric
@attribute APLEZIER numeric
@attribute CARAVAN {0,1}

@data
39,2,3,2,0,2,3,6,0,4,0,4,1,5,0,4,6,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,3,3,0,2,3,6,3,5,1,5,2,2,1,3,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,3,3,1,1,5,3,0,3,2,3,2,3,1,3,3,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,1,3,2,0,0,0,9,0,3,2,2,5,2,0,4,7,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
33,1,2,4,2,0,6,3,0,2,0,3,4,3,0,0,9,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,5,2,0,1,0,9,0,4,0,6,3,0,0,0,2,2,2,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
11,1,1,3,0,2,2,1,0,7,0,3,0,6,0,4,8,0,7,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
36,1,3,4,0,0,4,3,0,7,2,4,0,2,2,5,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,3,2,0,0,4,5,2,5,2,4,0,2,3,4,7,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,3,0,0,4,5,5,4,6,3,1,0,6,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
