@relation coil2000

@attribute MOSTYPE numeric
@attribute MOSHOOFD numeric
@attribute MGODPR numeric
@attribute MGODGE numeric
@attribute MRELSA numeric
@attribute MRELOV numeric
@attribute MBERZELF numeric
@attribute MBERARBO numeric
@attribute MSKB1 numeric
@attribute MHHUUR numeric
@attribute MAUT1 numeric
@attribute MAUT2 numeric
@attribute MZFONDS numeric
@attribute MINK4575 numeric
@attribute MINK7512 numeric
@attribute MINK123M numeric
@attribute MINKGEM numeric
@attribute PWAPART numeric
@attribute PPERSAUT numeric
@attribute PBESAUT numeric
@attribute PVRAAUT numeric
@attribute PTRACTOR numeric
@attribute PPERSONG numeric
@attribute PWAOREG numeric
@attribute PFIETS numeric
@attribute PINBOED numeric
@attribute APERSAUT numeric
@attribute AAANHANG numeric
@attribute ABROM numeric
@attribute AGEZONG numeric
@attribute CARAVAN {0,1}

@data
13,3,2,3,0,4,0,3,4,4,5,1,5,4,1,1,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0
39,9,5,0,0,9,0,3,0,7,7,1,7,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0
25,6,6,2,1,4,0,2,2,8,6,1,4,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6,3,3,0,3,1,1,3,1,8,1,5,4,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,10,4,4,1,2,0,1,5,3,6,2,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,5,4,2,4,0,2,2,6,7,1,6,4,1,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0
37,8,5,2,0,2,0,4,2,3,7,2,6,3,1,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0
10,3,5,3,1,1,0,0,2,1,8,0,5,4,0,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0
36,8,5,3,0,3,1,2,1,5,6,0,6,2,1,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0
24,5,3,6,2,3,0,2,2,8,6,1,8,1,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0
33,8,4,3,1,1,1,2,1,2,4,4,7,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,5,2,1,1,1,1,3,1,8,0,4,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,5,2,0,0,3,2,8,9,0,6,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8,4,3,1,2,0,4,0,9,6,2,7,5,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,0,0
13,3,4,4,1,2,0,0,2,7,7,1,8,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8,7,2,2,0,2,2,0,2,5,4,9,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,8,2,7,0,2,0,2,4,0,6,1,5,6,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,6,1,0,4,0,5,1,9,8,1,8,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,5,2,1,1,1,1,3,1,8,0,4,4,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
39,9,5,4,2,3,0,1,4,0,7,2,7,1,0,0,3,0,6,0,0,0,0,0,0,0,1,1,0,0,0
38,9,7,2,1,6,0,5,1,8,3,0,8,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8,4,3,1,1,1,2,1,2,4,4,7,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,5,4,0,2,0,2,3,9,9,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,6,4,2,2,5,1,2,2,9,6,0,5,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0
29,7,6,3,3,0,0,2,2,3,9,0,6,3,0,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0
33,8,6,3,0,2,0,4,2,1,8,0,8,7,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8,4,3,2,3,1,2,2,6,7,1,7,3,1,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0
4,1,1,2,0,2,2,2,3,2,7,0,5,8,0,0,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0
10,3,5,3,1,1,0,0,2,1,8,0,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10,4,4,1,2,1,1,2,4,6,2,5,3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,7,3,3,1,4,1,3,2,2,5,1,6,2,1,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0
38,9,9,0,0,4,0,5,0,9,3,2,7,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0
10,3,5,4,1,2,0,6,2,0,6,2,4,5,2,0,5,0,6,0,0,0,0,0,0,0,1,0,0,0,0
23,5,4,1,4,3,0,2,2,9,7,1,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,7,2,0,3,0,0,2,4,7,2,7,4,3,0,6,0,6,0,0,0,0,0,0,0,1,0,0,0,0
24,5,5,4,1,4,0,3,2,7,4,0,7,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,4,5,0,0,0,2,1,5,6,1,7,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,4,4,1,3,0,9,0,5,5,1,7,0,2,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0
24,5,5,4,1,1,0,3,1,7,8,1,9,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,5,3,2,4,0,3,1,7,6,0,7,2,2,0,4,2,6,0,0,0,0,0,0,0,1,0,0,0,0
33,8,3,6,0,0,0,0,0,9,5,0,6,0,0,0,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0
33,8,5,3,0,0,0,0,3,3,7,0,6,4,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,0,0
1,1,6,2,0,0,0,0,2,0,6,3,3,3,0,0,4,0,5,0,0,0,0,0,0,0,1,0,0,0,0
3,1,5,0,0,0,0,0,2,0,5,4,0,8,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7,2,5,1,3,0,4,0,7,6,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,9,5,4,2,3,0,1,4,0,7,2,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,0,5,4,0,0,2,6,0,7,2,2,4,3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,3,4,1,1,0,2,2,3,6,1,8,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,3,6,0,2,0,4,3,8,5,1,8,4,0,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0
31,7,2,5,1,3,0,4,0,6,6,0,9,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0
10,3,0,5,0,0,0,0,0,0,9,0,7,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,7,5,3,1,2,1,2,1,6,6,1,7,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,4,3,1,2,1,2,2,3,6,2,6,4,2,1,5,2,6,0,0,0,0,0,0,0,1,1,0,1,0
13,3,3,6,0,2,0,2,2,6,5,1,8,2,0,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0
34,8,2,5,0,2,0,0,0,9,5,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,1,7,2,2,0,4,1,8,6,1,8,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8,5,3,1,2,1,2,1,6,6,1,7,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,4,0,0,4,0,4,2,0,4,2,5,1,1,0,3,2,6,0,0,0,0,0,0,0,1,0,0,0,0
30,7,6,3,2,6,0,3,0,9,1,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,5,3,1,4,1,2,1,4,6,1,7,2,0,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0
35,8,5,3,1,2,0,6,2,5,9,0,5,3,3,0,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0
40,10,4,4,1,2,5,0,0,4,6,2,5,9,0,0,6,0,6,0,0,5,0,0,0,0,1,0,0,0,0
34,8,7,2,2,0,2,2,0,2,5,4,9,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,8,7,2,0,2,0,0,0,9,7,0,9,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8,7,2,0,2,0,0,0,9,7,0,9,2,2,0,4,2,6,0,0,0,0,0,0,0,1,0,0,1,0
33,8,4,4,2,3,1,4,2,5,6,1,7,3,1,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0
31,7,2,5,3,0,0,9,0,5,4,3,9,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,4,4,1,1,0,4,1,6,7,2,9,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,6,2,1,2,0,0,0,5,7,1,7,0,3,0,4,2,6,0,0,0,0,0,0,0,1,0,0,0,0
39,9,4,4,1,4,1,3,2,1,5,1,7,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
