@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R3-4,10'

@attribute Husband_education numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
3,10,1
4,4,1
4,8,1
4,0,1
4,0,1
4,0,1
4,1,1
3,1,1
4,0,1
3,1,1
4,3,1
3,4,1
4,4,1
4,4,1
4,2,1
3,2,1
3,3,1
3,1,1
4,2,1
3,1,1
3,1,1
4,8,1
4,0,1
4,1,1
3,4,1
4,1,1
2,7,1
4,10,1
1,5,1
4,6,1
4,1,1
4,3,1
3,2,1
4,2,1
4,3,1
4,4,1
3,4,1
2,3,1
3,7,1
3,3,1
4,5,1
3,0,1
4,3,2
4,3,2
4,7,2
3,7,2
4,10,2
4,4,2
4,3,2
4,4,2
4,5,2
4,2,2
4,3,2
4,6,2
4,3,2
4,3,2
4,4,2
4,4,2
4,6,2
4,3,2
4,1,2
4,3,2
4,3,2
4,6,2
4,7,2
4,4,2
4,3,2
4,16,3
4,3,3
4,1,3
4,2,3
3,3,3
4,1,3
4,3,3
4,1,3
4,11,3
4,2,3
4,2,3
4,2,3
4,4,3
4,5,3
4,6,3
1,3,3
4,6,3
3,2,3
4,5,3
4,1,3
4,3,3
2,3,3
4,4,3
3,2,3
4,2,3
4,3,3
3,2,3
4,4,3
2,9,3
4,1,3
4,2,3
4,4,3
3,5,3
4,3,3
4,4,1
4,10,1
4,1,1
4,4,1
2,8,1
1,6,1
4,0,1
3,1,1
4,0,1
4,3,1
4,1,1
3,12,1
4,3,1
4,1,1
3,1,1
3,2,1
2,5,1
3,2,1
4,3,1
4,1,1
4,6,1
4,2,2
4,2,2
4,4,2
4,3,2
3,2,2
4,5,2
4,3,2
4,5,2
2,5,3
4,2,3
3,9,3
2,6,3
3,9,3
3,3,3
4,5,3
2,5,3
3,2,3
4,7,3
3,3,3
4,1,3
4,6,3
4,1,3
4,5,3
3,5,3
4,5,3
