@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Standard-of-living numeric
@attribute Contraceptive_method {1,2,3}

@data
19,0,3,1
46,1,4,1
42,9,2,1
28,3,1,1
29,1,2,1
33,2,2,1
24,0,4,1
30,2,4,1
21,0,3,1
26,2,3,1
30,0,3,1
23,3,1,1
26,1,4,1
48,3,3,1
35,5,2,1
27,3,2,1
31,0,3,1
45,1,3,1
27,0,3,1
27,1,4,1
39,6,3,1
23,2,4,1
26,1,4,1
29,3,4,1
22,0,3,1
35,1,3,1
47,2,4,1
49,9,4,1
29,0,2,1
44,2,4,1
37,5,4,1
16,1,3,1
35,0,4,1
21,1,3,1
32,4,2,1
49,0,2,1
43,4,4,1
37,6,2,1
19,0,2,1
29,4,3,1
25,2,1,1
35,4,4,2
26,2,4,2
18,1,4,2
20,1,2,2
28,2,3,2
20,1,4,2
40,3,4,2
34,2,3,2
21,1,4,2
26,3,4,2
37,3,4,2
28,3,2,2
35,5,3,2
45,7,4,2
44,7,2,2
25,2,3,2
24,1,4,2
21,1,2,2
22,1,3,2
21,1,1,2
33,5,4,2
26,2,4,2
30,1,4,2
41,5,4,2
38,4,4,2
46,4,4,2
40,5,2,3
28,1,2,3
32,5,3,3
27,3,4,3
26,3,4,3
36,6,2,3
39,1,2,3
21,1,1,3
22,2,1,3
25,2,3,3
39,2,3,3
43,3,4,3
31,6,1,3
39,3,4,3
44,8,4,3
32,3,4,3
22,2,1,3
36,5,4,3
24,4,3,3
35,3,4,3
23,2,2,3
26,3,3,3
29,4,3,3
25,3,4,3
38,2,4,3
30,2,2,3
41,6,3,3
34,3,4,3
28,3,4,3
25,3,4,3
40,3,4,3
35,5,4,3
25,2,4,3
37,3,4,3
32,3,4,3
25,1,4,3
23,3,3,3
48,1,3,1
31,2,3,1
33,2,4,1
32,0,4,1
28,1,1,1
47,2,3,1
43,3,4,1
33,5,1,1
49,6,4,1
47,7,2,1
28,2,3,1
45,7,3,1
42,12,4,1
26,1,4,1
46,10,3,1
48,4,4,1
45,7,1,1
22,0,4,1
26,2,3,1
38,10,2,1
27,3,4,1
31,0,4,1
31,4,3,2
36,3,4,2
30,7,4,2
35,5,4,2
44,2,3,2
41,8,4,2
39,5,4,2
41,6,4,2
21,1,2,3
39,3,4,3
32,3,4,3
26,3,3,3
21,1,4,3
37,11,2,3
29,4,2,3
24,1,3,3
27,4,4,3
47,9,3,3
30,4,3,3
32,6,3,3
23,1,4,3
39,8,4,3
