@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,10'

@attribute Wife_age numeric
@attribute Contraceptive_method {1,2,3}

@data
39,1
48,1
33,1
43,1
28,1
27,1
47,1
48,1
49,1
33,1
25,1
38,1
41,1
27,1
26,1
37,1
20,1
22,1
22,1
47,1
49,1
18,1
48,1
26,1
20,1
19,1
41,1
34,1
38,1
22,1
27,1
42,1
33,1
24,1
27,1
29,1
37,1
38,1
39,1
40,1
24,1
23,2
28,2
33,2
27,2
34,2
47,2
42,2
24,2
47,2
29,2
36,2
24,2
33,2
26,2
32,2
39,2
32,2
33,2
37,2
38,2
30,3
21,3
29,3
29,3
33,3
33,3
36,3
20,3
27,3
32,3
25,3
30,3
34,3
26,3
27,3
48,3
27,3
21,3
35,3
25,3
23,3
19,3
17,3
25,3
29,3
25,3
38,3
43,3
28,3
22,3
41,3
45,3
46,3
28,3
39,3
36,3
29,1
31,1
30,1
29,1
36,1
30,1
45,1
26,1
34,1
38,1
28,1
27,1
37,1
31,1
46,1
34,1
40,1
22,1
24,1
33,1
49,1
42,2
45,2
28,2
23,2
38,2
43,2
37,2
47,2
32,2
45,2
44,2
28,2
23,2
44,2
43,3
30,3
29,3
29,3
36,3
28,3
35,3
21,3
37,3
33,3
34,3
21,3
42,3
29,3
33,3
