@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
24,3,2,1
26,0,4,1
48,7,2,1
37,8,2,1
24,0,3,1
39,1,1,1
42,3,3,1
45,0,2,1
26,1,1,1
27,4,1,1
47,3,1,1
26,4,2,1
22,0,1,1
21,1,1,1
34,3,3,1
36,2,3,1
35,2,3,1
45,4,2,1
47,4,2,1
40,1,3,1
37,1,2,1
25,2,3,1
32,0,3,1
25,1,2,1
42,12,3,1
42,11,2,1
43,8,3,1
32,4,1,1
20,1,2,1
39,5,3,1
34,2,1,1
34,2,1,1
36,2,3,1
35,0,2,1
21,0,2,1
35,2,3,1
21,1,3,1
47,1,1,1
25,0,2,1
42,3,2,1
23,2,2,1
25,1,2,1
28,1,3,1
48,8,2,1
46,3,2,1
32,2,1,2
35,5,1,2
36,4,1,2
34,3,1,2
44,4,2,2
19,1,2,2
38,6,3,2
23,3,3,2
25,2,2,2
37,7,3,2
32,3,3,2
26,2,3,2
41,4,1,2
41,5,1,2
37,5,3,2
25,1,4,2
39,3,1,2
35,3,2,2
27,2,1,2
46,3,1,2
39,5,1,2
45,4,1,2
27,5,3,3
28,4,2,3
30,4,2,3
29,3,3,3
29,5,1,3
25,3,1,3
32,4,3,3
26,4,3,3
43,5,3,3
34,4,3,3
24,2,3,3
32,2,1,3
29,5,3,3
37,4,3,3
35,4,1,3
24,2,2,3
34,3,1,3
20,2,1,3
30,3,2,3
30,4,3,3
28,2,2,3
27,3,3,3
33,2,3,3
29,4,3,3
26,3,3,3
28,5,2,3
33,4,2,3
30,2,3,3
30,2,4,3
35,5,2,3
29,4,3,3
27,4,3,3
35,4,4,3
32,3,1,3
22,3,3,3
31,3,1,3
29,3,3,3
31,3,4,3
26,5,2,3
25,4,3,3
25,2,3,1
38,3,1,1
41,1,2,1
48,4,1,1
37,2,1,1
24,2,3,1
45,0,2,1
36,2,2,1
35,8,3,1
27,4,2,1
24,2,3,1
24,2,2,1
23,4,3,1
27,0,3,1
30,4,2,1
32,3,1,1
26,3,3,1
20,0,3,1
45,3,1,2
26,3,2,2
38,4,1,2
29,3,1,2
35,5,2,2
30,5,3,2
32,5,2,2
41,3,2,2
31,4,4,2
34,4,3,2
34,3,3,2
46,4,3,3
29,2,3,3
33,2,1,3
33,3,2,3
36,5,3,3
34,3,3,3
22,2,3,3
21,3,3,3
32,5,1,3
28,1,2,3
22,1,2,3
