@relation 'contraceptive-weka.filters.unsupervised.attribute.Remove-V-R1,4,7,10'

@attribute Wife_age numeric
@attribute Children numeric
@attribute Husband_occupation numeric
@attribute Contraceptive_method {1,2,3}

@data
42,9,3,1
21,1,3,1
39,5,2,1
24,0,2,1
43,8,2,1
24,1,3,1
44,8,3,1
21,1,2,1
27,4,3,1
27,3,3,1
29,2,3,1
32,7,2,1
31,4,3,1
30,0,3,1
32,1,1,1
44,2,1,1
47,7,2,1
32,4,3,1
44,0,2,1
24,2,3,1
22,0,3,1
37,2,1,1
48,4,3,1
44,1,3,1
44,6,3,1
43,6,3,1
36,4,1,1
28,3,1,1
25,0,2,1
23,0,2,1
19,2,3,1
23,2,1,1
18,1,3,1
30,2,2,1
20,3,3,1
37,4,2,1
33,0,3,1
29,0,2,1
43,1,3,1
44,4,3,2
36,2,2,2
34,2,1,2
44,6,1,2
35,7,2,2
29,2,1,2
23,2,3,2
36,3,2,2
43,13,2,2
22,1,4,2
29,2,1,2
34,5,3,2
29,3,3,2
30,2,1,2
24,2,1,2
28,2,1,2
44,4,1,2
35,3,3,2
39,4,1,2
33,3,1,2
33,5,3,2
27,5,2,2
24,5,1,2
20,2,1,3
30,1,1,3
20,2,2,3
45,3,3,3
49,13,1,3
23,1,2,3
36,7,3,3
29,4,2,3
31,3,2,3
32,3,1,3
37,3,2,3
40,4,1,3
28,5,2,3
29,3,2,3
24,1,3,3
26,2,1,3
37,3,2,3
32,3,2,3
22,3,3,3
29,6,3,3
24,2,3,3
23,3,3,3
42,5,1,3
21,1,2,3
22,1,3,3
35,6,3,3
32,5,3,3
25,1,3,3
41,7,2,3
32,4,1,3
30,4,2,3
38,2,3,3
36,3,2,3
34,3,3,3
25,1,1,3
25,0,3,1
42,2,1,1
22,0,3,1
27,1,2,1
40,8,1,1
44,9,1,1
25,1,1,1
27,2,1,1
45,11,2,1
30,4,2,1
21,0,2,1
30,1,2,1
26,0,3,1
28,5,1,1
26,1,4,1
36,3,3,1
20,0,2,1
43,2,3,1
16,1,3,1
21,0,3,1
45,1,1,1
28,5,3,1
47,4,2,1
21,3,3,1
49,4,3,2
28,3,1,2
27,2,3,2
30,3,2,2
32,4,3,2
23,1,1,2
35,9,3,2
33,3,2,2
42,4,2,2
45,5,1,2
30,7,3,3
24,3,3,3
29,3,3,3
31,5,1,3
24,3,3,3
25,2,3,3
30,1,3,3
30,2,3,3
30,3,3,3
21,2,3,3
37,6,3,3
42,3,2,3
27,4,3,3
28,5,3,3
25,3,1,3
33,3,1,3
