@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R1,10,17,19-22,24,26-30,38,41,43-44,51-52,56,60,63,68,71,76,78-81,85-86'

@attribute MOSTYPE numeric
@attribute MRELGE numeric
@attribute MOPLMIDD numeric
@attribute MBERHOOG numeric
@attribute MBERZELF numeric
@attribute MBERBOER numeric
@attribute MBERMIDD numeric
@attribute MBERARBO numeric
@attribute MSKB1 numeric
@attribute MSKB2 numeric
@attribute MSKC numeric
@attribute MSKD numeric
@attribute MHHUUR numeric
@attribute MINK3045 numeric
@attribute MINK123M numeric
@attribute MKOOPKLA numeric
@attribute PWAPART numeric
@attribute PAANHANG numeric
@attribute PTRACTOR numeric
@attribute PPERSONG numeric
@attribute PZEILPL numeric
@attribute PINBOED numeric
@attribute APERSAUT numeric
@attribute AVRAAUT numeric
@attribute ALEVEN numeric
@attribute AGEZONG numeric
@attribute AWAOREG numeric
@attribute ABRAND numeric
@attribute AZEILPL numeric
@attribute ABYSTAND numeric
@attribute CARAVAN {0,1}

@data
23,0,5,2,0,0,4,2,2,2,4,2,9,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,1,6,1,0,0,4,2,3,2,4,0,9,3,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
13,7,4,6,0,0,3,1,2,1,2,0,4,2,0,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,7,2,1,0,1,3,4,2,1,6,1,1,2,0,3,2,0,0,0,0,0,1,0,2,0,0,1,0,0,0
3,8,3,6,0,0,1,3,1,1,1,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7,5,1,0,0,3,4,1,4,4,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,5,3,4,0,0,2,4,2,0,0,4,0,5,0,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
29,3,4,3,0,0,4,2,2,4,3,2,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,8,1,2,0,0,3,2,1,1,7,0,9,3,0,4,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0
41,8,4,1,1,3,2,1,1,3,4,0,2,4,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
10,9,4,4,0,0,3,1,2,2,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,5,2,1,1,1,2,2,1,2,5,1,4,5,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,5,5,0,0,0,0,4,0,0,9,0,0,4,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,6,1,2,0,0,3,2,1,2,5,0,2,5,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
33,6,1,0,2,1,0,0,0,2,7,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,7,0,0,0,0,0,4,0,0,6,3,5,5,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,6,2,1,0,1,4,4,2,2,5,2,2,4,0,3,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0
8,6,4,3,1,0,5,1,2,3,2,1,1,3,1,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10,7,3,3,1,0,4,2,3,1,3,1,6,3,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,6,3,1,0,0,4,4,0,4,5,1,4,7,0,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37,5,4,2,0,1,2,4,2,3,3,1,2,2,2,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,6,1,4,0,0,4,1,3,0,2,0,8,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,9,4,0,0,0,4,5,0,5,4,1,9,4,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
33,7,3,4,0,0,1,2,0,2,4,1,3,5,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
33,6,1,1,0,0,2,5,0,1,6,3,8,4,1,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
35,5,2,1,1,1,2,2,1,2,5,1,4,5,0,5,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1
