@relation coil2000

@attribute MOSTYPE numeric
@attribute MRELGE numeric
@attribute MRELOV numeric
@attribute MBERARBG numeric
@attribute MSKA numeric
@attribute MSKB1 numeric
@attribute MSKB2 numeric
@attribute MSKC numeric
@attribute MSKD numeric
@attribute MHKOOP numeric
@attribute MAUT2 numeric
@attribute MINKM30 numeric
@attribute MINK4575 numeric
@attribute MINK123M numeric
@attribute MINKGEM numeric
@attribute PWAPART numeric
@attribute PPERSAUT numeric
@attribute PVRAAUT numeric
@attribute PWERKT numeric
@attribute PINBOED numeric
@attribute AWAPART numeric
@attribute ABESAUT numeric
@attribute AVRAAUT numeric
@attribute ATRACTOR numeric
@attribute ALEVEN numeric
@attribute APLEZIER numeric
@attribute AINBOED numeric
@attribute ABYSTAND numeric
@attribute CARAVAN {0,1}

@data
2,7,2,0,9,0,0,0,0,5,2,0,9,0,6,2,6,0,0,0,1,0,0,0,0,0,0,0,0
32,6,3,3,1,1,2,5,2,4,0,3,2,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
32,7,2,3,3,2,0,4,0,7,2,0,4,0,4,2,6,0,0,0,1,0,0,0,0,0,0,0,0
41,5,4,3,0,0,4,4,2,5,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5,3,0,0,1,1,5,4,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,9,0,2,0,2,0,7,0,2,2,0,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
39,7,2,3,0,4,0,5,0,7,2,0,5,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
9,6,2,3,0,2,1,5,2,1,2,6,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
26,5,4,7,0,0,0,5,4,2,0,6,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
41,7,2,2,0,0,3,6,0,6,2,6,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
30,5,4,0,0,0,0,5,4,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,3,2,2,2,2,3,2,4,2,3,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
24,4,5,2,1,2,2,3,2,2,1,5,1,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
36,7,0,0,2,3,4,0,0,9,2,0,3,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
6,7,2,2,2,2,3,3,0,7,1,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,5,5,0,0,5,4,0,6,2,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,5,4,0,0,0,0,5,4,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,2,3,0,1,5,3,1,7,2,0,2,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1,6,2,1,4,1,4,1,0,9,2,0,5,1,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0
33,9,0,0,6,0,2,2,0,9,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,4,3,1,1,3,3,3,2,0,5,1,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
7,6,0,0,3,0,6,0,0,9,3,2,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,7,2,1,1,1,4,4,0,7,3,2,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,1,0
36,6,3,4,2,2,0,5,0,5,2,0,4,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
26,6,3,2,1,2,3,3,2,6,0,3,2,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0
31,3,6,4,0,0,0,6,3,2,2,5,0,0,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0
