@relation 'coil2000-weka.filters.unsupervised.attribute.Remove-V-R1,10,12,23,25-29,31,33,37,39,41-42,44,47,50,53,63,65,69,71,73,76,82,84-86'

@attribute MOSTYPE numeric
@attribute MRELGE numeric
@attribute MRELOV numeric
@attribute MBERARBG numeric
@attribute MSKA numeric
@attribute MSKB1 numeric
@attribute MSKB2 numeric
@attribute MSKC numeric
@attribute MSKD numeric
@attribute MHKOOP numeric
@attribute MAUT2 numeric
@attribute MINKM30 numeric
@attribute MINK4575 numeric
@attribute MINK123M numeric
@attribute MINKGEM numeric
@attribute PWAPART numeric
@attribute PPERSAUT numeric
@attribute PVRAAUT numeric
@attribute PWERKT numeric
@attribute PINBOED numeric
@attribute AWAPART numeric
@attribute ABESAUT numeric
@attribute AVRAAUT numeric
@attribute ATRACTOR numeric
@attribute ALEVEN numeric
@attribute APLEZIER numeric
@attribute AINBOED numeric
@attribute ABYSTAND numeric
@attribute CARAVAN {0,1}

@data
9,7,2,1,2,3,4,1,0,3,1,3,3,0,3,2,5,0,0,0,1,0,0,0,0,0,0,0,0
34,7,0,4,0,0,4,5,0,7,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,1,3,1,3,3,3,0,8,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,4,3,0,4,0,5,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8,1,3,1,3,3,3,0,8,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6,0,6,0,1,1,8,0,6,3,3,2,0,3,2,5,0,0,2,1,0,0,0,0,0,1,0,0
33,7,2,6,0,1,1,6,2,5,2,3,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,7,1,1,1,1,4,4,2,2,1,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9,0,2,2,1,3,4,1,7,4,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2,2,0,0,5,4,0,5,2,5,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
24,1,5,1,1,1,3,4,2,1,0,5,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
33,9,0,6,1,1,1,5,4,6,1,3,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
37,7,2,2,4,0,2,3,2,7,2,2,3,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
33,7,0,5,2,1,2,5,2,9,4,2,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
37,7,1,3,0,2,1,7,1,3,1,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3,5,2,1,4,1,3,2,2,1,5,2,0,3,2,6,0,0,0,1,0,0,0,0,0,0,0,0
33,7,1,4,2,1,2,5,1,7,4,3,3,1,4,2,6,0,0,0,1,0,0,0,0,0,0,0,0
33,8,1,5,0,1,1,7,1,0,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,3,0,4,2,3,1,1,9,1,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,7,2,3,1,2,1,6,1,8,0,0,7,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0
33,6,2,2,1,0,1,6,3,1,1,4,2,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0
24,6,3,0,1,1,5,2,2,9,2,2,3,1,5,0,8,0,0,2,0,0,0,0,0,1,1,0,0
22,1,5,1,1,4,3,3,0,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,4,3,0,3,0,6,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,7,2,0,2,2,5,2,0,3,2,7,0,0,2,2,6,0,0,0,1,0,0,0,0,0,0,0,0
