@relation crx

@attribute A9 {t,f}
@attribute Class {positive,negative}

@data
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
f,positive
t,positive
t,positive
f,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,positive
f,positive
t,positive
t,positive
t,positive
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
t,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
f,negative
t,negative
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,negative
f,negative
f,negative
f,negative
t,negative
f,negative
