@relation 'crx-weka.filters.unsupervised.attribute.Remove-V-R9,16'

@attribute A9 {t,f}
@attribute Class {positive,negative}

@data
f,positive
t,positive
t,positive
t,negative
f,negative
t,negative
t,negative
t,negative
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
f,positive
t,negative
f,negative
f,negative
f,negative
f,negative
t,positive
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
t,positive
t,positive
t,positive
t,negative
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,positive
t,negative
f,negative
f,negative
f,negative
f,negative
f,negative
f,negative
