@relation crx

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A4 {u,y,l}
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A9 {t,f}
@attribute A11 numeric
@attribute A13 {g,s,p}
@attribute A14 numeric
@attribute A15 numeric
@attribute Class {positive,negative}

@data
a,2075,u,q,v,t,2,g,49,0,positive
a,1883,y,c,h,t,0,g,240,0,positive
a,4033,y,q,h,t,14,g,0,2300,positive
b,2825,u,m,v,t,3,g,396,0,positive
a,3308,u,q,h,t,2,g,0,0,positive
b,255,u,m,v,t,3,g,260,15108,positive
b,4767,u,c,bb,t,20,g,0,15000,positive
a,3067,u,c,v,t,1,g,220,19,positive
a,4117,u,q,v,t,3,g,145,0,positive
b,2208,u,c,h,f,0,g,128,0,positive
b,2825,y,c,bb,t,8,g,144,7,positive
b,4217,u,q,h,t,0,g,92,0,positive
b,2617,u,i,bb,t,0,g,0,0,positive
b,2517,u,c,v,t,3,g,0,0,positive
b,2025,u,e,dd,t,0,g,0,0,positive
b,2267,y,c,h,t,0,g,0,0,positive
b,2283,u,m,v,t,1,g,260,800,positive
a,30,u,e,dd,t,5,g,99,500,positive
b,6775,u,e,z,t,1,g,0,0,positive
b,2325,u,q,v,t,3,g,0,582,positive
b,4767,u,m,bb,t,12,g,410,2510,positive
b,4817,u,w,h,t,12,g,0,790,positive
b,6008,u,ff,ff,t,15,g,0,1000,positive
a,1892,u,aa,v,t,2,g,88,591,positive
a,6092,u,aa,v,t,4,g,0,99,positive
b,205,y,c,v,t,0,s,40,0,positive
b,2017,u,aa,v,t,14,g,60,158,positive
b,4117,u,cc,h,t,8,g,320,0,positive
b,2183,u,d,h,t,0,g,0,0,positive
a,2242,y,x,h,t,4,g,0,321,positive
b,2325,u,c,bb,t,0,g,160,0,positive
a,4742,u,x,v,t,2,g,519,1704,positive
b,2783,u,w,v,t,11,g,434,35,positive
b,2667,u,cc,v,t,1,g,120,0,positive
a,1842,u,q,v,t,4,g,60,540,positive
b,3858,u,w,v,t,14,g,383,1344,positive
a,4667,u,cc,h,t,11,g,440,6,positive
a,215,u,aa,v,t,3,g,80,918,positive
b,3925,u,m,v,t,14,g,240,4607,positive
b,2317,u,cc,v,t,0,g,0,0,positive
b,2517,u,cc,v,t,7,g,0,7059,positive
b,3492,u,x,h,t,6,g,0,1000,positive
a,4608,u,c,v,t,8,g,396,4159,positive
b,2567,u,cc,v,t,67,g,140,258,positive
b,2325,u,c,v,t,0,s,300,0,positive
b,185,u,i,v,t,2,g,120,300,positive
b,3083,u,w,v,t,1,g,202,0,positive
b,2575,u,c,bb,t,0,g,349,23,positive
b,2725,u,cc,h,t,12,g,583,713,positive
b,4858,y,k,v,t,11,g,380,2732,positive
b,2575,u,c,v,t,5,g,312,0,positive
b,41,u,e,v,f,1,s,560,0,positive
b,3017,u,c,v,t,11,g,32,540,positive
b,4833,u,m,v,t,0,s,110,0,positive
a,3125,u,cc,h,t,9,g,181,0,positive
b,4025,u,e,z,t,11,g,0,1200,positive
b,525,u,k,v,t,15,g,0,11202,positive
b,26,u,q,v,t,0,g,280,0,positive
b,495,u,i,bb,t,15,g,0,5000,positive
b,3283,u,cc,h,t,6,g,160,2072,positive
b,21,y,w,v,t,1,g,80,300,positive
a,2075,u,cc,h,t,1,g,80,50,positive
a,2817,u,q,v,t,4,g,80,0,positive
b,27,y,w,v,t,0,g,260,1065,positive
b,27,u,c,h,t,3,g,312,150,positive
a,2867,u,c,v,t,5,g,300,1430,positive
b,4142,u,q,h,t,6,g,470,0,positive
b,2042,u,c,v,t,1,g,100,150,positive
a,1758,u,aa,v,t,0,g,0,0,positive
a,3233,u,cc,v,t,0,g,440,11177,positive
b,2133,u,c,v,t,0,g,0,0,positive
