@relation crx

@attribute A1 {b,a}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
b,117,positive
b,383,positive
b,180,positive
a,0,positive
b,200,positive
a,0,positive
b,320,positive
b,300,positive
b,200,positive
b,120,positive
b,330,positive
b,150,positive
b,370,positive
b,232,positive
a,300,positive
b,0,positive
b,711,positive
b,154,positive
b,260,positive
a,340,positive
a,0,positive
a,371,positive
b,160,positive
a,280,positive
b,120,positive
b,0,positive
a,0,positive
b,583,positive
b,487,positive
a,0,positive
a,0,positive
a,228,positive
b,186,positive
b,108,positive
b,260,positive
a,440,positive
a,220,positive
b,290,positive
b,140,positive
a,120,positive
b,0,positive
a,0,positive
a,0,positive
b,30,positive
a,0,positive
b,225,positive
a,0,positive
b,0,positive
b,60,positive
b,303,positive
a,333,positive
a,0,positive
a,232,positive
b,260,positive
b,0,positive
a,0,positive
b,340,positive
b,393,positive
b,88,positive
b,230,positive
b,240,positive
a,491,positive
b,100,positive
b,120,positive
b,32,positive
b,360,positive
a,160,positive
a,80,positive
b,380,positive
b,450,positive
b,150,positive
b,0,positive
b,0,positive
a,100,positive
b,352,positive
b,434,positive
b,400,positive
b,0,positive
a,80,positive
a,0,positive
b,500,positive
b,0,positive
b,0,positive
b,840,positive
b,0,positive
a,0,positive
b,0,positive
b,80,positive
a,0,positive
b,0,positive
b,0,positive
a,0,positive
b,0,positive
b,410,positive
a,160,positive
a,400,positive
b,239,positive
a,100,positive
b,20,positive
b,395,positive
a,0,positive
b,560,positive
a,120,positive
b,0,positive
a,99,positive
a,129,positive
b,120,positive
b,200,positive
b,0,positive
b,181,positive
b,40,positive
b,240,positive
b,100,positive
b,160,positive
a,120,positive
a,100,positive
b,0,positive
a,120,positive
b,200,positive
b,470,positive
b,420,positive
b,520,positive
b,100,positive
a,0,positive
b,70,positive
a,240,positive
b,100,positive
b,0,positive
b,0,positive
a,80,positive
b,110,positive
b,80,positive
b,56,positive
a,80,positive
b,400,positive
b,0,positive
b,168,positive
a,455,positive
b,102,positive
b,274,positive
b,0,positive
