@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,8,19'

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
43,73,65,42,bus
34,62,61,54,van
49,79,71,37,bus
42,77,58,47,saab
48,86,126,44,van
48,104,67,32,opel
53,103,66,32,opel
39,83,60,38,saab
42,84,75,38,bus
52,100,59,33,saab
48,87,64,43,van
46,105,68,33,opel
40,82,63,45,van
42,70,62,45,bus
46,104,60,34,saab
54,107,64,30,opel
36,64,69,49,van
39,74,58,44,saab
39,90,60,37,opel
56,104,71,31,saab
46,71,56,44,bus
36,74,60,42,saab
40,58,58,54,van
44,68,61,45,bus
39,57,56,58,van
55,101,62,30,opel
35,66,62,50,van
34,53,58,58,saab
37,54,55,52,saab
47,88,66,38,saab
47,103,69,33,opel
37,66,54,52,saab
37,72,72,41,bus
45,91,63,45,van
46,78,61,45,van
45,77,59,44,opel
54,100,67,27,bus
51,109,67,30,opel
49,83,63,37,saab
42,64,64,50,van
36,78,62,48,opel
53,108,54,31,opel
34,72,56,50,saab
45,70,54,45,bus
36,69,57,50,opel
42,70,56,45,bus
42,64,51,51,van
46,75,75,42,bus
37,74,59,41,opel
43,71,64,45,bus
40,66,52,44,opel
43,71,68,45,bus
45,89,71,35,bus
57,103,72,30,opel
54,109,57,31,saab
37,71,61,43,saab
39,76,62,48,van
43,61,53,46,bus
49,105,61,32,saab
43,70,74,44,bus
35,66,64,52,van
55,105,68,32,opel
53,104,56,31,saab
40,59,53,52,van
42,66,57,54,van
44,71,70,46,bus
46,104,66,35,saab
40,66,58,48,saab
39,77,59,48,van
46,70,70,39,bus
49,103,62,32,saab
54,98,61,29,bus
53,101,65,31,saab
45,73,69,46,van
40,55,53,53,van
50,98,63,30,bus
45,92,62,35,opel
39,70,66,44,bus
48,105,64,33,opel
52,93,67,35,opel
38,63,55,55,opel
38,72,69,38,bus
43,96,65,35,opel
44,72,64,48,van
