@relation vehicle

@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
170,66,9,150,147,143,van
130,62,5,114,132,137,van
164,68,10,143,137,158,van
151,63,7,137,146,167,van
167,69,8,143,148,176,van
126,52,9,127,137,119,van
138,59,7,136,133,128,van
166,66,10,155,150,159,van
136,56,8,131,144,134,van
147,58,10,153,151,186,van
121,59,5,123,125,133,van
125,52,10,156,160,177,van
125,54,10,156,151,176,van
246,102,43,155,160,177,van
160,64,11,155,151,174,van
160,62,8,140,150,124,van
125,53,7,131,144,162,van
114,53,7,132,139,158,van
160,63,10,158,157,162,van
142,58,9,134,142,164,van
149,60,10,155,155,186,van
141,58,9,149,145,162,van
162,66,8,148,145,147,van
142,59,11,160,160,185,van
137,56,10,159,160,186,van
105,52,5,119,128,125,van
109,52,6,118,129,125,van
130,55,7,130,138,123,van
172,67,9,157,150,184,van
176,67,10,158,149,154,van
333,138,49,155,155,187,van
133,56,11,159,156,173,van
137,58,6,136,146,166,van
159,63,9,144,143,127,van
159,63,8,144,150,134,van
231,97,46,150,149,164,van
166,67,9,145,147,179,van
178,72,10,162,159,184,van
133,55,11,157,160,176,van
139,56,11,157,155,175,van
127,54,7,127,132,116,van
157,64,8,136,145,167,van
162,64,11,159,157,185,van
112,55,5,122,128,146,van
173,67,10,157,157,157,van
141,57,9,149,143,158,van
159,63,11,160,157,171,van
145,60,6,130,130,121,van
169,66,9,151,147,179,van
151,64,8,128,129,112,van
110,55,3,117,122,139,van
159,65,9,144,141,143,van
175,70,12,157,155,192,van
147,61,11,151,145,163,van
144,59,8,127,139,150,van
121,53,9,157,165,176,van
170,65,9,145,145,140,van
115,54,5,119,132,129,van
147,62,9,131,127,115,van
129,59,6,116,135,145,van
125,52,8,130,139,132,van
162,66,11,162,155,172,van
131,56,7,127,145,152,van
123,55,5,120,128,131,van
150,64,7,128,143,159,van
162,64,10,157,161,186,van
131,54,11,160,163,174,van
153,59,8,139,139,123,van
139,57,8,132,136,121,van
132,56,10,157,164,187,van
124,52,6,139,144,172,van
150,63,11,160,160,176,van
136,58,10,161,163,185,van
114,48,7,135,139,151,van
140,58,11,156,157,176,van
163,66,11,159,159,176,van
141,59,8,139,130,127,van
135,55,12,155,158,164,van
149,62,9,147,152,181,van
306,126,49,153,156,200,van
119,56,4,118,129,152,van
144,58,10,152,144,161,van
166,65,10,153,156,143,van
117,49,7,131,145,156,van
145,58,11,159,160,189,van
115,56,5,119,124,127,van
119,52,5,128,135,142,van
157,64,8,137,144,171,van
169,67,10,154,149,174,van
136,55,11,154,150,164,van
157,61,9,149,157,140,van
113,57,3,118,128,136,van
111,48,8,134,141,139,van
143,59,8,142,131,138,van
136,58,6,122,132,116,van
145,62,9,136,134,140,van
138,57,10,156,170,187,van
151,62,8,130,142,161,van
165,69,8,136,136,127,van
164,64,9,156,149,182,van
163,66,11,156,158,178,van
163,63,9,146,140,137,van
139,59,7,122,139,143,van
