@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R4-7,10,13,19'

@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
186,61,10,216,173,220,saab
183,63,8,164,134,139,saab
115,51,6,142,130,146,saab
228,70,9,210,168,245,opel
212,63,9,193,161,185,opel
143,56,7,146,137,156,opel
164,68,9,142,147,171,van
133,55,7,147,135,144,opel
116,55,6,125,125,132,opel
143,62,11,159,156,186,van
120,54,8,150,145,176,bus
154,64,9,144,139,149,van
139,64,6,147,143,184,bus
174,68,7,151,131,135,bus
169,66,7,145,140,159,bus
199,59,7,240,168,245,bus
176,64,8,162,149,178,opel
121,55,7,149,146,172,bus
141,56,7,138,126,130,opel
215,68,10,208,166,218,saab
120,53,6,151,147,178,bus
189,59,10,208,163,197,saab
158,68,9,134,142,170,van
199,74,5,165,128,136,bus
128,56,8,151,145,186,bus
124,51,7,140,141,149,van
211,65,11,212,165,249,opel
170,67,6,142,142,177,bus
140,60,7,119,134,141,van
113,53,6,122,129,135,van
179,51,8,257,172,232,bus
186,71,7,154,127,132,bus
130,58,8,151,146,187,bus
197,59,10,192,161,195,opel
131,56,9,126,144,155,van
111,54,5,120,127,147,van
160,63,8,142,148,171,van
188,59,9,188,161,205,opel
146,62,6,140,135,162,opel
167,59,6,151,145,177,opel
195,61,10,198,150,195,saab
145,58,9,152,155,184,van
160,66,25,140,139,130,van
116,56,4,120,124,135,opel
126,56,6,119,130,118,van
161,68,8,142,144,179,van
183,57,13,225,177,204,opel
143,60,11,161,159,186,van
175,60,9,157,149,169,saab
130,57,6,151,143,168,bus
224,68,11,215,170,214,opel
228,68,12,218,170,224,saab
174,58,8,177,133,155,saab
166,60,8,160,133,155,saab
123,54,6,150,144,177,bus
206,63,12,222,168,201,saab
220,66,11,214,167,212,saab
128,55,8,150,148,176,bus
141,62,8,153,144,174,bus
150,61,7,137,140,121,van
153,58,8,140,138,151,opel
166,69,5,143,143,170,bus
203,73,7,178,157,186,bus
198,69,6,177,139,163,bus
181,62,8,161,131,117,opel
197,63,10,179,140,136,opel
143,59,7,128,129,109,van
169,61,8,164,150,190,saab
180,67,8,154,129,144,saab
146,59,7,130,134,144,opel
186,62,9,169,139,133,saab
214,64,10,201,152,178,saab
200,61,11,225,178,204,opel
165,66,6,145,134,139,bus
203,65,9,197,152,174,saab
123,53,7,150,147,176,bus
152,64,7,135,145,162,van
201,62,12,218,170,217,saab
116,54,6,115,126,144,van
155,56,8,154,149,170,saab
174,56,11,210,163,222,saab
123,53,8,137,127,145,saab
177,54,13,224,188,213,opel
142,57,10,151,149,159,van
222,67,12,222,173,200,saab
