@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
83,40,53,53,van
94,49,82,43,van
88,42,66,54,van
95,49,82,43,van
93,37,70,53,van
86,39,62,57,van
92,35,58,55,van
86,34,62,54,van
95,43,76,44,van
89,47,83,43,van
86,39,60,55,van
87,42,64,50,van
89,40,77,46,van
89,47,80,43,van
95,41,82,46,van
92,43,70,49,van
85,45,80,45,van
85,36,51,57,van
89,37,51,56,van
88,44,85,43,van
89,46,78,43,van
84,37,53,55,van
89,40,79,46,van
100,46,90,43,van
90,41,62,52,van
90,42,63,50,van
90,49,85,43,van
89,44,76,44,van
89,45,85,43,van
91,36,60,56,van
94,47,85,43,van
96,46,88,44,van
91,44,66,48,van
85,45,82,43,van
87,37,52,58,van
89,43,85,43,van
89,36,68,47,van
89,35,70,53,van
87,40,81,46,van
93,42,64,49,van
86,39,58,57,van
86,43,68,48,van
86,38,76,47,van
88,34,58,52,van
93,47,85,44,van
97,35,66,52,van
85,45,71,46,van
84,44,80,44,van
85,37,68,51,van
90,44,69,49,van
94,37,72,50,van
90,43,72,49,van
93,43,88,45,van
91,41,64,51,van
89,36,51,57,van
86,44,78,46,van
85,35,64,57,van
91,39,77,48,van
90,44,72,48,van
93,46,85,44,van
93,43,85,44,van
90,48,77,44,van
88,36,53,57,van
88,43,84,44,van
83,40,59,52,van
86,38,58,57,van
93,44,90,44,van
93,47,85,43,van
94,45,85,43,van
85,45,73,46,van
83,45,73,46,van
96,39,58,52,van
93,36,64,49,van
93,40,73,49,van
95,47,88,43,van
96,44,85,43,van
90,43,81,45,van
94,36,66,50,van
85,47,75,44,van
93,36,63,50,van
94,45,81,46,van
91,42,66,50,van
97,47,87,43,van
91,43,70,51,van
88,40,55,53,van
89,42,85,44,van
93,39,78,48,van
94,35,66,50,van
89,47,84,44,van
85,39,57,58,van
91,37,76,51,van
90,48,78,43,van
94,48,87,43,van
90,47,85,43,van
92,40,82,45,van
92,40,62,52,van
94,42,68,52,van
90,48,78,43,van
91,42,80,44,van
88,37,51,57,van
95,44,84,46,van
98,44,78,47,van
83,37,62,55,van
94,48,83,43,van
95,48,83,42,van
90,48,86,44,van
85,36,66,56,van
93,41,75,49,van
85,39,68,53,van
91,46,78,45,van
93,42,64,51,van
87,36,53,57,van
93,43,78,48,van
82,43,70,48,van
91,43,88,45,van
90,46,75,43,van
94,46,91,43,van
88,44,84,44,van
98,44,88,43,van
96,40,70,50,van
90,48,85,43,van
94,50,84,44,van
90,47,85,44,van
94,43,82,43,van
88,39,76,48,van
92,38,60,58,van
96,46,88,43,van
86,36,70,50,van
87,47,81,45,van
85,35,47,57,van
90,43,66,48,van
98,38,70,53,van
89,44,70,49,van
89,41,84,45,van
90,46,80,43,van
90,48,81,44,van
94,49,87,43,van
91,41,84,45,van
91,41,66,53,van
92,40,66,50,van
89,42,66,51,van
96,39,64,52,van
95,46,76,42,van
87,42,64,50,van
94,45,85,44,van
89,40,58,54,van
87,45,66,47,van
96,45,80,46,van
86,40,66,54,van
97,45,91,45,van
89,40,60,56,van
90,47,73,42,van
93,42,70,53,van
89,47,85,44,van
97,41,62,52,van
86,37,69,48,van
86,35,44,57,van
91,38,70,47,van
91,39,82,46,van
90,47,85,42,van
95,42,85,44,van
83,37,49,55,van
90,39,57,51,van
89,36,68,50,van
89,41,63,55,van
89,46,77,44,van
89,38,74,49,van
92,41,66,50,van
93,40,62,52,van
89,47,81,44,van
94,49,87,43,van
94,36,68,52,van
93,46,82,43,van
88,35,60,52,van
95,38,66,52,van
93,41,79,46,van
98,39,68,51,van
90,46,73,43,van
84,37,70,49,van
