@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
85,60,6,51,65,van
93,51,7,51,78,van
98,67,10,43,66,van
88,57,6,54,66,van
96,50,8,50,80,van
84,59,5,55,82,van
93,51,7,49,77,van
90,64,11,43,74,van
86,60,7,55,61,van
85,63,8,46,72,van
88,53,7,53,87,van
95,72,10,42,70,van
93,66,9,44,67,van
88,57,3,57,88,van
94,64,7,52,69,van
96,63,9,46,64,van
93,65,10,44,66,van
89,59,11,43,75,van
94,64,10,43,74,van
93,65,12,43,76,van
83,53,6,55,79,van
86,68,9,46,70,van
93,68,9,49,71,van
93,66,8,48,64,van
94,64,10,43,75,van
90,64,10,42,73,van
85,56,11,43,76,van
89,58,7,54,63,van
86,54,2,57,90,van
90,56,10,44,78,van
94,67,9,46,66,van
94,68,10,44,73,van
90,60,10,43,75,van
91,68,10,46,68,van
83,53,6,53,86,van
94,56,10,43,76,van
90,59,11,43,76,van
89,54,11,43,77,van
87,54,6,58,74,van
96,64,9,44,70,van
91,63,7,48,72,van
90,64,8,49,64,van
89,59,7,49,72,van
88,55,11,44,73,van
91,61,9,45,70,van
87,58,8,47,73,van
90,58,9,44,73,van
92,52,7,50,81,van
100,67,9,43,67,van
89,65,9,46,70,van
90,60,6,52,61,van
92,52,6,49,79,van
87,64,10,50,67,van
88,59,6,52,63,van
94,63,10,43,68,van
86,56,4,57,78,van
93,63,8,46,67,van
92,58,6,55,64,van
96,68,10,43,69,van
93,49,7,52,78,van
97,56,7,52,78,van
89,133,48,43,97,van
92,59,8,52,62,van
96,48,8,52,80,van
91,59,8,48,62,van
89,64,11,44,76,van
94,57,10,44,77,van
84,58,11,44,74,van
87,58,4,57,85,van
95,66,9,44,65,van
86,63,8,48,71,van
86,59,7,54,63,van
92,62,5,58,72,van
85,53,9,44,77,van
85,64,9,45,71,van
93,69,8,49,67,van
93,64,8,48,63,van
89,60,8,50,62,van
89,54,10,44,76,van
86,55,5,57,69,van
94,54,10,43,74,van
85,55,5,56,73,van
88,55,12,44,75,van
94,138,49,43,135,van
92,63,9,45,64,van
91,61,8,51,68,van
90,64,7,49,75,van
94,61,8,50,62,van
89,64,11,43,72,van
90,58,11,42,77,van
89,59,6,55,76,van
93,54,10,44,75,van
97,63,10,45,65,van
86,59,6,57,64,van
88,62,8,48,63,van
89,53,7,51,73,van
94,54,7,52,66,van
90,58,11,43,76,van
86,61,7,54,64,van
95,56,11,43,75,van
90,62,11,43,74,van
90,97,46,45,91,van
95,62,10,46,64,van
89,58,7,53,64,van
97,64,9,43,68,van
96,51,6,52,86,van
98,52,8,53,74,van
86,59,8,47,71,van
89,58,6,49,78,van
91,58,9,50,69,van
94,70,12,43,69,van
93,56,7,53,74,van
93,66,11,44,74,van
98,49,7,51,75,van
89,55,11,44,74,van
87,64,10,50,67,van
95,66,11,42,74,van
90,126,49,44,118,van
94,60,9,50,69,van
83,55,5,55,85,van
93,52,9,53,71,van
95,52,8,52,78,van
85,55,3,57,89,van
89,52,6,57,80,van
89,59,8,47,73,van
83,53,7,52,84,van
93,57,8,50,67,van
93,58,6,49,73,van
91,55,8,51,70,van
89,58,10,44,74,van
91,61,9,45,64,van
90,64,8,48,65,van
85,52,5,53,75,van
93,66,9,45,65,van
89,63,11,43,73,van
95,64,11,43,71,van
91,55,8,51,69,van
89,58,9,45,72,van
91,66,8,44,70,van
85,56,6,58,64,van
86,61,9,50,66,van
96,66,10,43,67,van
95,65,9,46,64,van
83,68,8,46,71,van
93,58,11,43,77,van
89,54,5,56,82,van
87,62,9,45,72,van
90,48,7,51,85,van
88,59,7,52,62,van
94,64,10,43,75,van
86,64,9,48,69,van
90,57,11,43,75,van
92,48,7,50,85,van
94,62,9,50,66,van
90,60,11,43,75,van
85,57,6,57,65,van
89,64,9,46,71,van
89,56,6,56,65,van
82,105,55,48,99,van
90,55,11,43,77,van
85,69,8,46,71,van
97,64,8,52,66,van
88,56,11,43,76,van
87,68,10,46,70,van
91,56,9,53,72,van
90,59,7,50,65,van
98,63,8,47,63,van
88,52,5,57,86,van
91,56,6,56,67,van
90,60,9,44,75,van
84,61,7,49,64,van
94,54,11,43,75,van
91,66,25,47,67,van
89,52,10,44,78,van
85,56,5,57,81,van
89,58,10,44,72,van
90,65,9,48,67,van
95,57,10,44,71,van
91,57,9,45,72,van
92,57,8,43,60,saab
91,60,8,41,72,saab
84,59,5,44,77,saab
88,60,5,46,86,saab
104,64,11,31,74,saab
104,59,9,33,70,saab
82,63,7,51,82,saab
96,56,7,47,61,saab
86,61,5,45,80,saab
108,57,11,31,70,saab
93,62,11,36,64,saab
106,64,11,33,65,saab
109,68,11,31,68,saab
105,62,11,30,72,saab
111,61,11,32,64,saab
107,68,11,30,70,saab
97,66,9,35,72,saab
101,69,12,31,71,saab
102,67,10,32,68,saab
86,56,5,50,70,saab
109,59,10,32,70,saab
95,65,10,34,71,saab
109,64,9,33,70,saab
88,62,6,50,83,saab
107,66,11,31,71,saab
85,59,5,50,68,saab
92,67,8,43,69,saab
84,54,7,45,74,saab
97,60,9,42,63,saab
115,60,12,34,62,saab
100,61,9,40,63,saab
98,65,8,39,67,saab
101,59,11,32,65,saab
93,59,9,39,63,saab
98,65,9,33,68,saab
104,63,10,32,74,saab
105,60,11,35,64,saab
100,60,9,34,73,saab
94,60,8,42,67,saab
107,64,12,32,65,saab
96,66,9,34,73,saab
89,62,6,46,74,saab
93,64,8,40,72,saab
92,57,7,41,69,saab
90,58,9,42,60,saab
89,62,7,45,71,saab
119,65,12,31,66,saab
94,62,9,39,61,saab
104,65,11,31,72,saab
98,64,9,40,62,saab
85,58,6,48,77,saab
106,67,12,30,70,saab
99,63,10,33,73,saab
107,56,11,31,72,saab
107,71,11,31,71,saab
79,55,5,48,81,saab
101,60,11,38,62,saab
108,62,10,32,72,saab
93,66,7,38,66,saab
89,58,8,37,70,saab
104,61,11,32,64,saab
86,62,7,45,82,saab
90,55,6,54,65,saab
89,53,5,50,79,saab
92,56,6,41,71,saab
85,58,6,58,70,saab
107,68,12,31,67,saab
93,64,7,41,70,saab
100,59,10,32,70,saab
82,53,4,50,86,saab
103,56,11,32,73,saab
99,66,11,32,68,saab
84,57,4,59,76,saab
103,55,10,32,73,saab
91,64,9,38,66,saab
104,61,11,31,67,saab
80,55,7,46,83,saab
108,55,12,31,72,saab
98,67,9,32,72,saab
98,63,9,37,65,saab
87,58,6,44,70,saab
89,54,8,46,64,saab
82,54,7,52,72,saab
91,59,9,40,62,saab
90,57,6,56,68,saab
89,57,4,55,82,saab
112,58,11,32,67,saab
97,71,9,32,74,saab
91,60,8,38,72,saab
98,66,10,35,68,saab
106,64,12,31,73,saab
104,64,11,31,71,saab
112,56,11,31,71,saab
86,58,7,50,66,saab
100,65,10,33,72,saab
90,61,10,36,69,saab
95,61,9,43,63,saab
83,61,4,50,85,saab
106,60,10,31,73,saab
89,64,9,41,66,saab
88,56,8,43,69,saab
97,59,9,36,67,saab
108,64,10,30,73,saab
93,63,8,40,67,saab
94,59,7,43,67,saab
95,64,10,36,64,saab
113,62,9,33,64,saab
91,56,7,45,72,saab
90,63,7,37,70,saab
110,66,10,32,67,saab
108,63,10,34,65,saab
105,68,10,32,69,saab
82,53,7,54,78,saab
92,66,7,43,70,saab
89,61,8,40,72,saab
97,71,12,30,70,saab
104,65,10,35,65,saab
103,60,10,35,62,saab
109,69,12,31,72,saab
90,59,7,41,71,saab
96,68,8,42,69,saab
