@relation vehicle

@attribute Circularity numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
48,43,185,196,van
44,44,194,203,van
44,49,187,191,van
46,43,183,194,van
48,44,185,194,van
47,43,189,198,van
49,43,182,192,van
48,43,182,192,van
44,48,196,203,van
46,43,185,194,van
45,46,194,202,van
46,43,182,193,van
47,42,183,191,van
37,55,179,183,van
37,48,194,202,van
35,57,196,203,van
38,58,190,194,van
40,54,202,208,van
37,51,195,203,van
41,45,188,197,van
44,49,186,187,van
49,43,182,191,van
37,53,191,190,van
45,43,192,200,van
40,52,177,183,van
45,44,183,192,van
42,49,192,201,van
47,44,186,197,van
45,46,191,199,van
44,46,190,201,van
40,49,187,188,van
45,43,183,193,van
46,42,184,193,van
40,45,199,206,van
41,45,189,199,van
46,42,189,200,van
36,57,180,183,van
45,43,183,193,van
45,44,192,201,van
40,46,189,199,van
40,50,183,183,van
48,43,184,193,van
37,56,181,183,van
42,53,189,190,van
41,52,184,186,van
39,52,186,187,van
46,44,192,199,van
48,44,185,195,van
42,51,188,191,van
42,54,193,198,van
43,44,187,200,van
40,53,176,183,van
35,57,180,183,van
36,50,201,208,van
39,48,201,208,van
40,50,182,183,van
40,46,188,197,van
35,52,202,209,van
41,49,184,185,van
39,55,200,207,van
35,53,199,207,van
34,54,200,208,van
40,54,199,206,van
45,43,189,199,van
45,46,187,196,van
37,58,186,190,van
48,44,185,195,van
46,45,189,200,van
49,43,183,194,van
43,43,186,197,van
39,46,191,201,van
40,53,176,183,van
42,50,191,197,van
44,44,183,195,van
37,55,181,185,van
48,43,183,192,van
45,45,197,205,van
47,44,186,197,van
41,51,194,201,van
35,52,195,200,van
38,51,191,194,van
41,46,199,207,van
46,42,189,196,van
45,47,188,196,van
46,43,186,197,van
36,49,193,204,van
42,51,203,210,van
37,56,186,190,van
43,48,190,199,van
35,50,196,201,van
48,43,185,195,van
40,46,190,200,van
46,44,184,191,van
44,44,183,193,van
49,43,183,192,van
41,45,188,200,van
41,52,201,208,van
39,53,182,187,van
35,55,197,203,van
36,52,195,196,van
42,50,193,201,van
42,44,187,199,van
38,47,189,196,van
39,57,190,194,van
44,43,194,202,van
40,52,184,184,van
39,48,201,209,van
42,51,185,185,van
37,57,179,183,van
39,52,183,184,van
45,43,184,197,van
41,50,182,184,van
46,44,183,191,van
37,55,180,184,van
42,44,189,199,van
36,47,189,196,van
45,46,190,199,van
43,45,197,207,van
46,43,185,193,van
42,50,197,204,van
47,44,182,191,van
43,43,185,196,van
49,43,183,194,van
39,57,199,204,van
39,47,201,208,van
43,49,201,209,van
44,47,201,207,van
39,52,181,182,van
44,43,184,195,van
50,44,182,191,van
38,47,192,202,van
36,56,186,190,van
44,43,192,202,van
47,43,188,196,van
43,45,196,206,van
43,48,192,201,van
48,44,182,191,van
44,44,184,193,van
43,48,193,202,van
36,50,193,201,van
45,44,187,195,van
47,43,182,193,van
37,49,196,205,van
45,46,199,207,van
47,45,188,198,van
42,44,196,204,van
41,53,191,194,van
43,51,190,194,van
43,44,184,196,van
42,52,192,196,van
43,49,183,185,van
44,48,188,194,van
47,43,184,196,van
46,44,195,204,van
42,50,193,201,van
48,43,183,192,van
44,46,199,206,van
35,57,180,184,van
46,43,194,202,van
47,44,183,195,van
36,57,181,184,van
39,58,197,202,van
39,48,201,209,van
47,42,185,195,van
41,46,199,207,van
40,56,193,199,van
46,43,190,200,van
47,43,185,196,van
39,51,186,186,van
48,43,184,195,van
38,57,184,186,van
43,45,186,196,van
47,43,192,202,van
36,56,192,198,van
36,57,181,185,van
39,51,183,182,van
36,50,194,202,van
36,57,180,183,van
47,44,182,192,van
53,31,189,199,saab
40,41,186,191,saab
41,46,181,185,saab
53,31,186,197,saab
46,35,190,200,saab
40,37,189,196,saab
47,39,191,198,saab
34,54,196,202,saab
46,33,191,199,saab
48,32,190,203,saab
53,32,191,201,saab
39,46,184,189,saab
52,35,193,202,saab
38,47,186,191,saab
40,50,191,195,saab
40,38,195,205,saab
45,42,198,206,saab
37,52,186,192,saab
53,30,189,199,saab
45,33,192,200,saab
37,43,196,208,saab
48,33,189,197,saab
53,31,188,201,saab
54,31,190,204,saab
52,31,194,205,saab
49,32,190,202,saab
35,55,181,184,saab
43,43,193,198,saab
37,50,184,185,saab
36,53,179,183,saab
38,46,183,188,saab
38,47,181,185,saab
45,36,198,211,saab
39,39,192,199,saab
47,33,190,198,saab
55,32,186,196,saab
38,39,192,199,saab
46,34,192,205,saab
44,44,183,187,saab
47,38,195,202,saab
54,31,187,198,saab
36,42,195,201,saab
55,32,187,196,saab
45,40,199,208,saab
40,37,192,202,saab
36,44,196,205,saab
50,31,191,202,saab
47,40,187,193,saab
37,42,190,197,saab
52,32,187,198,saab
33,61,181,183,saab
49,35,198,208,saab
42,36,189,197,saab
49,32,189,198,saab
41,38,196,205,saab
42,37,199,208,saab
54,33,190,200,saab
42,46,185,189,saab
53,31,187,198,saab
34,47,201,207,saab
37,43,190,195,saab
53,32,190,203,saab
42,36,194,206,saab
38,43,189,195,saab
51,36,189,196,saab
55,30,187,197,saab
48,33,193,204,saab
50,31,190,200,saab
53,32,194,205,saab
39,38,188,194,saab
54,30,187,200,saab
51,31,190,201,saab
48,38,197,210,saab
39,40,188,195,saab
36,42,197,204,saab
56,30,187,197,saab
50,32,188,196,saab
36,48,193,204,saab
46,40,198,207,saab
54,32,189,199,saab
52,31,190,205,saab
38,45,188,193,saab
54,30,187,201,saab
53,31,189,203,saab
49,32,193,207,saab
40,48,182,186,saab
53,30,188,199,saab
38,48,180,183,saab
53,31,187,197,saab
47,38,201,210,saab
40,38,191,200,saab
53,30,186,200,saab
36,41,195,203,saab
54,32,189,200,saab
38,46,180,183,saab
54,31,189,202,saab
53,30,188,199,saab
52,31,188,197,saab
53,32,188,198,saab
39,40,197,205,saab
53,34,188,196,saab
51,35,196,205,saab
43,42,203,209,saab
50,35,193,201,saab
56,31,189,196,saab
53,31,190,203,saab
56,31,187,197,saab
42,47,198,205,saab
45,41,194,201,saab
50,36,191,199,saab
37,54,184,188,saab
37,52,180,184,saab
37,50,180,183,saab
40,49,186,190,saab
54,31,185,195,saab
40,50,187,191,saab
37,52,183,187,saab
48,33,188,197,saab
39,39,197,204,saab
36,45,196,203,saab
46,34,189,197,saab
36,47,193,200,saab
52,31,189,201,saab
38,39,191,199,saab
43,35,191,199,saab
39,41,186,192,saab
49,37,189,195,saab
43,36,195,205,saab
53,31,188,199,saab
54,31,192,202,saab
39,38,191,198,saab
36,56,190,195,saab
54,31,189,201,saab
41,47,202,209,saab
53,31,192,206,saab
54,30,187,199,saab
39,44,187,196,saab
44,36,195,204,saab
55,31,185,194,saab
52,33,192,204,saab
55,30,187,199,saab
41,49,183,189,saab
52,31,189,199,saab
54,33,187,196,saab
48,33,192,204,saab
43,45,186,191,saab
54,31,189,201,saab
51,34,192,201,saab
48,39,195,201,saab
53,31,188,197,saab
40,44,182,187,saab
44,36,191,199,saab
46,41,186,191,saab
51,30,189,200,saab
54,31,187,196,saab
38,49,181,186,saab
48,38,192,199,saab
51,32,188,197,saab
34,58,185,189,saab
45,41,192,199,saab
38,45,185,191,saab
52,33,191,198,saab
38,41,192,197,saab
36,50,190,195,saab
45,41,190,195,saab
35,59,183,190,saab
33,59,179,185,saab
53,31,189,203,saab
51,32,187,196,saab
53,32,196,205,saab
41,45,182,185,saab
54,31,188,201,saab
38,43,187,192,saab
49,31,190,199,saab
46,42,193,199,saab
54,31,188,197,saab
36,54,180,184,saab
39,38,189,195,saab
45,43,188,193,saab
51,32,187,197,saab
36,50,181,182,saab
37,40,192,197,saab
44,35,190,197,saab
43,46,194,201,saab
55,31,188,199,saab
38,46,180,185,saab
45,34,189,197,saab
53,31,188,201,saab
34,50,200,206,saab
55,31,188,199,saab
43,44,189,194,saab
54,31,188,198,saab
54,32,189,197,saab
51,34,194,205,saab
40,39,200,210,saab
38,39,195,204,saab
53,28,185,184,bus
57,26,181,184,bus
39,43,195,200,bus
46,44,181,186,bus
43,34,195,196,bus
41,45,187,195,bus
39,45,195,200,bus
43,36,196,198,bus
47,32,192,191,bus
51,30,188,188,bus
50,30,189,189,bus
46,45,180,184,bus
49,31,188,189,bus
47,43,185,192,bus
45,45,181,187,bus
41,44,192,197,bus
43,45,180,183,bus
43,44,183,188,bus
43,46,180,184,bus
49,36,197,200,bus
52,29,187,186,bus
36,43,201,205,bus
43,42,200,204,bus
36,41,199,204,bus
45,45,187,191,bus
55,28,184,184,bus
45,40,196,203,bus
43,46,179,182,bus
41,45,188,195,bus
38,39,200,202,bus
44,42,199,206,bus
42,45,186,189,bus
43,45,182,185,bus
39,46,192,199,bus
41,42,191,195,bus
40,41,193,197,bus
58,26,181,183,bus
37,43,196,205,bus
46,45,185,191,bus
44,45,178,183,bus
45,45,181,186,bus
47,33,192,191,bus
37,42,197,206,bus
49,34,195,195,bus
38,38,200,202,bus
45,44,195,201,bus
57,26,182,183,bus
41,36,198,199,bus
45,45,180,183,bus
45,33,193,191,bus
43,46,179,182,bus
43,44,186,189,bus
42,44,201,207,bus
43,44,182,188,bus
45,45,189,196,bus
43,44,181,184,bus
52,28,183,184,bus
44,44,183,187,bus
47,43,183,189,bus
42,46,179,182,bus
47,44,183,188,bus
44,45,179,182,bus
45,45,181,185,bus
54,27,181,182,bus
57,28,187,187,bus
42,45,180,184,bus
42,45,179,183,bus
43,46,179,181,bus
48,32,192,194,bus
44,45,194,201,bus
49,37,197,199,bus
37,40,195,202,bus
42,38,196,201,bus
44,45,185,191,bus
37,43,201,208,bus
45,44,183,189,bus
44,46,179,183,bus
39,42,192,200,bus
46,44,182,187,bus
42,46,179,182,bus
44,46,181,185,bus
41,44,190,194,bus
38,39,200,203,bus
42,45,180,182,bus
47,43,188,194,bus
43,46,179,182,bus
56,26,180,184,bus
48,35,195,195,bus
42,45,180,182,bus
45,45,181,184,bus
44,45,181,183,bus
44,45,180,183,bus
54,29,188,187,bus
42,45,184,190,bus
47,40,200,205,bus
41,46,188,195,bus
46,34,194,197,bus
43,46,181,186,bus
45,45,179,183,bus
53,28,184,184,bus
45,46,183,187,bus
42,46,178,182,bus
42,38,198,204,bus
43,46,179,182,bus
44,47,193,199,bus
37,42,198,202,bus
42,46,180,182,bus
42,45,182,188,bus
44,45,180,185,bus
43,46,179,184,bus
46,44,185,191,bus
52,33,194,195,bus
51,32,191,190,bus
49,37,197,202,bus
56,27,183,183,bus
47,38,199,203,bus
38,37,197,199,bus
44,45,179,183,bus
46,45,183,188,bus
43,46,198,203,bus
