@relation vehicle

@attribute Distance_circularity numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
88,365,192,200,van
76,256,191,192,van
83,379,187,197,van
87,363,183,194,van
64,262,185,185,van
85,367,189,199,van
81,332,186,196,van
60,212,200,207,van
66,265,201,208,van
70,289,190,199,van
82,367,183,192,van
85,375,185,195,van
70,282,183,185,van
78,366,182,192,van
62,246,201,208,van
58,208,184,186,van
84,351,182,191,van
58,222,197,203,van
68,251,186,187,van
66,258,196,201,van
77,289,201,209,van
73,305,191,199,van
79,309,195,203,van
78,367,185,194,van
80,331,189,199,van
76,339,187,200,van
70,278,196,205,van
74,356,184,191,van
62,241,204,210,van
85,345,187,197,van
82,362,183,193,van
64,200,196,203,van
70,253,190,194,van
72,279,201,209,van
85,355,183,195,van
63,223,186,188,van
80,349,183,193,van
51,206,181,185,van
87,363,184,195,van
70,238,191,190,van
49,219,180,184,van
53,247,176,183,van
82,365,182,191,van
88,367,194,202,van
66,246,195,200,van
74,278,189,193,van
69,284,189,195,van
59,250,177,183,van
80,324,188,199,van
92,372,189,200,van
51,207,181,184,van
84,350,185,196,van
76,281,201,209,van
84,351,183,195,van
84,354,182,192,van
85,362,183,193,van
88,339,192,199,van
76,381,184,193,van
53,204,180,183,van
77,294,201,208,van
73,376,183,191,van
51,213,181,183,van
64,258,183,184,van
72,283,196,203,van
75,369,182,192,van
60,246,202,209,van
64,268,192,201,van
51,207,179,183,van
87,359,192,202,van
72,262,192,195,van
66,268,191,197,van
80,366,185,193,van
66,251,191,194,van
85,389,185,195,van
70,243,186,185,van
77,314,190,200,van
52,196,186,190,van
84,312,199,206,van
63,260,193,201,van
83,364,184,194,van
78,300,201,207,van
80,316,199,207,van
64,253,203,210,van
83,357,185,196,van
86,346,185,194,van
76,352,184,193,van
73,307,190,199,van
84,354,185,195,van
78,290,201,208,van
91,334,197,205,van
68,246,192,196,van
44,208,180,183,van
77,354,182,191,van
70,296,192,202,van
66,280,188,194,van
62,249,184,184,van
88,371,189,198,van
62,223,200,208,van
75,371,183,192,van
64,249,194,201,van
87,351,192,201,van
60,211,192,198,van
88,334,196,206,van
68,265,201,209,van
75,358,182,191,van
60,209,193,199,van
66,275,182,184,van
89,338,187,199,van
85,345,186,197,van
63,259,197,204,van
84,330,188,200,van
81,317,189,199,van
82,314,199,207,van
85,363,184,195,van
85,365,182,192,van
60,194,190,194,van
66,294,188,196,van
60,209,186,190,van
62,218,181,185,van
68,241,182,187,van
82,319,199,206,van
79,311,188,197,van
68,291,189,196,van
57,195,197,202,van
66,237,191,194,van
81,352,184,193,van
