@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1-3,8,19'

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
93,41,82,46,van
84,47,75,43,bus
83,36,54,53,saab
93,35,66,46,opel
106,53,98,31,saab
81,43,68,46,bus
96,55,98,31,opel
89,42,89,44,van
86,37,60,56,van
84,45,66,46,bus
100,45,100,32,opel
97,45,88,43,van
86,48,75,43,van
81,42,63,46,bus
100,46,85,42,van
110,56,103,26,bus
103,54,91,31,opel
93,48,84,44,van
102,54,106,32,saab
90,39,86,41,opel
81,44,72,44,bus
90,48,78,43,van
89,36,77,42,opel
86,42,65,45,bus
82,45,68,45,bus
86,41,66,50,opel
116,53,110,31,saab
98,38,66,51,van
89,45,81,44,van
93,45,83,43,van
94,38,88,39,saab
89,38,80,41,saab
109,54,103,30,saab
87,41,73,44,bus
101,54,106,28,bus
97,46,101,35,opel
89,47,81,41,opel
88,44,71,48,opel
96,39,77,47,van
86,45,71,45,bus
89,44,70,47,bus
96,36,74,43,bus
84,37,70,48,van
99,47,91,32,bus
104,51,105,32,saab
89,46,74,44,van
81,43,68,46,bus
78,43,70,46,bus
104,55,100,31,saab
91,39,72,46,saab
95,46,92,42,van
101,55,105,31,opel
101,49,103,33,opel
113,53,93,31,saab
96,45,87,44,van
109,53,103,30,saab
92,46,82,40,opel
84,38,66,54,opel
90,40,83,37,opel
98,39,68,52,van
102,52,101,33,opel
105,53,105,31,saab
100,47,88,38,saab
85,44,66,45,bus
110,56,109,27,bus
100,43,92,36,saab
96,48,83,39,opel
110,54,102,31,saab
97,41,88,38,saab
96,46,74,39,bus
105,54,108,31,saab
86,37,77,43,opel
109,52,104,31,saab
97,38,75,37,bus
111,50,103,31,saab
88,42,64,51,van
87,44,98,35,opel
115,52,100,31,saab
85,43,66,46,bus
88,41,80,45,van
84,38,60,50,opel
93,47,84,36,bus
104,52,101,33,opel
108,49,109,31,saab
89,46,84,43,van
