@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Minor_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
81,97,45,149,5,van
88,64,43,157,12,van
68,60,51,130,3,van
66,58,47,148,3,van
85,66,44,144,11,van
70,66,47,139,4,van
69,64,49,145,3,van
47,55,57,122,5,van
68,60,50,134,6,van
60,56,56,137,10,van
49,55,55,128,8,van
76,54,44,151,12,van
57,56,58,135,17,van
73,58,43,158,0,van
60,60,55,134,7,van
84,58,45,145,4,van
44,54,57,121,6,van
73,58,49,138,0,van
81,102,44,160,9,van
66,65,48,146,3,van
80,58,44,157,5,van
82,56,43,156,10,van
60,56,56,130,6,van
68,64,48,143,6,van
70,62,48,134,11,van
78,66,48,140,4,van
51,52,57,129,2,van
92,63,42,157,7,van
91,63,45,148,18,van
58,58,55,132,6,van
81,68,46,139,0,van
64,69,49,136,2,van
85,66,44,158,7,van
62,53,55,129,0,van
87,64,43,149,1,van
84,66,43,159,1,van
77,59,48,139,8,van
76,55,51,135,0,van
87,64,43,158,4,van
88,68,43,148,14,van
58,59,52,130,4,van
66,62,50,127,8,van
78,59,43,160,10,van
76,62,48,137,3,van
62,49,52,145,8,van
88,67,43,157,8,van
85,63,43,157,1,van
70,52,53,139,0,van
78,60,43,159,2,van
88,66,45,147,2,van
72,64,49,145,4,van
86,126,44,156,0,van
62,56,52,143,5,van
80,63,46,148,5,van
85,64,42,160,9,van
91,70,43,155,15,van
85,66,44,147,0,van
76,57,44,149,2,van
51,56,57,124,13,van
70,105,48,145,4,van
73,68,46,144,10,van
78,63,47,148,19,van
66,53,51,144,10,van
82,65,46,145,4,van
85,60,43,155,1,van
66,64,52,129,6,van
63,59,50,142,15,van
84,63,44,165,8,van
75,53,44,165,1,van
69,63,48,134,1,van
62,59,52,139,13,van
53,53,53,140,8,van
64,61,51,142,6,van
68,56,52,144,4,van
84,57,45,143,9,van
75,58,43,163,3,van
64,68,49,142,7,van
70,56,53,145,5,van
82,56,43,162,7,van
90,65,44,156,9,van
79,64,46,139,8,van
85,56,43,155,5,van
68,52,53,135,8,van
70,61,50,130,2,van
80,66,44,145,3,van
78,61,45,152,13,van
64,64,50,141,7,van
74,59,44,158,12,van
85,59,43,158,12,van
70,61,49,140,0,van
66,52,52,140,11,van
83,56,43,155,1,van
66,61,50,135,9,van
74,59,49,133,7,van
52,54,58,126,11,van
87,67,44,149,9,van
82,54,43,149,1,van
82,63,45,140,9,van
77,62,47,150,15,van
80,62,43,156,17,van
78,64,48,145,17,van
64,62,51,142,3,van
77,56,44,164,1,van
66,59,54,139,7,van
51,52,57,128,8,van
63,59,55,137,12,van
66,55,56,128,1,van
70,52,53,137,2,van
66,58,50,142,6,van
81,62,45,152,0,van
75,55,43,161,0,van
84,55,44,158,7,van
84,55,44,160,5,van
57,48,51,139,12,van
84,62,46,148,10,van
83,64,43,153,4,van
70,52,49,144,4,van
83,72,42,159,6,van
85,58,44,155,4,van
85,64,42,163,18,van
58,58,54,140,7,van
60,54,56,132,2,van
83,133,43,163,0,van
88,67,43,149,14,van
64,48,52,141,7,van
85,58,44,144,8,van
82,58,43,160,2,van
78,68,46,147,1,van
87,64,43,161,4,van
70,55,51,146,1,van
85,54,44,153,12,van
66,52,50,143,7,van
84,57,44,170,5,van
85,68,44,156,17,van
81,64,44,163,6,van
73,58,42,153,11,van
62,60,52,141,13,van
80,64,45,148,1,van
78,63,43,160,5,van
68,64,52,143,14,van
88,64,44,148,15,van
66,63,48,146,1,van
66,55,51,138,3,van
72,60,50,135,2,van
63,57,50,136,3,van
73,69,46,148,2,van
64,57,57,125,1,van
62,61,54,127,2,van
53,57,57,128,7,van
76,66,42,155,8,van
59,53,52,137,12,van
51,54,56,127,7,van
66,56,53,144,3,van
60,62,58,132,14,van
82,68,46,137,13,van
81,60,44,156,2,van
