@relation vehicle

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
42,66,9,153,19,144,347,van
34,59,6,127,18,130,243,van
42,51,7,135,18,144,262,van
43,64,9,138,18,143,285,van
49,56,11,159,20,162,365,van
42,57,6,123,17,144,227,van
44,67,10,158,20,149,367,van
42,58,9,134,18,142,268,van
48,56,10,157,20,164,354,van
45,68,10,157,20,156,357,van
39,52,5,128,18,135,241,van
47,53,9,157,20,165,358,van
40,68,10,146,19,139,317,van
47,66,11,156,20,158,355,van
40,56,6,118,17,137,209,van
46,67,9,157,20,150,363,van
44,65,10,153,19,156,348,van
43,54,10,155,19,153,351,van
46,70,12,157,20,155,358,van
41,56,7,130,18,143,247,van
40,63,9,146,19,140,319,van
48,60,9,150,19,156,333,van
46,64,11,163,20,163,387,van
48,72,10,162,20,159,379,van
36,57,8,132,18,136,260,van
47,55,11,157,20,160,354,van
35,58,7,126,17,128,237,van
39,48,8,134,18,141,258,van
48,58,10,161,20,163,371,van
40,58,6,136,18,138,275,van
48,56,11,160,20,167,366,van
46,66,9,151,19,147,339,van
36,60,8,133,18,134,265,van
49,57,11,159,20,167,365,van
40,53,7,132,18,137,250,van
42,58,10,152,19,144,345,van
47,54,11,160,20,163,369,van
45,59,11,158,20,158,362,van
45,63,10,158,20,157,367,van
47,133,48,158,20,163,364,van
39,51,6,133,18,139,255,van
38,55,7,130,18,138,251,van
43,55,11,154,19,150,350,van
40,53,7,132,18,139,249,van
46,55,11,160,20,161,369,van
39,59,6,116,17,135,203,van
48,64,10,156,19,153,357,van
37,55,8,132,18,135,256,van
43,61,9,149,19,157,326,van
40,65,9,144,19,141,314,van
50,57,10,156,20,170,351,van
34,61,7,122,17,127,223,van
45,67,9,145,19,147,313,van
37,54,5,119,17,132,209,van
46,59,9,157,20,158,356,van
48,64,10,157,20,161,363,van
49,56,10,159,20,160,367,van
41,58,9,149,19,145,330,van
45,56,10,157,20,155,364,van
42,64,7,128,18,143,246,van
45,56,11,159,20,156,362,van
47,64,11,159,20,157,371,van
35,55,3,117,17,122,203,van
36,61,9,133,18,130,266,van
37,62,9,136,18,134,280,van
47,58,10,153,19,151,349,van
46,58,11,159,20,160,371,van
37,60,6,130,18,130,253,van
41,62,8,146,19,144,318,van
45,58,8,140,18,148,294,van
47,58,11,161,20,153,376,van
44,58,6,136,18,146,273,van
42,64,10,133,18,141,265,van
40,58,7,122,17,140,225,van
35,58,6,122,17,132,222,van
35,54,2,119,17,121,208,van
38,59,8,142,18,131,301,van
39,48,7,135,18,139,261,van
45,67,10,157,20,157,365,van
40,49,7,131,18,145,249,van
48,59,11,160,20,160,370,van
44,58,11,156,20,157,349,van
47,138,49,155,19,155,354,van
43,105,55,139,18,145,289,van
39,68,10,143,19,137,308,van
38,62,5,114,17,132,194,van
38,56,4,118,17,129,208,van
37,63,8,138,18,134,284,van
39,56,8,131,18,144,251,van
44,62,10,145,19,148,312,van
36,61,8,133,18,135,265,van
45,67,10,154,19,149,351,van
41,52,7,139,18,143,275,van
48,64,11,161,20,167,375,van
47,64,9,156,20,149,359,van
45,63,8,143,19,147,307,van
41,57,9,149,19,143,330,van
38,59,7,136,18,133,278,van
45,102,43,155,20,160,347,van
42,66,8,148,19,145,331,van
42,59,7,131,18,142,259,van
43,55,8,130,18,146,253,van
