@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2,8,17-19'

@attribute Circularity numeric
@attribute Elongatedness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
48,42,187,197,van
57,26,181,183,bus
42,44,187,197,van
45,45,188,199,van
54,31,187,199,saab
46,43,192,200,van
47,44,184,193,van
42,43,202,209,bus
40,45,180,185,saab
52,31,193,191,bus
51,31,191,189,bus
58,26,181,182,bus
47,43,184,194,van
37,42,201,209,saab
50,35,195,206,saab
44,35,196,197,bus
38,51,177,183,opel
36,43,203,211,saab
51,31,191,199,saab
38,53,186,185,van
41,36,197,197,bus
37,42,190,196,saab
37,48,189,195,van
41,46,195,203,van
42,46,179,182,bus
38,52,184,183,van
43,44,198,203,opel
43,44,185,189,bus
43,44,185,196,van
37,50,180,184,saab
42,42,189,193,bus
38,43,195,204,bus
40,37,199,201,bus
36,50,201,209,van
52,31,189,198,opel
51,35,191,199,saab
50,37,193,201,saab
49,32,191,202,saab
37,51,179,185,saab
39,49,179,186,opel
57,30,186,198,opel
57,26,182,181,bus
40,44,196,200,bus
43,45,180,184,bus
38,39,193,202,opel
50,32,191,202,saab
47,34,194,208,saab
38,41,197,206,opel
40,52,204,210,van
36,52,183,187,opel
46,34,188,197,opel
51,32,190,206,saab
38,49,189,193,van
41,55,186,188,van
45,41,195,201,bus
34,52,199,206,van
44,46,196,203,bus
51,31,188,198,saab
45,46,179,182,bus
55,30,187,194,opel
54,33,189,198,opel
38,46,187,194,opel
55,30,188,196,opel
39,52,198,204,saab
36,48,189,195,saab
51,35,196,199,bus
49,32,191,200,opel
55,30,190,197,opel
52,34,190,199,opel
38,40,198,205,bus
46,34,194,203,saab
46,43,182,192,van
47,40,187,192,opel
43,48,203,210,van
46,34,194,202,opel
37,51,191,192,van
44,41,202,206,bus
51,34,198,208,saab
53,32,187,197,saab
43,45,181,184,bus
37,50,192,195,van
51,32,188,196,opel
44,40,194,199,opel
54,33,190,198,opel
