@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
78,48,140,van
70,50,141,van
73,42,153,van
64,49,136,van
82,46,143,van
76,48,137,van
71,46,147,van
85,43,155,van
52,58,126,van
60,56,137,van
47,57,122,van
84,44,170,van
78,48,145,van
72,50,135,van
84,45,143,van
68,52,143,van
78,43,160,van
85,44,147,van
76,42,155,van
66,52,129,van
53,53,140,van
75,49,141,van
69,49,145,van
76,44,151,van
62,52,141,van
76,47,131,van
62,54,127,van
82,46,145,van
76,51,135,van
57,51,139,van
77,47,150,van
66,53,144,van
85,43,167,van
87,44,149,van
62,55,129,van
85,43,155,van
68,47,130,van
87,43,149,van
66,54,144,van
88,45,157,van
81,45,152,van
72,49,145,van
70,53,145,van
49,55,128,van
64,51,144,van
59,52,137,van
84,44,165,van
82,43,156,van
90,44,156,van
55,53,139,van
81,46,139,van
77,44,160,van
70,49,144,van
83,42,159,van
78,46,147,van
53,55,125,van
51,56,127,van
68,50,134,van
78,43,159,van
68,53,135,van
81,46,147,van
81,44,156,van
68,52,144,van
68,48,143,van
76,44,149,van
77,46,141,van
78,45,152,van
70,48,145,van
82,43,160,van
62,52,139,van
70,53,139,van
72,48,144,van
70,53,128,van
92,42,157,van
64,57,125,van
73,46,148,van
64,52,141,van
44,57,121,van
83,43,163,van
80,44,157,van
82,46,137,van
70,48,134,van
85,43,150,van
66,54,139,van
68,51,142,van
64,50,142,van
85,43,151,van
68,51,130,van
75,43,163,van
79,46,150,van
84,45,145,van
70,49,146,van
62,52,143,van
78,47,148,van
64,51,142,van
84,43,159,van
91,43,155,van
84,44,158,van
75,43,161,van
70,51,146,van
62,57,135,van
75,44,165,van
80,44,145,van
80,45,144,van
88,44,148,van
66,50,140,van
81,44,163,van
66,51,138,van
60,56,130,van
64,49,142,van
58,57,129,van
70,49,140,van
88,43,157,van
66,52,140,van
82,45,140,van
74,44,158,van
87,43,162,van
73,46,144,van
91,45,148,van
78,43,160,van
63,50,136,van
90,43,150,van
85,44,144,van
60,56,132,van
62,52,145,van
85,44,155,van
77,48,139,van
80,45,148,van
73,49,138,van
77,44,164,van
66,56,128,van
63,50,142,van
58,54,140,van
60,55,134,van
79,46,139,van
60,52,129,van
85,42,160,van
85,44,144,van
57,58,135,van
53,57,125,van
85,42,163,van
80,43,156,van
68,52,132,van
80,43,163,van
70,47,139,van
78,43,167,van
88,43,149,van
89,44,145,van
84,44,150,van
60,58,132,van
63,55,137,van
66,48,146,van
88,43,148,van
85,43,157,van
85,44,158,van
74,49,133,van
66,50,127,van
86,44,156,van
85,44,151,van
53,57,128,van
88,43,157,van
58,52,139,van
69,48,134,van
83,43,155,van
82,43,162,van
66,48,146,van
58,57,134,van
87,43,161,van
81,44,160,van
85,44,153,van
85,43,155,van
58,52,130,van
51,57,129,van
83,43,153,van
64,50,141,van
84,44,160,van
70,50,130,van
88,45,147,van
85,44,156,van
81,41,147,saab
104,32,167,saab
83,37,154,saab
108,31,168,saab
88,38,155,saab
105,32,162,saab
54,50,127,saab
103,30,174,saab
105,34,150,saab
108,31,168,saab
100,31,173,saab
109,32,156,saab
96,33,150,saab
74,42,134,saab
77,45,128,saab
104,32,163,saab
100,35,160,saab
104,31,162,saab
103,31,162,saab
110,31,159,saab
83,38,134,saab
78,43,128,saab
104,31,167,saab
66,52,127,saab
63,46,130,saab
109,31,169,saab
66,49,133,saab
101,30,177,saab
103,31,156,saab
50,59,118,saab
100,33,158,saab
94,35,158,saab
98,38,135,saab
100,34,149,saab
104,31,162,saab
98,31,169,saab
101,31,168,saab
54,54,126,saab
85,39,153,saab
108,31,168,saab
105,32,163,saab
100,31,173,saab
71,43,133,saab
95,35,144,saab
106,32,166,saab
90,36,156,saab
82,43,129,saab
51,50,126,saab
83,41,133,saab
109,31,174,saab
54,53,125,saab
78,38,139,saab
66,46,136,saab
108,31,168,saab
85,39,139,saab
85,38,153,saab
80,41,131,saab
63,50,135,saab
72,46,132,saab
80,42,132,saab
103,30,168,saab
72,42,144,saab
89,35,144,saab
76,40,134,saab
104,32,159,saab
83,41,148,saab
71,43,134,saab
69,43,143,saab
100,33,149,saab
98,36,146,saab
100,34,159,saab
58,46,131,saab
81,39,152,saab
98,31,169,saab
80,43,129,saab
77,41,151,saab
60,52,129,saab
57,56,127,saab
103,32,155,saab
96,31,170,saab
98,31,171,saab
86,42,131,saab
109,31,171,saab
98,33,151,saab
108,32,163,saab
69,47,141,saab
90,36,158,saab
108,31,170,saab
105,35,162,saab
40,61,119,saab
98,34,161,saab
77,46,146,saab
106,32,168,saab
88,38,132,saab
105,33,152,saab
112,32,162,saab
102,33,164,saab
104,32,162,saab
96,35,157,saab
63,47,130,saab
104,34,147,saab
104,31,172,saab
80,46,139,saab
85,41,131,saab
88,39,131,saab
63,52,134,saab
107,31,173,saab
106,31,167,saab
105,31,168,saab
108,32,167,saab
54,52,127,saab
108,31,168,saab
57,50,125,saab
75,44,134,saab
100,30,166,saab
96,35,156,saab
106,32,164,saab
106,32,158,saab
101,34,143,saab
105,32,165,saab
83,40,150,saab
109,34,154,saab
81,40,154,saab
77,42,126,saab
76,42,149,saab
83,45,132,saab
92,36,143,saab
77,44,143,saab
89,37,133,saab
71,49,127,saab
87,40,134,saab
64,45,138,saab
82,43,149,saab
78,50,124,saab
74,42,128,saab
100,31,165,saab
63,54,130,saab
89,38,132,saab
90,37,155,saab
75,47,131,saab
72,45,140,saab
52,55,125,saab
109,31,159,saab
104,32,164,saab
100,34,162,saab
93,31,165,saab
53,58,121,saab
110,31,163,saab
108,31,168,saab
100,30,170,saab
90,37,144,saab
110,31,165,saab
66,48,137,saab
101,36,138,saab
103,30,172,saab
77,47,142,saab
62,45,133,saab
66,49,136,saab
59,51,128,saab
103,31,167,saab
96,36,144,saab
88,38,151,saab
77,45,129,saab
106,33,149,saab
55,48,128,saab
103,30,175,saab
53,59,123,saab
107,32,153,saab
101,35,162,saab
106,32,158,saab
79,40,148,saab
105,32,157,saab
105,36,150,saab
98,31,167,saab
108,31,163,saab
103,30,172,saab
72,50,123,saab
101,30,173,saab
86,39,134,saab
77,42,148,saab
95,34,160,saab
104,32,171,saab
109,31,169,saab
101,33,152,saab
108,30,163,saab
104,35,148,saab
101,31,172,saab
81,40,138,saab
75,48,125,saab
88,38,140,saab
102,31,171,saab
75,46,131,saab
78,39,136,saab
85,41,125,saab
74,44,136,saab
76,42,136,bus
68,46,146,bus
68,46,142,bus
70,43,129,bus
74,43,149,bus
74,39,149,bus
76,44,135,bus
72,41,133,bus
72,38,131,bus
106,26,172,bus
71,44,138,bus
60,46,141,bus
78,41,134,bus
77,36,134,bus
79,37,154,bus
73,41,126,bus
71,45,144,bus
95,29,158,bus
76,36,157,bus
70,45,146,bus
69,44,145,bus
66,45,143,bus
91,32,148,bus
70,46,136,bus
68,46,147,bus
71,44,149,bus
68,45,147,bus
75,37,129,bus
72,45,135,bus
84,36,152,bus
76,42,138,bus
77,37,139,bus
63,45,142,bus
66,45,145,bus
102,28,171,bus
66,46,141,bus
73,38,152,bus
74,43,127,bus
70,46,145,bus
79,40,130,bus
70,46,141,bus
65,45,141,bus
98,28,164,bus
66,45,146,bus
86,33,161,bus
70,45,138,bus
70,45,146,bus
98,27,168,bus
65,46,148,bus
107,26,171,bus
71,44,147,bus
76,44,143,bus
75,43,136,bus
70,40,153,bus
65,46,143,bus
79,35,153,bus
82,34,141,bus
66,46,147,bus
77,36,139,bus
89,35,145,bus
94,31,161,bus
93,30,165,bus
68,46,145,bus
70,45,144,bus
100,27,162,bus
68,46,143,bus
73,43,131,bus
91,32,161,bus
66,46,144,bus
77,38,150,bus
68,45,143,bus
68,45,144,bus
66,45,144,bus
71,46,141,bus
62,43,139,bus
75,36,138,bus
71,45,146,bus
84,35,161,bus
71,45,147,bus
70,45,145,bus
73,45,146,bus
68,45,151,bus
68,45,147,bus
70,44,145,bus
70,42,144,bus
69,44,147,bus
83,36,139,bus
106,28,164,bus
70,45,145,bus
68,45,146,bus
66,44,142,bus
89,32,159,bus
66,46,145,bus
59,46,144,bus
74,45,134,bus
73,42,143,bus
66,45,139,bus
72,44,147,bus
68,46,142,bus
65,45,145,bus
72,44,146,bus
64,43,142,bus
63,45,147,bus
88,33,148,bus
74,43,148,bus
74,39,131,bus
69,46,144,bus
68,45,144,bus
64,46,146,bus
76,43,131,bus
92,31,159,bus
77,39,150,bus
68,44,146,bus
72,44,144,bus
102,28,167,bus
70,47,143,bus
76,44,144,bus
70,45,145,bus
71,45,143,bus
104,26,168,bus
68,41,145,bus
63,46,145,bus
106,26,171,bus
65,45,150,bus
65,45,140,bus
79,37,158,bus
70,46,143,bus
66,45,145,bus
75,42,133,bus
75,43,146,bus
88,32,158,bus
70,44,143,bus
72,41,144,bus
70,46,143,bus
98,30,156,bus
61,46,144,bus
86,35,145,bus
76,44,136,bus
70,39,148,bus
80,35,156,bus
70,45,141,bus
95,32,150,bus
70,39,136,bus
84,34,154,bus
75,42,131,bus
85,33,146,bus
109,27,169,bus
109,26,175,bus
106,26,170,bus
68,45,145,bus
73,44,138,bus
73,44,137,bus
66,46,145,bus
64,46,144,bus
74,39,128,bus
75,43,131,bus
70,45,143,bus
98,29,165,bus
102,26,169,bus
71,45,142,bus
68,44,142,bus
70,44,134,bus
106,26,169,bus
84,38,138,bus
96,28,170,bus
89,31,153,bus
103,27,166,bus
75,43,145,bus
66,45,144,bus
66,46,145,bus
83,33,146,bus
73,44,143,bus
66,46,143,bus
71,44,146,bus
93,30,159,bus
84,35,145,bus
75,42,147,bus
105,27,165,bus
102,27,165,bus
65,46,144,bus
76,45,140,bus
105,26,174,bus
71,45,141,bus
75,40,128,bus
71,45,146,bus
70,45,142,bus
103,27,172,bus
70,46,145,bus
72,44,144,bus
80,33,159,bus
81,34,158,bus
73,42,127,bus
68,45,145,bus
73,44,145,bus
74,41,143,bus
103,26,169,bus
66,44,140,bus
53,51,128,opel
101,30,171,opel
98,31,170,opel
101,30,178,opel
108,31,162,opel
108,30,186,opel
86,37,156,opel
93,35,161,opel
82,40,149,opel
96,32,153,opel
101,33,157,opel
69,48,122,opel
69,44,143,opel
88,40,133,opel
75,45,142,opel
103,33,156,opel
79,41,149,opel
66,52,127,opel
109,30,162,opel
96,30,173,opel
77,44,141,opel
75,46,139,opel
103,32,166,opel
60,49,131,opel
69,48,138,opel
66,51,120,opel
80,40,143,opel
91,31,170,opel
83,37,132,opel
108,31,156,opel
110,30,166,opel
104,33,163,opel
101,33,164,opel
107,32,159,opel
96,36,158,opel
101,30,180,opel
75,46,132,opel
74,49,127,opel
75,46,137,opel
84,43,133,opel
105,31,177,opel
75,48,135,opel
92,37,140,opel
72,51,132,opel
53,51,128,opel
66,50,136,opel
72,54,125,opel
92,37,154,opel
105,30,171,opel
86,45,134,opel
104,32,151,opel
103,30,177,opel
107,30,180,opel
78,48,138,opel
103,31,165,opel
105,30,177,opel
72,48,126,opel
53,55,128,opel
74,41,133,opel
93,35,147,opel
101,35,151,opel
66,54,132,opel
105,34,152,opel
69,49,131,opel
107,32,158,opel
103,31,162,opel
93,36,137,opel
77,44,145,opel
82,42,144,opel
100,34,150,opel
104,32,166,opel
66,46,128,opel
80,47,135,opel
42,59,119,opel
75,44,146,opel
92,35,148,opel
77,43,127,opel
98,34,161,opel
64,51,126,opel
76,40,134,opel
96,37,141,opel
78,48,123,opel
77,41,129,opel
60,55,124,opel
104,32,172,opel
78,41,131,opel
103,30,176,opel
98,34,161,opel
73,42,146,opel
80,44,126,opel
94,34,147,opel
69,50,126,opel
98,31,166,opel
96,36,142,opel
100,30,178,opel
107,31,161,opel
98,31,171,opel
88,36,141,opel
100,31,175,opel
101,30,178,opel
79,40,148,opel
90,37,131,opel
100,32,169,opel
76,41,131,opel
98,35,141,opel
103,32,163,opel
89,38,135,opel
73,44,133,opel
107,32,154,opel
107,30,174,opel
104,31,175,opel
66,44,133,opel
98,30,167,opel
80,40,145,opel
109,30,182,opel
101,33,158,opel
84,39,130,opel
69,53,124,opel
104,32,164,opel
101,30,177,opel
78,45,128,opel
103,32,156,opel
105,31,163,opel
98,31,174,opel
105,33,163,opel
63,55,130,opel
105,33,148,opel
100,31,173,opel
100,34,161,opel
101,31,168,opel
79,38,138,opel
69,51,134,opel
107,30,178,opel
88,35,159,opel
98,31,164,opel
94,36,155,opel
82,45,144,opel
101,30,177,opel
101,34,146,opel
108,31,172,opel
100,33,166,opel
77,45,134,opel
109,30,174,opel
108,30,178,opel
103,30,172,opel
105,32,169,opel
74,41,135,opel
81,41,149,opel
89,39,132,opel
107,33,161,opel
83,39,152,opel
96,30,170,opel
51,57,124,opel
83,38,142,opel
78,42,126,opel
78,46,127,opel
96,35,143,opel
77,42,125,opel
71,48,143,opel
107,30,174,opel
96,35,161,opel
105,30,179,opel
100,31,175,opel
109,30,165,opel
101,33,161,opel
66,45,131,opel
77,44,145,opel
50,59,122,opel
81,39,150,opel
85,40,129,opel
91,31,170,opel
105,33,155,opel
100,32,147,opel
105,32,162,opel
83,40,147,opel
71,45,134,opel
86,41,131,opel
60,50,130,opel
96,30,175,opel
103,31,172,opel
91,37,137,opel
103,33,147,opel
101,31,152,opel
98,31,175,opel
96,35,156,opel
103,31,160,opel
63,52,130,opel
57,54,125,opel
