@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
35,60,143,18,62,van
39,68,119,18,75,van
42,64,151,18,63,van
36,60,126,17,67,van
39,77,153,18,62,van
39,77,160,18,62,van
48,78,134,20,76,van
45,85,163,20,73,van
42,64,123,18,78,van
43,85,133,19,75,van
42,64,150,18,67,van
45,80,162,19,64,van
42,70,131,18,74,van
46,73,137,20,76,van
42,89,147,19,72,van
44,76,125,20,76,van
40,73,139,18,73,van
43,72,157,18,64,van
34,62,140,17,64,van
40,66,111,19,85,van
42,66,133,17,66,van
44,78,164,18,70,van
45,83,142,20,75,van
43,66,157,18,67,van
48,81,144,19,75,van
36,53,113,17,88,van
40,81,162,19,70,van
47,84,133,20,74,van
37,70,145,18,68,van
39,58,125,17,69,van
47,75,121,20,77,van
42,80,162,19,70,van
44,84,158,19,64,van
39,62,129,17,64,van
45,91,161,19,65,van
45,88,173,20,67,van
40,82,163,19,64,van
39,58,117,18,86,van
46,91,175,20,69,van
49,87,137,20,75,van
39,57,126,17,64,van
43,82,136,19,74,van
43,70,250,18,99,van
47,85,147,19,74,van
45,71,150,19,72,van
39,68,121,18,75,van
47,88,162,20,71,van
47,73,136,20,77,van
38,60,130,17,72,van
36,68,141,18,73,van
46,78,150,20,73,van
45,73,161,18,71,van
39,60,140,17,61,van
44,85,166,19,67,van
41,82,159,19,63,van
35,47,110,17,89,van
44,88,176,20,66,van
40,60,131,17,65,van
48,84,150,20,73,van
43,70,124,18,79,van
39,78,164,18,64,van
46,92,159,20,70,van
46,85,164,20,71,van
47,85,161,20,73,van
44,69,152,18,75,van
45,85,160,20,68,van
49,85,141,20,75,van
39,57,114,18,85,van
46,85,169,19,67,van
36,66,151,18,62,van
35,64,129,17,65,van
40,55,114,18,87,van
41,82,170,19,64,van
46,88,174,19,69,van
46,82,145,20,77,van
44,70,137,18,78,van
47,80,131,20,77,van
48,85,157,20,74,van
37,51,111,17,82,van
40,70,120,18,80,van
37,62,113,17,79,van
48,75,136,20,75,van
38,58,119,17,78,van
35,66,151,18,66,van
41,62,133,18,78,van
40,53,114,18,86,van
47,87,164,20,68,van
40,62,117,18,78,van
41,66,125,18,81,van
44,84,135,20,75,van
43,85,160,19,72,van
41,75,124,18,77,van
37,51,105,17,86,van
47,85,149,19,75,van
45,87,169,19,67,van
37,52,116,17,74,van
43,68,150,18,69,van
36,51,115,17,81,van
46,77,125,20,78,van
46,84,163,20,72,van
37,53,121,17,82,van
42,66,125,18,73,van
37,49,112,17,85,van
41,84,141,19,72,van
47,85,145,19,73,van
46,80,143,20,74,van
41,80,147,19,71,van
41,64,148,18,68,van
43,88,170,19,65,van
44,78,160,18,63,van
49,82,139,20,75,van
47,85,333,19,135,van
42,63,144,18,65,van
43,81,231,19,91,van
48,86,306,19,118,van
38,76,143,18,71,van
41,66,131,18,72,van
40,66,139,17,63,van
45,81,166,19,66,van
38,70,160,18,67,van
35,66,147,18,66,van
35,58,136,17,64,van
45,82,133,20,76,van
46,78,148,19,70,van
48,83,162,19,74,van
45,85,149,20,75,van
39,76,155,18,63,van
47,85,163,20,74,van
43,70,133,18,70,van
39,68,136,18,72,van
40,59,116,18,84,van
44,85,139,20,76,van
41,62,147,18,61,van
43,88,157,19,64,van
36,70,143,18,66,van
47,85,161,19,76,van
42,64,150,18,67,van
40,58,137,17,63,van
37,60,115,17,72,van
40,79,154,19,71,van
36,68,127,18,66,van
38,66,130,18,69,van
36,63,139,18,67,van
39,64,111,18,80,van
42,64,158,18,71,van
35,70,138,17,64,van
36,66,123,17,73,van
37,70,126,18,71,van
36,51,109,17,80,van
36,53,117,17,85,van
44,90,166,19,66,van
44,66,151,18,72,van
48,78,142,20,76,van
45,73,167,18,71,van
46,76,162,20,74,van
46,88,160,19,70,van
48,77,132,20,78,van
39,82,164,19,68,van
37,68,145,18,65,van
42,66,142,18,69,van
44,80,140,20,74,van
37,70,150,18,64,van
35,44,110,17,90,van
42,85,174,19,65,van
48,87,162,20,75,van
44,72,157,18,65,van
42,68,150,18,69,van
45,66,139,18,73,van
49,82,137,20,76,van
36,64,165,18,67,van
49,87,159,20,75,van
47,81,149,19,72,van
50,84,138,20,77,van
40,77,159,19,70,van
43,76,142,19,71,van
48,78,143,20,75,van
41,84,141,19,72,van
46,74,135,20,79,van
45,81,246,20,90,van
41,66,140,19,79,saab
38,58,137,19,86,saab
55,100,201,24,74,saab
51,105,197,22,64,saab
40,66,136,19,77,saab
41,66,133,18,74,saab
36,85,184,20,66,saab
52,100,191,23,70,saab
53,101,190,24,74,saab
38,80,169,20,68,saab
33,50,104,17,83,saab
47,96,206,23,70,saab
43,77,147,19,64,saab
46,83,154,20,71,saab
55,101,213,25,71,saab
54,102,206,23,72,saab
36,72,162,19,63,saab
38,82,156,19,70,saab
40,85,186,20,61,saab
50,103,199,24,68,saab
38,83,141,19,74,saab
36,77,157,19,65,saab
51,100,206,23,65,saab
36,51,114,18,86,saab
56,101,231,24,72,saab
54,108,228,25,67,saab
38,77,161,19,71,saab
42,80,151,19,74,saab
52,110,228,24,66,saab
43,76,149,19,69,saab
47,81,176,20,67,saab
53,98,193,24,73,saab
54,105,203,23,68,saab
43,69,161,19,67,saab
37,63,130,18,74,saab
40,100,178,21,68,saab
51,90,209,22,70,saab
49,106,211,24,68,saab
37,76,183,20,67,saab
38,71,174,19,70,saab
37,74,187,20,69,saab
51,98,194,22,67,saab
51,105,168,24,72,saab
37,54,118,18,81,saab
39,83,176,20,67,saab
46,81,187,20,63,saab
37,60,132,18,71,saab
50,110,186,24,71,saab
45,77,188,20,66,saab
53,104,223,24,67,saab
53,105,219,23,68,saab
40,98,192,21,66,saab
53,95,202,22,71,saab
39,87,183,20,72,saab
53,101,199,24,72,saab
40,72,139,18,68,saab
37,71,171,20,63,saab
39,83,170,21,72,saab
51,108,201,25,72,saab
52,109,182,24,72,saab
44,95,202,22,72,saab
52,108,207,25,73,saab
51,104,217,23,68,saab
50,106,209,23,73,saab
47,88,200,21,66,saab
48,98,208,23,64,saab
48,104,196,23,73,saab
40,75,137,19,76,saab
45,100,195,23,67,saab
39,88,189,21,69,saab
38,55,120,19,81,saab
56,104,231,25,71,saab
41,64,148,19,80,saab
54,103,205,25,71,saab
39,74,152,19,70,saab
35,52,121,17,82,saab
33,40,115,17,86,saab
54,106,221,24,71,saab
44,96,195,22,66,saab
