@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R5-7,10-12,19'

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
103,52,149,144,241,325,bus
55,6,123,118,148,224,saab
73,6,151,146,173,336,bus
52,5,119,128,135,207,van
61,8,133,135,154,265,van
50,7,150,147,171,328,bus
53,10,213,173,219,669,opel
62,7,149,124,169,334,opel
59,5,132,135,159,260,saab
59,6,213,152,228,680,bus
66,7,144,147,166,312,bus
69,5,169,137,184,434,bus
60,7,157,148,184,371,opel
57,7,149,143,172,335,saab
61,7,147,143,173,317,bus
65,8,149,146,170,331,bus
69,11,219,176,228,708,opel
59,7,169,132,190,426,saab
63,10,201,152,221,604,saab
65,12,226,182,225,748,opel
63,9,146,148,161,316,van
57,6,151,147,170,334,bus
59,7,151,141,182,342,opel
63,6,149,145,170,335,bus
60,6,220,162,247,731,bus
66,11,221,176,234,725,opel
61,4,135,127,152,271,saab
62,10,145,148,163,312,van
58,6,132,137,155,260,opel
62,11,202,164,216,608,saab
71,5,161,144,178,399,bus
64,11,217,173,225,696,opel
61,7,153,148,177,347,bus
64,10,157,158,179,363,van
50,8,152,141,169,332,bus
59,7,140,124,165,298,saab
72,4,238,163,267,844,bus
74,10,212,175,224,670,opel
64,11,201,158,214,607,saab
69,11,218,173,226,706,opel
54,6,148,143,170,319,bus
54,10,155,149,176,359,van
60,8,150,125,172,331,opel
58,5,133,127,152,259,opel
63,6,140,131,164,291,saab
97,46,150,149,200,332,van
60,11,218,167,221,701,opel
57,7,159,147,184,381,saab
60,8,175,152,200,460,saab
59,9,167,134,186,418,saab
53,9,142,135,165,295,opel
64,9,177,153,197,471,opel
72,10,217,171,232,698,saab
68,5,155,124,184,371,bus
65,11,208,162,228,648,saab
65,6,178,156,207,481,opel
70,11,220,163,238,722,opel
71,12,221,167,226,713,saab
59,10,210,173,217,648,opel
57,11,159,167,173,365,van
54,10,216,173,219,685,opel
58,8,181,134,205,486,saab
63,10,213,166,218,664,saab
75,7,155,143,180,359,bus
59,11,158,158,177,362,van
63,9,190,161,208,543,opel
58,11,161,158,170,373,van
52,7,139,143,160,275,van
58,6,122,132,142,222,van
56,10,159,160,176,367,van
63,10,158,157,174,367,van
52,7,236,160,254,816,bus
58,9,134,142,163,268,van
56,5,119,124,139,207,van
73,6,162,127,189,401,bus
60,8,150,133,166,334,saab
61,8,129,142,161,249,van
61,8,142,128,163,298,saab
52,9,127,137,156,238,van
63,6,192,147,215,563,bus
64,11,220,172,226,707,saab
63,9,185,138,206,508,saab
74,11,220,172,223,713,opel
53,7,131,144,162,254,van
58,8,140,148,168,294,van
