@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
5,127,138,82,van
11,150,174,73,van
8,142,161,68,van
6,137,143,65,van
7,142,154,65,van
8,146,159,70,van
10,137,164,68,van
8,140,158,78,van
6,135,134,64,van
11,162,178,75,van
10,160,176,76,van
11,163,176,71,van
11,167,173,75,van
11,158,177,75,van
5,132,135,72,van
10,157,173,67,van
11,156,169,74,van
9,145,163,64,van
9,149,173,68,van
7,129,147,62,van
3,128,137,88,van
6,137,148,76,van
6,126,135,74,van
7,132,155,66,van
11,156,170,76,van
46,149,200,91,van
9,137,156,71,van
10,144,173,72,van
4,125,138,85,van
6,130,139,67,van
11,158,170,76,van
11,167,175,74,van
10,148,163,64,van
8,139,157,74,van
11,159,172,75,van
6,125,138,65,van
5,128,140,73,van
9,140,165,64,van
9,148,173,70,van
8,148,160,63,van
9,147,168,70,van
7,145,156,74,van
9,156,173,75,van
9,165,168,77,van
7,139,142,87,van
11,162,173,75,van
8,144,159,65,van
11,163,170,76,van
5,124,139,81,van
8,140,157,64,van
10,149,173,71,van
10,157,174,68,van
7,139,155,85,van
8,147,171,72,van
8,137,156,63,van
9,148,169,71,van
10,160,177,73,van
11,163,175,77,van
7,145,165,75,van
11,167,169,76,van
7,128,147,64,van
49,156,272,118,van
10,170,171,77,van
8,145,156,63,van
10,150,167,67,van
6,129,143,79,van
43,160,200,90,van
5,134,140,69,van
10,153,177,74,van
8,148,173,71,van
11,160,169,74,van
8,144,169,71,van
12,157,179,76,van
8,139,159,62,van
5,125,141,82,van
7,137,145,84,van
8,131,167,71,van
11,165,171,73,van
10,149,173,66,van
7,140,156,64,van
5,128,144,85,van
11,159,173,72,van
9,157,165,64,van
5,128,135,86,van
8,129,148,66,van
9,155,175,73,van
55,145,231,99,van
10,164,169,78,van
10,148,166,65,van
10,156,170,66,van
10,161,179,75,van
12,155,172,69,van
10,160,171,78,van
8,150,165,67,van
8,150,161,62,van
7,143,160,81,van
10,159,176,70,van
9,139,168,71,van
7,146,166,72,van
9,147,164,65,van
6,138,166,73,van
9,152,168,70,van
6,135,137,64,van
9,143,160,63,van
10,142,157,67,van
6,130,148,63,van
8,135,154,62,van
7,140,146,63,van
7,133,167,72,van
10,155,180,75,van
6,132,142,64,van
8,142,150,63,van
9,158,170,79,van
49,155,320,135,van
8,144,159,72,van
8,139,149,62,van
5,135,148,75,van
10,163,170,75,van
8,135,157,69,van
7,141,164,77,van
7,144,162,73,van
25,139,162,67,van
6,129,137,80,van
8,148,168,73,van
5,132,141,72,van
10,141,157,67,van
6,144,147,66,van
8,144,169,71,van
11,151,173,72,van
8,136,158,67,van
10,149,167,67,van
10,149,176,74,van
9,147,164,66,van
8,134,163,71,van
8,136,161,67,van
8,145,158,64,van
9,150,170,67,van
11,160,180,77,van
9,134,159,68,van
8,134,153,62,van
6,146,168,78,van
6,130,150,65,van
4,129,140,78,van
10,148,173,69,van
2,121,139,90,van
48,163,229,97,van
6,139,154,86,van
9,135,161,69,van
7,145,160,78,van
9,146,162,67,van
8,141,160,80,van
10,155,179,75,van
11,153,172,77,van
10,158,179,75,van
7,134,140,61,van
11,161,173,77,van
10,151,175,74,van
7,127,141,64,van
11,155,175,74,van
10,153,174,75,van
10,151,163,76,van
9,144,159,72,van
8,141,162,80,van
9,142,163,71,van
11,160,170,73,van
11,158,172,74,van
7,140,159,85,van
11,157,176,70,van
7,142,164,75,van
9,142,163,69,van
11,145,170,72,van
10,139,167,70,van
9,147,169,67,van
8,145,171,70,van
9,148,161,64,van
7,143,158,78,van
9,127,159,66,van
11,155,176,76,van
7,144,164,78,van
7,138,160,69,van
11,168,216,72,saab
10,155,186,59,saab
9,162,208,67,saab
7,130,168,83,saab
8,134,197,72,saab
12,171,229,72,saab
3,119,130,86,saab
8,146,163,64,saab
10,162,220,72,saab
11,164,216,68,saab
7,147,184,69,saab
10,153,227,70,saab
7,152,196,67,saab
9,140,192,63,saab
6,129,154,71,saab
12,168,226,71,saab
7,131,188,66,saab
8,152,200,68,saab
8,133,202,70,saab
8,150,189,72,saab
6,121,137,70,saab
10,171,232,72,saab
10,168,220,73,saab
11,171,222,73,saab
8,149,180,69,saab
11,163,222,73,saab
11,154,207,61,saab
10,168,224,73,saab
9,155,195,65,saab
4,123,135,76,saab
8,142,165,64,saab
8,133,189,72,saab
11,167,229,72,saab
12,170,223,67,saab
11,159,229,71,saab
11,157,217,64,saab
5,143,175,77,saab
9,144,216,72,saab
9,158,218,70,saab
11,163,232,72,saab
4,125,139,82,saab
10,149,214,67,saab
9,150,219,70,saab
7,154,205,70,saab
9,152,216,68,saab
9,167,223,72,saab
11,172,218,74,saab
7,128,151,82,saab
9,149,180,63,saab
10,169,224,73,saab
8,133,166,63,saab
10,164,224,72,saab
6,137,164,77,saab
11,175,229,71,saab
11,162,226,72,saab
8,129,179,70,saab
8,134,191,67,saab
8,128,163,63,saab
8,134,200,72,saab
11,162,223,65,saab
6,148,185,71,saab
6,125,143,82,saab
11,172,226,71,saab
12,162,207,62,saab
9,148,210,68,saab
9,134,191,68,saab
10,171,235,74,saab
12,177,226,71,saab
7,151,197,66,saab
12,163,216,65,saab
8,129,180,69,saab
9,171,222,74,saab
11,146,202,64,saab
10,166,217,69,saab
6,136,174,70,saab
10,173,224,74,saab
6,125,187,66,saab
11,165,221,72,saab
6,125,166,71,saab
4,127,146,81,saab
7,126,177,65,saab
9,132,197,69,saab
10,160,202,62,saab
6,123,158,63,saab
10,156,225,70,saab
12,167,223,66,saab
7,134,173,76,saab
7,139,197,68,saab
10,166,218,74,saab
6,131,165,69,saab
7,134,149,63,saab
7,132,177,74,saab
11,163,232,72,saab
9,149,209,65,saab
7,129,174,71,saab
5,135,159,68,saab
10,170,232,73,saab
7,132,170,77,saab
5,128,153,81,saab
11,162,228,71,saab
9,158,224,68,saab
11,158,214,65,saab
11,166,229,71,saab
11,164,228,71,saab
7,133,165,82,saab
7,131,181,68,saab
8,127,158,75,saab
5,130,141,74,saab
10,152,221,73,saab
11,167,217,64,saab
6,131,164,66,saab
12,170,221,71,saab
8,128,169,60,saab
7,141,162,61,saab
8,132,200,70,saab
10,159,214,65,saab
9,147,222,73,saab
10,164,223,67,saab
7,132,190,67,saab
8,128,177,61,saab
10,160,220,71,saab
8,144,210,68,saab
4,126,150,86,saab
12,167,226,70,saab
12,173,228,70,saab
8,136,197,67,saab
12,169,226,72,saab
9,154,189,63,saab
8,148,181,67,saab
9,132,172,60,saab
11,172,226,71,saab
11,159,223,67,saab
5,135,152,70,saab
7,126,146,78,saab
11,172,221,70,saab
10,165,229,72,saab
12,162,226,68,saab
11,173,232,71,saab
11,153,192,62,saab
9,134,178,63,saab
11,167,229,70,saab
9,144,189,61,saab
9,138,208,67,saab
6,130,162,77,saab
4,118,136,83,saab
9,138,206,70,saab
10,155,227,72,saab
10,173,225,74,saab
12,168,226,68,saab
5,127,151,79,saab
10,150,213,66,saab
12,165,231,67,saab
11,168,224,71,saab
6,125,151,83,saab
10,156,207,65,saab
9,139,184,61,saab
8,134,183,69,saab
8,156,211,70,saab
11,156,223,68,saab
10,158,211,69,saab
11,172,229,71,saab
10,158,223,73,saab
11,174,229,70,saab
12,163,228,66,saab
6,136,164,79,saab
11,168,228,69,saab
9,134,186,63,saab
8,134,205,68,saab
8,153,188,64,saab
7,124,155,66,saab
9,151,216,64,saab
10,163,220,70,saab
7,147,180,70,saab
9,138,184,62,saab
7,124,165,61,saab
9,148,184,62,saab
10,157,207,68,saab
11,167,226,72,saab
7,127,148,72,saab
9,151,190,66,saab
10,161,219,67,saab
12,162,220,67,saab
7,131,186,68,saab
11,169,226,68,saab
12,168,229,71,saab
5,131,163,86,saab
10,143,200,64,saab
7,143,175,67,saab
11,162,207,64,saab
