@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
93,65,155,19,157,178,van
89,59,136,18,133,128,van
93,66,139,18,140,126,van
85,57,116,17,125,123,van
89,54,160,20,163,174,van
100,64,163,20,163,170,van
83,68,142,18,144,179,van
98,67,158,20,149,154,van
95,66,162,20,155,172,van
91,68,143,19,137,158,van
91,59,139,18,139,123,van
85,56,114,17,135,145,van
90,58,161,20,158,186,van
90,64,161,20,167,186,van
91,58,134,18,142,164,van
96,51,133,18,139,150,van
92,52,139,18,144,172,van
89,58,149,19,145,162,van
98,49,134,18,142,134,van
89,60,133,18,134,119,van
89,53,131,18,144,162,van
93,56,157,20,155,188,van
91,61,129,18,142,153,van
89,65,144,19,141,143,van
98,55,130,18,138,123,van
82,105,139,18,145,172,van
85,56,119,17,124,127,van
85,56,159,20,156,173,van
94,62,131,18,127,115,van
89,61,151,19,145,163,van
89,58,122,17,140,150,van
90,60,155,19,155,186,van
90,97,150,19,149,164,van
89,58,152,19,144,161,van
88,62,146,19,144,161,van
88,59,127,18,130,113,van
84,59,123,17,125,133,van
90,57,159,20,167,186,van
96,67,154,19,149,174,van
91,63,137,18,146,167,van
94,64,157,20,161,186,van
92,52,139,18,143,161,van
95,72,162,20,159,184,van
95,57,151,19,149,159,van
95,64,159,20,157,185,van
86,59,142,18,131,138,van
89,64,155,19,151,174,van
84,58,156,20,157,176,van
89,59,157,20,158,177,van
91,61,149,19,157,140,van
95,62,145,19,148,166,van
93,51,135,18,144,155,van
85,55,117,17,122,139,van
94,67,145,19,147,179,van
92,58,122,17,132,116,van
91,66,140,18,139,130,van
95,63,160,20,157,171,van
94,64,157,20,158,203,van
86,59,122,17,139,143,van
92,59,127,17,139,150,van
89,52,156,20,160,177,van
90,64,163,20,160,185,van
98,52,130,18,139,132,van
94,138,155,19,155,187,van
89,59,139,18,130,127,van
90,64,137,18,144,171,van
86,58,161,20,163,185,van
93,63,144,19,150,134,van
91,56,119,17,130,118,van
91,57,149,19,143,158,van
85,69,143,18,148,176,van
90,56,157,20,164,187,van
88,62,130,18,142,161,van
92,48,139,19,140,148,van
94,61,133,18,135,119,van
93,68,134,18,142,170,van
85,53,157,20,165,176,van
86,59,116,17,135,145,van
88,53,132,18,139,158,van
88,52,119,17,128,125,van
87,64,133,18,141,159,van
98,56,131,18,144,134,van
93,65,153,19,156,143,van
97,56,130,18,143,157,van
