@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
89,42,170,187,199,van
92,38,135,190,194,van
89,47,169,182,192,van
95,38,158,184,183,van
89,36,166,189,196,van
90,48,173,183,192,van
93,44,170,194,203,van
88,42,147,193,198,van
88,42,150,203,210,van
93,43,174,184,196,van
93,36,161,193,204,van
91,36,139,192,198,van
98,39,159,186,187,van
90,39,155,183,182,van
93,43,156,203,210,van
90,46,169,185,193,van
88,37,135,179,183,van
90,44,159,196,203,van
86,43,161,192,201,van
85,36,140,186,190,van
95,44,163,199,206,van
94,35,159,196,201,van
91,43,159,190,194,van
93,42,163,192,201,van
88,35,147,202,209,van
89,40,168,188,197,van
95,41,163,199,207,van
85,47,168,182,191,van
89,36,153,201,209,van
88,43,174,185,196,van
90,41,149,201,208,van
93,41,165,195,203,van
90,43,158,201,209,van
97,41,158,184,186,van
91,42,171,189,199,van
90,48,272,185,194,van
92,43,164,183,185,van
89,37,138,181,183,van
94,36,154,201,208,van
94,48,177,185,196,van
93,46,169,195,204,van
87,36,138,180,183,van
96,46,173,192,199,van
90,46,173,182,192,van
98,44,160,201,207,van
94,45,170,187,195,van
86,35,139,180,183,van
95,47,176,189,198,van
92,40,165,199,206,van
84,37,159,194,202,van
91,39,164,191,201,van
89,38,167,189,193,van
92,40,149,204,210,van
98,39,164,186,186,van
91,38,162,192,202,van
85,37,150,195,203,van
85,45,173,190,199,van
88,39,156,201,209,van
90,43,162,193,202,van
85,39,134,197,202,van
91,41,159,191,194,van
93,46,180,183,194,van
83,37,144,180,184,van
93,36,158,193,201,van
83,40,142,176,183,van
90,46,170,182,193,van
90,48,169,182,191,van
86,37,163,189,195,van
89,41,172,188,200,van
93,42,164,185,185,van
88,40,142,176,183,van
94,46,172,190,200,van
86,34,141,200,208,van
89,35,147,199,207,van
89,41,148,186,188,van
83,37,143,181,185,van
95,43,173,187,200,van
96,45,167,192,201,van
95,49,173,182,191,van
89,40,168,190,200,van
91,37,157,191,192,van
89,40,146,199,206,van
89,46,170,185,194,van
96,45,161,199,207,van
89,40,143,193,199,van
84,44,166,183,193,van
88,44,176,184,195,van
97,45,166,197,205,van
83,40,145,177,183,van
87,37,135,186,190,van
100,46,170,192,200,van
91,41,170,189,199,van
93,42,156,189,190,van
96,39,161,201,208,van
90,47,175,186,197,van
93,41,164,184,185,van
98,44,173,194,202,van
89,46,170,184,191,van
90,42,154,197,204,van
90,47,172,183,191,van
82,43,231,190,199,van
91,41,161,194,201,van
87,40,167,189,199,van
84,37,156,196,205,van
93,41,160,199,207,van
85,36,139,181,184,van
95,48,176,187,197,van
96,39,160,183,184,van
91,42,163,191,197,van
90,47,177,185,195,van
93,39,157,201,208,van
86,38,140,184,186,van
85,45,169,188,199,van
86,39,140,200,207,van
83,45,169,191,199,van
97,45,173,192,200,van
93,37,156,191,190,van
85,39,148,182,187,van
89,45,200,183,192,van
86,48,170,183,192,van
89,44,163,184,193,van
87,42,157,193,201,van
92,41,160,182,184,van
91,39,159,201,209,van
94,37,161,192,195,van
98,38,160,191,194,van
97,47,173,192,202,van
93,40,166,187,188,van
94,50,171,182,191,van
98,38,157,186,185,van
88,34,148,199,206,van
94,49,179,183,194,van
90,48,175,185,195,van
93,48,171,185,195,van
94,49,176,183,192,van
89,46,173,186,197,van
92,35,142,197,203,van
93,43,164,196,206,van
85,35,138,196,203,van
86,36,153,194,202,van
93,45,180,184,197,van
89,45,177,183,193,van
90,48,169,182,192,van
87,47,171,188,198,van
90,49,173,182,192,van
94,45,174,189,199,van
86,44,168,190,201,van
100,46,176,189,196,van
90,44,165,187,191,van
94,42,154,192,196,van
89,42,173,187,197,van
94,43,176,186,197,van
90,47,179,185,196,van
91,46,168,189,200,van
93,47,172,183,195,van
88,44,176,183,195,van
91,44,166,188,194,van
88,36,137,180,183,van
88,41,169,188,197,van
85,45,170,183,193,van
90,43,200,186,196,van
95,46,175,184,193,van
89,42,162,188,191,van
87,45,168,188,196,van
85,35,136,180,184,van
90,48,172,184,193,van
89,47,229,184,194,van
95,46,176,189,200,van
93,47,179,184,196,van
90,48,173,185,195,van
93,40,160,184,184,van
89,36,137,181,185,van
96,46,173,194,202,van
95,42,168,196,204,van
86,37,141,186,190,van
86,40,145,202,208,van
89,47,170,184,193,van
94,48,179,184,195,van
97,35,148,195,200,van
108,51,214,194,205,saab
88,42,165,198,205,saab
91,40,189,186,191,saab
97,53,226,186,200,saab
89,47,189,187,193,saab
109,54,226,189,202,saab
107,54,223,190,204,saab
90,36,137,190,195,saab
100,47,186,201,210,saab
93,37,191,192,197,saab
107,54,221,187,198,saab
90,37,172,201,209,saab
105,53,226,189,203,saab
89,45,190,194,201,saab
96,41,162,202,209,saab
88,45,180,188,193,saab
93,44,202,195,204,saab
104,53,218,188,198,saab
91,38,165,186,191,saab
89,38,174,188,193,saab
104,54,225,185,195,saab
101,48,192,197,210,saab
104,55,224,185,194,saab
85,40,164,182,186,saab
104,49,217,193,207,saab
116,53,231,192,206,saab
91,40,194,195,205,saab
95,45,202,198,211,saab
82,36,146,180,184,saab
108,49,227,189,198,saab
100,54,224,187,196,saab
92,45,184,190,195,saab
107,53,228,190,203,saab
100,43,200,195,205,saab
104,50,223,188,196,saab
90,34,148,196,202,saab
104,52,218,191,198,saab
106,48,227,190,203,saab
