@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
89,80,43,van
89,85,43,van
94,87,43,van
89,63,55,van
90,85,43,van
90,81,44,van
88,66,54,van
90,77,44,van
85,73,46,van
89,81,44,van
91,80,44,van
89,85,44,van
93,85,44,van
86,58,57,van
93,88,45,van
96,87,44,van
86,62,54,van
93,64,49,van
91,60,56,van
90,73,42,van
95,84,46,van
96,58,52,van
91,82,46,van
90,62,52,van
86,70,50,van
92,66,50,van
91,84,45,van
95,85,44,van
91,77,48,van
86,68,48,van
91,88,45,van
84,53,55,van
87,64,50,van
88,76,48,van
93,84,44,van
93,70,53,van
83,49,55,van
95,83,42,van
93,64,49,van
98,78,47,van
100,90,43,van
93,75,49,van
89,70,49,van
95,82,43,van
93,83,43,van
88,51,57,van
94,91,43,van
95,82,46,van
89,58,54,van
90,69,49,van
96,80,46,van
87,81,45,van
94,85,44,van
88,80,45,van
87,52,58,van
89,76,44,van
89,84,43,van
87,64,50,van
90,78,43,van
84,70,48,van
94,81,46,van
92,58,55,van
94,87,43,van
88,60,52,van
90,75,43,van
90,78,43,van
88,84,44,van
98,68,52,van
89,68,47,van
86,66,54,van
94,82,43,van
89,51,56,van
94,85,43,van
83,53,53,van
88,58,52,van
97,91,45,van
90,66,48,van
97,88,43,van
86,60,55,van
85,66,56,van
90,78,43,van
92,60,58,van
91,78,45,van
83,59,52,van
94,66,50,van
87,53,57,van
89,51,57,van
95,76,44,van
90,85,44,van
96,77,47,van
87,66,47,van
93,85,43,van
98,68,51,van
96,88,44,van
88,84,44,van
86,78,46,van
90,85,43,van
90,81,45,van
84,70,49,van
88,55,53,van
96,85,43,van
90,80,43,van
89,66,51,van
93,63,50,van
91,76,51,van
94,68,52,van
89,77,46,van
96,88,43,van
89,81,44,van
85,71,46,van
89,78,43,van
83,73,46,van
90,72,49,van
93,79,46,van
89,68,50,van
91,66,53,van
98,66,51,van
94,66,50,van
85,64,57,van
100,85,42,van
88,85,43,van
98,88,43,van
93,64,51,van
93,70,53,van
94,84,44,van
90,85,42,van
93,82,46,van
93,78,48,van
94,82,43,van
89,74,44,van
94,68,52,van
94,85,43,van
93,62,52,van
86,62,57,van
94,72,50,van
85,57,58,van
94,87,43,van
86,60,56,van
85,80,45,van
88,64,51,van
89,89,44,van
90,86,44,van
90,63,50,van
86,76,47,van
89,85,43,van
96,70,50,van
92,66,50,van
92,62,52,van
89,74,49,van
92,70,49,van
91,66,50,van
88,53,57,van
89,77,44,van
84,80,44,van
95,88,43,van
86,69,48,van
98,70,53,van
89,79,46,van
95,92,42,van
92,82,45,van
95,66,52,van
90,73,43,van
83,62,55,van
89,85,44,van
85,47,57,van
85,68,51,van
93,78,48,van
97,66,52,van
85,68,53,van
89,83,43,van
97,87,43,van
97,62,52,van
91,70,47,van
89,84,45,van
91,64,51,van
87,81,46,van
90,72,48,van
85,51,57,van
86,75,43,van
108,103,32,saab
107,108,31,saab
113,98,33,saab
101,105,34,saab
89,89,37,saab
84,83,45,saab
97,96,36,saab
91,83,47,saab
83,54,50,saab
90,72,42,saab
109,109,32,saab
85,66,48,saab
95,105,36,saab
88,63,54,saab
91,72,45,saab
107,96,31,saab
104,96,35,saab
90,57,56,saab
106,101,30,saab
106,108,31,saab
100,92,36,saab
119,106,31,saab
115,100,31,saab
100,102,33,saab
91,72,44,saab
91,98,38,saab
82,54,54,saab
102,106,32,saab
90,83,37,saab
94,85,39,saab
104,100,31,saab
113,93,31,saab
97,76,42,saab
110,104,31,saab
98,96,35,saab
104,105,32,saab
98,78,39,saab
100,104,34,saab
112,104,32,saab
99,104,33,saab
92,76,41,saab
111,103,31,saab
101,112,32,saab
89,52,55,saab
82,66,52,saab
104,101,31,saab
102,105,33,saab
91,75,47,saab
107,103,30,saab
108,104,31,saab
89,80,41,saab
108,100,34,saab
103,106,33,saab
93,86,39,saab
84,77,44,saab
105,106,32,saab
87,66,46,saab
85,50,59,saab
108,109,31,saab
106,107,32,saab
91,72,46,saab
106,98,31,saab
103,105,32,saab
84,75,48,saab
92,83,41,saab
93,63,52,saab
91,83,38,saab
85,75,44,saab
117,110,31,saab
96,101,34,saab
86,62,45,saab
105,108,30,saab
107,104,31,saab
95,95,34,saab
89,80,46,saab
104,108,31,saab
108,103,30,saab
107,98,31,saab
89,54,50,saab
80,63,46,saab
104,105,32,saab
96,74,42,saab
110,102,31,saab
104,101,32,saab
91,77,42,saab
101,101,31,saab
93,98,36,saab
93,88,38,saab
93,81,41,saab
97,101,36,saab
99,105,32,saab
116,110,31,saab
90,90,36,saab
93,98,36,saab
103,100,35,saab
115,100,30,saab
90,66,47,saab
96,94,35,saab
110,100,34,saab
93,72,50,saab
95,104,35,saab
90,89,38,saab
104,101,31,saab
88,58,46,saab
90,85,41,saab
101,85,38,saab
105,105,31,saab
98,101,33,saab
104,108,31,saab
85,72,50,saab
86,66,49,saab
109,104,31,saab
108,103,32,saab
103,106,32,saab
89,69,48,saab
91,79,40,saab
93,76,40,saab
109,96,33,saab
83,54,52,saab
108,109,31,saab
89,85,39,saab
107,103,31,saab
100,88,38,saab
111,108,32,saab
90,74,42,saab
88,82,43,saab
109,103,31,saab
109,103,30,saab
96,100,37,saab
108,103,30,saab
99,89,35,saab
98,90,37,saab
107,108,31,saab
97,104,32,saab
87,74,44,saab
96,78,38,saab
91,83,39,saab
108,109,31,saab
94,77,42,saab
93,76,44,saab
92,80,43,saab
107,98,31,saab
106,98,31,saab
104,100,33,saab
109,103,30,saab
100,104,32,saab
101,101,35,saab
85,75,46,saab
109,109,31,saab
97,95,35,saab
105,100,33,saab
108,105,33,saab
95,81,39,saab
86,66,49,saab
106,101,33,saab
90,66,54,saab
98,90,37,saab
87,71,49,saab
105,108,31,saab
115,100,34,saab
89,83,40,saab
90,80,42,saab
92,78,43,saab
104,106,32,saab
107,108,32,saab
112,110,31,saab
94,88,39,saab
92,71,43,saab
97,88,38,saab
89,77,46,saab
104,108,31,saab
82,59,51,saab
78,63,47,saab
83,54,53,saab
102,104,32,saab
95,71,43,saab
97,105,30,saab
105,100,30,saab
93,87,40,saab
92,86,42,saab
86,78,50,saab
104,100,31,saab
98,109,34,saab
105,105,35,saab
109,109,31,saab
102,101,30,saab
88,57,50,saab
86,77,45,saab
85,53,58,saab
110,104,32,saab
88,90,38,saab
91,83,41,saab
87,60,52,saab
105,108,31,saab
88,77,47,saab
86,61,46,bus
88,71,46,bus
99,91,32,bus
94,73,42,bus
81,71,44,bus
85,66,46,bus
82,71,45,bus
94,68,46,bus
96,74,39,bus
94,70,42,bus
89,76,44,bus
82,66,45,bus
97,88,33,bus
81,72,44,bus
102,85,33,bus
89,70,45,bus
102,83,33,bus
99,92,31,bus
94,64,43,bus
85,70,45,bus
82,63,45,bus
85,70,45,bus
84,68,46,bus
85,69,44,bus
86,70,45,bus
94,75,42,bus
80,68,45,bus
84,76,43,bus
98,84,35,bus
83,73,45,bus
85,66,46,bus
92,75,40,bus
96,98,31,bus
100,75,36,bus
80,71,45,bus
87,74,45,bus
87,73,44,bus
101,91,32,bus
95,73,41,bus
81,68,45,bus
85,64,46,bus
86,68,44,bus
94,89,35,bus
106,98,28,bus
106,103,27,bus
86,65,45,bus
83,70,46,bus
85,70,45,bus
98,70,41,bus
85,66,46,bus
99,79,35,bus
107,106,26,bus
86,71,45,bus
100,81,34,bus
107,102,28,bus
86,66,46,bus
81,68,45,bus
103,103,28,bus
83,66,45,bus
86,73,44,bus
107,106,26,bus
81,68,44,bus
106,100,27,bus
95,71,45,bus
86,64,46,bus
98,77,39,bus
108,102,28,bus
85,66,45,bus
83,71,45,bus
88,73,44,bus
96,74,39,bus
104,94,31,bus
89,75,43,bus
79,72,44,bus
100,73,40,bus
106,107,26,bus
87,70,44,bus
109,102,27,bus
87,65,46,bus
86,65,45,bus
101,106,28,bus
97,73,42,bus
82,73,44,bus
107,98,27,bus
99,77,36,bus
98,88,34,bus
78,70,46,bus
93,84,36,bus
85,66,45,bus
81,68,45,bus
83,70,46,bus
105,80,33,bus
97,70,43,bus
85,66,45,bus
97,72,40,bus
92,75,42,bus
100,80,35,bus
109,96,28,bus
100,98,30,bus
85,66,45,bus
86,70,46,bus
94,79,37,bus
94,84,35,bus
110,109,27,bus
85,66,45,bus
88,70,44,bus
95,83,36,bus
89,68,45,bus
99,88,32,bus
86,66,44,bus
109,95,29,bus
91,75,42,bus
90,63,45,bus
114,102,26,bus
92,76,43,bus
87,60,46,bus
86,71,45,bus
96,74,43,bus
84,65,46,bus
111,105,26,bus
90,71,44,bus
82,72,44,bus
98,77,37,bus
101,104,26,bus
81,68,46,bus
105,93,30,bus
85,59,46,bus
86,65,45,bus
102,92,30,bus
96,82,34,bus
85,64,46,bus
89,76,42,bus
107,103,27,bus
79,74,43,bus
91,76,44,bus
82,68,45,bus
98,72,38,bus
89,72,46,bus
87,70,45,bus
84,70,45,bus
84,76,44,bus
86,69,46,bus
81,68,45,bus
86,70,45,bus
94,72,41,bus
85,70,45,bus
97,76,36,bus
89,70,47,bus
82,68,46,bus
91,76,44,bus
90,79,40,bus
98,86,33,bus
87,70,46,bus
93,79,37,bus
91,81,38,bus
88,70,46,bus
80,68,46,bus
82,70,45,bus
110,106,26,bus
101,62,43,bus
80,68,45,bus
87,76,42,bus
86,65,45,bus
90,75,43,bus
81,63,46,bus
84,66,46,bus
93,86,35,bus
88,70,44,bus
102,98,29,bus
108,106,26,bus
82,72,46,bus
98,70,39,bus
86,73,45,bus
87,76,45,bus
95,73,38,bus
83,71,44,bus
83,68,45,bus
97,75,37,bus
93,73,43,bus
85,65,45,bus
91,66,44,bus
96,70,39,bus
88,78,41,bus
96,68,41,bus
102,101,28,bus
80,71,45,bus
91,84,38,bus
81,68,46,bus
87,65,46,bus
92,74,41,bus
110,103,26,bus
81,69,44,bus
