@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
63,8,144,150,165,309,van
64,11,156,163,170,352,van
60,9,150,156,173,333,van
64,7,128,143,154,246,van
59,8,139,130,166,291,van
54,11,158,162,178,366,van
68,10,143,137,164,308,van
54,5,120,127,138,213,van
66,9,153,144,168,347,van
72,10,162,159,176,379,van
58,11,159,160,180,371,van
58,4,118,125,138,205,van
62,8,140,150,161,294,van
48,7,135,139,155,261,van
64,9,151,148,173,339,van
54,11,160,163,175,369,van
67,9,157,150,170,363,van
64,10,156,153,177,357,van
57,10,151,149,173,339,van
61,11,151,145,170,338,van
55,5,122,128,144,219,van
58,9,152,155,175,345,van
58,7,122,140,146,225,van
55,5,117,134,140,204,van
68,9,142,147,168,305,van
66,9,151,147,169,339,van
58,6,136,146,168,273,van
51,7,140,141,164,284,van
58,7,126,128,147,237,van
102,43,155,160,200,347,van
138,49,155,155,320,354,van
64,11,159,157,176,371,van
61,9,133,130,153,266,van
58,6,136,138,166,275,van
56,10,157,155,180,364,van
66,11,162,155,175,381,van
60,10,155,155,179,355,van
53,6,132,140,142,247,van
66,8,139,140,157,290,van
62,5,114,132,135,194,van
65,12,155,157,179,354,van
61,7,122,127,141,223,van
53,6,122,129,143,218,van
60,6,128,141,149,246,van
126,49,153,156,272,346,van
54,7,127,132,155,242,van
52,8,133,140,158,253,van
68,10,155,148,173,354,van
65,9,144,141,168,314,van
58,9,149,145,172,330,van
57,6,116,125,138,200,van
65,9,137,146,162,281,van
62,9,131,127,159,258,van
54,5,119,132,141,209,van
57,10,156,170,171,351,van
59,8,142,131,167,301,van
59,11,160,160,173,370,van
55,8,130,146,159,253,van
50,8,137,141,162,269,van
62,8,137,137,156,281,van
59,7,131,142,154,259,van
68,9,134,142,163,268,van
64,8,137,145,156,281,van
57,6,123,144,147,227,van
63,7,137,146,166,280,van
48,7,139,140,159,277,van
55,8,132,135,157,256,van
52,8,130,139,157,243,van
62,9,136,134,159,280,van
105,55,139,145,231,289,van
58,10,153,151,175,349,van
69,8,136,136,161,279,van
63,11,156,165,171,354,van
54,10,156,151,163,352,van
56,11,157,155,176,363,van
56,11,160,167,169,366,van
59,7,128,129,147,246,van
56,10,157,164,169,354,van
60,9,133,135,161,262,van
69,8,143,148,173,307,van
61,9,149,157,165,326,van
58,10,161,163,170,371,van
60,8,133,134,153,265,van
67,10,157,157,173,365,van
56,6,114,135,134,195,van
60,11,161,159,172,374,van
64,11,163,163,176,387,van
58,11,156,157,166,349,van
62,8,130,142,150,253,van
64,8,128,129,148,246,van
64,7,135,145,165,272,van
56,11,159,162,173,365,van
63,10,151,148,166,334,van
58,11,161,153,172,376,van
67,9,145,147,164,313,van
52,6,139,144,164,282,van
64,9,156,149,173,359,van
68,10,157,156,170,357,van
53,9,157,165,168,358,van
51,7,135,144,164,262,van
66,11,159,159,173,368,van
64,8,136,145,158,279,van
67,10,154,149,167,351,van
65,10,153,156,170,348,van
68,10,146,139,167,317,van
66,9,150,147,164,334,van
52,5,128,135,148,241,van
54,10,155,153,174,351,van
64,9,147,148,169,324,van
