@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2-3,7-8,12,19'

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
44,70,149,45,325,bus
34,66,123,54,224,saab
45,68,151,44,336,bus
37,51,119,57,207,van
36,66,133,50,265,van
44,68,150,45,328,bus
54,100,213,31,669,opel
35,72,149,44,334,opel
40,72,132,50,260,saab
49,98,213,31,680,bus
44,72,144,46,312,bus
42,81,169,38,434,bus
45,76,157,42,371,opel
43,76,149,44,335,saab
44,72,147,46,317,bus
46,70,149,45,331,bus
57,103,219,30,708,opel
39,83,169,39,426,saab
48,104,201,33,604,saab
58,101,226,30,748,opel
45,80,146,46,316,van
46,73,151,45,334,bus
43,78,151,44,342,opel
45,73,149,44,335,bus
51,92,220,30,731,bus
57,109,221,30,725,opel
37,54,135,50,271,saab
44,84,145,46,312,van
40,69,132,50,260,opel
54,105,202,33,608,saab
45,72,161,40,399,bus
56,98,217,31,696,opel
46,71,153,44,347,bus
49,87,157,43,363,van
42,65,152,45,332,bus
34,66,140,47,298,saab
53,101,238,28,844,bus
57,104,212,31,670,opel
52,101,201,33,607,saab
57,105,218,30,706,opel
42,64,148,46,319,bus
43,82,155,43,359,van
35,78,150,45,331,opel
38,58,133,51,259,opel
36,69,140,48,291,saab
43,81,150,45,332,van
52,107,218,31,701,opel
45,76,159,41,381,saab
48,90,175,38,460,saab
39,86,167,39,418,saab
39,72,142,48,295,opel
49,86,177,37,471,opel
56,101,217,31,698,saab
35,70,155,41,371,bus
54,103,208,32,648,saab
50,83,178,37,481,opel
51,109,220,30,722,opel
53,105,221,30,713,saab
56,105,210,32,648,opel
49,85,159,43,365,van
55,96,216,31,685,opel
40,100,181,37,486,saab
53,101,213,32,664,saab
43,76,155,43,359,bus
45,85,158,43,362,van
51,96,190,35,543,opel
46,73,161,43,373,van
41,66,139,50,275,van
35,58,122,55,222,van
49,82,159,43,367,van
45,85,158,43,367,van
52,103,236,28,816,bus
42,66,134,50,268,van
36,51,119,57,207,van
36,73,162,40,401,bus
36,72,150,44,334,saab
41,64,129,51,249,van
36,83,142,47,298,saab
37,70,127,53,238,van
46,88,192,34,563,bus
53,108,220,31,707,saab
42,98,185,36,508,saab
56,96,220,30,713,opel
42,66,131,51,254,van
45,66,140,47,294,van
