@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
89,61,11,145,199,van
91,61,9,152,200,van
88,59,7,129,209,van
92,63,9,140,206,van
96,50,8,141,183,van
91,59,8,139,209,van
83,53,6,129,185,van
98,56,8,144,187,van
93,66,9,147,204,van
94,70,12,155,200,van
89,55,11,160,192,van
96,62,8,150,208,van
95,57,10,149,200,van
85,55,3,122,184,van
85,63,8,147,196,van
90,56,10,164,191,van
86,58,10,163,192,van
92,58,6,132,203,van
93,66,9,147,206,van
86,59,6,135,204,van
93,65,12,157,196,van
94,67,9,147,202,van
94,57,10,170,191,van
93,56,10,155,197,van
93,69,8,136,204,van
97,64,9,149,202,van
89,58,7,128,207,van
94,138,49,155,196,van
95,64,11,157,198,van
88,62,8,144,197,van
96,64,9,148,199,van
87,54,6,126,190,van
86,61,7,127,208,van
83,55,5,128,184,van
88,53,7,139,183,van
90,64,10,160,195,van
87,62,9,152,198,van
90,58,9,155,197,van
89,66,11,159,197,van
95,66,9,144,204,van
89,58,7,140,206,van
94,54,11,162,194,van
86,55,5,134,194,van
89,65,9,141,200,van
91,66,8,145,199,van
87,58,8,148,196,van
93,58,11,160,194,van
90,60,9,156,195,van
90,97,46,149,196,van
86,64,9,143,201,van
88,57,3,128,183,van
98,49,7,142,186,van
94,64,10,158,194,van
95,56,11,162,191,van
84,58,11,157,193,van
94,62,9,127,201,van
97,64,8,129,200,van
91,61,9,157,207,van
86,68,9,147,201,van
89,54,11,163,193,van
83,68,8,144,199,van
86,59,8,131,196,van
89,63,11,160,194,van
93,51,7,141,185,van
89,58,10,151,197,van
94,56,10,160,192,van
98,67,10,149,202,van
87,64,10,142,201,van
86,61,9,130,202,van
92,62,5,132,194,van
90,62,11,156,193,van
94,68,10,156,195,van
87,58,4,125,183,van
87,64,10,141,201,van
89,58,6,146,187,van
97,63,10,148,205,van
89,102,43,160,192,van
89,52,10,160,191,van
84,59,5,125,183,van
95,62,10,148,206,van
88,57,6,144,198,van
97,56,7,143,186,van
91,57,9,143,199,van
93,57,8,136,201,van
96,66,10,150,202,van
89,56,6,137,199,van
91,55,8,146,194,van
93,66,8,140,208,van
94,54,7,132,196,van
90,60,11,159,193,van
85,69,8,148,199,van
94,64,10,161,195,van
85,55,5,128,190,van
89,64,11,151,196,van
90,56,11,167,192,van
84,62,9,134,202,van
88,56,11,155,195,van
89,59,11,158,193,van
89,58,9,145,200,van
89,54,5,127,183,van
89,64,9,139,197,van
93,54,10,153,196,van
94,63,10,157,199,van
83,53,6,140,183,van
83,53,7,137,183,van
95,63,11,157,200,van
89,54,10,151,193,van
86,56,4,129,186,van
85,56,11,156,193,van
85,57,6,125,203,van
91,68,10,137,201,van
89,52,6,129,185,van
94,64,10,153,196,van
90,57,11,167,192,van
96,51,6,139,182,van
96,67,10,149,201,van
90,59,11,160,192,van
91,61,8,142,201,van
90,58,11,153,191,van
93,66,11,158,195,van
93,52,9,137,190,van
93,68,9,142,201,van
90,60,6,141,208,van
82,105,55,145,199,van
96,48,8,141,184,van
85,60,6,130,203,van
92,48,7,140,183,van
92,52,6,144,185,van
98,63,8,148,207,van
88,62,8,137,209,van
92,52,7,143,184,van
89,59,9,158,191,van
90,60,10,155,196,van
90,65,9,146,202,van
94,54,10,149,197,van
