@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,5,7,9-10,13,19'

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
90,65,137,18,146,164,van
93,62,183,22,146,152,saab
96,65,204,23,166,246,opel
89,52,118,17,129,125,van
99,69,177,21,139,151,bus
101,53,257,28,168,230,bus
85,52,128,18,135,142,van
83,67,150,19,144,159,bus
98,69,225,25,178,216,opel
86,62,150,19,142,164,bus
92,62,114,17,132,137,van
99,64,197,23,152,159,opel
93,54,155,19,153,165,van
93,65,173,21,158,194,bus
91,66,148,19,145,147,van
107,64,202,23,164,192,opel
101,68,209,24,162,224,opel
97,63,181,21,155,189,opel
87,68,146,19,139,157,van
82,64,154,19,144,177,bus
84,59,152,19,143,177,saab
79,61,153,19,149,199,bus
95,73,156,19,126,124,bus
80,56,151,19,147,176,bus
109,68,214,24,169,212,saab
89,64,169,20,153,190,saab
93,57,132,18,136,121,van
109,51,241,26,165,247,bus
98,69,192,22,161,221,bus
106,61,207,24,153,200,saab
109,62,205,23,158,168,opel
96,67,198,23,163,226,opel
93,49,131,18,145,156,van
82,54,151,19,147,185,bus
89,54,149,19,144,168,opel
93,66,150,19,147,143,van
107,55,234,26,171,229,bus
99,62,203,23,158,219,bus
117,65,212,24,163,220,saab
100,63,186,22,156,176,opel
97,64,156,20,149,182,van
87,58,118,17,125,138,van
89,66,153,19,136,154,bus
107,64,206,23,163,202,saab
85,60,130,18,130,121,van
84,55,150,19,134,165,opel
99,64,185,22,159,193,opel
98,61,178,21,144,138,saab
82,57,153,19,133,153,opel
97,71,211,24,171,223,saab
89,63,160,20,160,176,van
102,56,219,25,171,223,opel
88,57,118,17,128,136,van
101,62,227,25,178,204,opel
115,64,220,25,166,214,saab
86,56,148,19,145,171,bus
92,60,147,19,142,160,opel
109,57,241,26,170,242,bus
96,68,159,20,134,134,saab
94,72,155,19,133,145,bus
90,62,175,21,132,154,saab
98,53,224,25,178,217,opel
84,57,139,18,127,127,opel
89,54,144,19,146,174,saab
87,51,150,19,141,171,bus
83,55,122,17,128,146,van
90,60,150,19,156,200,van
90,59,131,18,142,162,van
86,56,152,19,150,177,bus
87,58,148,19,136,178,saab
90,64,136,18,145,167,van
85,53,149,19,143,160,bus
89,57,122,17,125,128,saab
107,63,219,25,168,198,saab
104,53,219,25,166,218,opel
103,71,205,23,153,197,opel
114,52,257,28,169,261,bus
90,55,138,18,138,158,opel
96,58,174,21,139,160,saab
95,65,193,22,160,237,saab
98,65,169,20,136,141,saab
109,64,198,23,150,191,saab
107,68,219,25,172,216,saab
95,56,159,20,162,185,van
