@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
11,43,van
6,52,van
8,50,van
6,49,van
12,44,van
11,43,van
11,43,van
9,45,van
10,43,van
7,54,van
10,44,van
7,54,van
8,50,van
10,46,van
10,44,van
8,46,van
8,51,van
8,50,van
9,46,van
11,44,van
9,48,van
12,43,van
8,51,van
9,43,van
6,49,van
6,52,van
3,57,van
6,55,van
10,43,van
10,44,van
11,43,van
7,52,van
11,42,van
46,45,van
7,48,van
10,42,van
8,47,van
9,44,van
4,57,van
9,44,van
8,47,van
11,43,van
9,45,van
4,57,van
8,52,van
10,43,van
10,44,van
8,46,van
2,57,van
8,49,van
5,57,van
10,43,van
7,52,van
11,43,van
6,58,van
10,43,van
11,43,van
9,44,van
8,47,van
5,58,van
7,51,van
11,43,van
8,53,van
10,46,van
9,45,van
11,42,van
49,44,van
9,53,van
10,43,van
8,49,van
8,48,van
10,44,van
5,55,van
11,43,van
10,50,van
9,46,van
6,57,van
9,45,van
9,44,van
11,43,van
12,43,van
9,48,van
48,43,van
7,52,van
8,52,van
11,43,van
10,43,van
9,46,van
8,48,van
7,53,van
49,43,van
7,51,van
9,45,van
11,44,van
8,46,van
7,51,van
10,44,van
43,44,van
7,52,van
11,44,van
8,51,van
9,50,van
10,44,van
5,56,van
10,42,van
9,46,van
11,43,van
6,57,van
8,51,van
7,54,van
10,43,van
8,44,van
5,55,van
6,55,van
10,44,van
11,43,van
9,45,van
10,44,van
8,48,van
6,57,van
9,50,van
8,45,van
7,53,van
7,52,van
11,42,van
8,50,van
5,57,van
8,52,van
11,43,van
8,48,van
6,54,van
7,50,van
7,50,van
11,43,van
5,53,van
11,44,van
5,57,van
6,53,van
9,44,van
11,42,van
9,50,van
10,50,van
10,44,van
11,43,van
10,46,van
9,43,van
8,52,van
8,47,van
11,44,van
10,43,van
8,52,van
9,46,van
10,43,van
7,53,van
10,43,van
7,50,van
7,49,van
9,45,van
6,51,van
8,48,van
6,49,van
7,51,van
11,44,van
5,56,van
6,52,van
9,45,van
10,45,van
9,44,van
3,57,van
7,51,van
9,50,van
10,43,van
9,48,van
10,43,van
6,56,van
11,43,van
8,48,van
11,44,van
55,48,van
9,42,saab
6,41,saab
11,30,saab
10,32,saab
4,55,saab
11,31,saab
11,32,saab
11,31,saab
4,49,saab
12,31,saab
11,30,saab
10,35,saab
4,59,saab
10,34,saab
11,33,saab
11,31,saab
7,45,saab
6,50,saab
4,50,saab
11,31,saab
6,44,saab
7,46,saab
11,36,saab
8,42,saab
9,32,saab
9,36,saab
11,31,saab
6,46,saab
5,46,saab
10,32,saab
11,32,saab
9,34,saab
7,47,saab
6,58,saab
10,31,saab
11,31,saab
10,32,saab
10,33,saab
9,38,saab
6,54,saab
11,32,saab
4,50,saab
11,31,saab
9,34,saab
8,38,saab
11,31,saab
10,32,saab
11,38,saab
12,30,saab
11,31,saab
8,44,saab
10,30,saab
10,34,saab
7,52,saab
11,33,saab
8,42,saab
10,33,saab
9,35,saab
7,38,saab
10,32,saab
9,35,saab
5,50,saab
10,36,saab
8,47,saab
12,31,saab
11,31,saab
11,30,saab
11,31,saab
11,31,saab
9,37,saab
12,34,saab
10,31,saab
7,42,saab
10,36,saab
6,48,saab
7,41,saab
8,38,saab
7,50,saab
12,31,saab
10,31,saab
11,31,saab
10,35,saab
9,36,saab
11,32,saab
10,35,saab
10,33,saab
7,45,saab
12,31,saab
9,36,saab
9,37,saab
9,35,saab
5,45,saab
8,42,saab
4,52,saab
7,38,saab
9,34,saab
11,32,saab
7,39,saab
7,43,saab
6,46,saab
9,33,saab
10,32,saab
7,41,saab
9,33,saab
7,46,saab
10,31,saab
9,40,saab
7,54,saab
11,31,saab
10,33,saab
9,41,saab
9,38,saab
12,32,saab
11,31,saab
6,49,saab
12,31,saab
8,37,saab
12,30,saab
10,32,saab
6,50,saab
11,32,saab
7,46,saab
12,31,saab
5,44,saab
7,39,saab
10,31,saab
9,32,saab
5,50,saab
6,56,saab
7,45,saab
9,39,saab
10,36,saab
9,39,saab
11,35,saab
8,43,saab
8,36,saab
7,51,saab
10,30,saab
6,41,saab
9,40,saab
7,52,saab
10,34,saab
12,31,saab
5,48,saab
8,35,saab
7,47,saab
4,59,saab
6,48,saab
5,50,saab
9,40,saab
7,41,saab
11,31,saab
8,47,saab
11,31,saab
10,30,saab
8,42,saab
6,53,saab
10,32,saab
7,44,saab
12,31,saab
5,54,saab
11,32,saab
6,47,saab
12,31,saab
9,35,saab
8,46,saab
7,45,saab
11,30,saab
11,31,saab
7,41,saab
7,42,saab
9,32,saab
7,44,saab
6,52,saab
7,39,saab
9,33,saab
3,61,saab
8,40,saab
10,38,saab
10,32,saab
7,37,saab
9,38,saab
6,48,saab
8,43,saab
8,39,saab
11,31,saab
11,34,saab
8,38,saab
7,43,saab
7,45,saab
8,39,saab
11,30,saab
9,43,saab
12,31,saab
11,31,saab
5,32,bus
4,31,bus
7,30,bus
7,46,bus
6,45,bus
7,27,bus
7,36,bus
5,26,bus
5,38,bus
6,43,bus
7,40,bus
8,45,bus
5,26,bus
6,44,bus
7,44,bus
8,45,bus
6,26,bus
5,33,bus
6,46,bus
6,43,bus
7,45,bus
7,44,bus
6,41,bus
7,44,bus
6,42,bus
6,35,bus
4,29,bus
6,43,bus
6,44,bus
6,41,bus
6,39,bus
7,44,bus
6,26,bus
7,44,bus
7,45,bus
6,33,bus
4,28,bus
8,42,bus
6,40,bus
7,28,bus
7,45,bus
6,28,bus
7,45,bus
5,35,bus
5,33,bus
7,46,bus
6,26,bus
22,45,bus
7,44,bus
6,41,bus
6,34,bus
7,43,bus
7,45,bus
7,44,bus
7,44,bus
8,46,bus
22,45,bus
7,45,bus
8,46,bus
7,45,bus
7,35,bus
7,43,bus
5,41,bus
6,41,bus
8,46,bus
4,27,bus
7,44,bus
6,46,bus
7,28,bus
6,43,bus
6,31,bus
7,45,bus
8,45,bus
6,45,bus
5,36,bus
7,46,bus
7,43,bus
6,40,bus
7,45,bus
7,37,bus
6,38,bus
6,37,bus
7,45,bus
7,35,bus
6,45,bus
7,43,bus
7,45,bus
7,44,bus
6,40,bus
7,45,bus
6,37,bus
6,45,bus
6,46,bus
7,39,bus
4,30,bus
5,46,bus
6,39,bus
7,44,bus
7,32,bus
8,45,bus
5,37,bus
5,42,bus
5,32,bus
6,46,bus
6,46,bus
6,42,bus
7,34,bus
6,44,bus
7,46,bus
6,28,bus
6,26,bus
7,44,bus
6,35,bus
6,39,bus
6,45,bus
19,44,bus
6,36,bus
8,46,bus
52,45,bus
