@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
66,8,148,van
55,5,120,van
56,11,157,van
64,8,137,van
66,10,155,van
72,10,162,van
54,6,115,van
58,9,149,van
63,10,151,van
64,11,161,van
58,6,136,van
68,10,155,van
64,9,151,van
63,9,146,van
126,49,153,van
64,9,156,van
65,9,137,van
54,10,156,van
56,7,130,van
55,11,160,van
58,8,140,van
51,6,133,van
58,6,122,van
59,11,158,van
59,6,123,van
58,10,161,van
48,7,139,van
61,9,149,van
62,10,145,van
59,6,127,van
51,7,140,van
64,9,144,van
53,7,132,van
138,49,155,van
63,8,138,van
67,10,158,van
61,8,129,van
62,8,137,van
55,5,117,van
59,6,116,van
69,8,136,van
56,5,119,van
56,10,157,van
61,9,133,van
56,10,157,van
63,8,143,van
59,8,142,van
55,7,130,van
56,10,159,van
60,9,133,van
65,9,145,van
64,9,138,van
52,5,128,van
63,8,144,van
52,8,133,van
60,8,133,van
55,3,117,van
64,8,136,van
60,9,150,van
63,11,160,van
68,10,146,van
60,6,128,van
52,6,139,van
64,10,163,van
62,8,140,van
64,7,135,van
58,10,152,van
65,9,144,van
57,6,123,van
53,6,132,van
51,7,135,van
64,8,137,van
58,4,118,van
67,10,154,van
56,11,159,van
57,3,118,van
54,11,160,van
97,46,150,van
65,12,155,van
58,11,156,van
61,8,133,van
52,8,130,van
61,11,151,van
52,10,156,van
67,10,157,van
102,43,155,van
58,7,122,van
54,5,120,van
56,7,127,van
61,7,137,van
64,8,128,van
56,6,114,van
62,9,131,van
58,11,161,van
59,7,131,van
69,8,143,van
53,6,122,van
56,11,160,van
68,10,157,van
66,11,159,van
58,9,152,van
59,8,127,van
62,9,147,van
62,9,136,van
64,10,157,van
59,7,122,van
70,12,157,van
59,5,123,van
63,11,160,van
64,11,155,van
63,8,142,van
133,48,158,van
52,6,118,van
64,10,157,van
60,11,161,van
62,8,146,van
54,10,155,van
56,6,119,van
64,9,147,van
66,9,150,van
59,7,136,van
57,9,149,van
64,11,163,van
63,9,146,van
49,7,134,van
57,11,159,van
53,7,131,van
59,9,157,van
64,7,128,van
66,9,153,van
59,11,160,van
59,8,139,van
56,9,126,van
64,10,133,van
57,10,151,van
60,6,130,van
67,9,145,van
54,10,155,van
50,8,137,van
62,5,114,van
61,9,147,van
61,7,122,van
64,11,159,van
58,11,161,van
63,9,144,van
58,9,134,van
52,9,127,van
55,5,122,van
68,9,134,van
62,8,130,van
54,11,158,van
59,7,128,van
55,12,155,van
60,7,119,van
59,8,139,van
66,8,139,van
55,8,132,van
68,10,143,van
57,8,132,van
63,10,158,van
62,11,159,van
55,11,154,van
52,5,119,van
53,7,132,van
54,7,127,van
64,11,156,van
58,10,153,van
67,9,157,van
66,25,140,van
63,11,156,van
52,7,139,van
57,6,116,van
49,7,131,van
64,10,133,van
68,9,142,van
57,10,156,van
56,8,131,van
68,8,142,van
54,5,119,van
58,6,151,saab
56,11,214,saab
63,10,201,saab
61,9,178,saab
60,11,191,saab
67,9,187,saab
66,7,173,saab
59,11,217,saab
60,8,175,saab
66,10,207,saab
66,7,154,saab
65,9,197,saab
63,8,164,saab
64,11,220,saab
59,9,197,saab
63,9,185,saab
60,8,158,saab
70,12,215,saab
58,7,128,saab
63,9,177,saab
53,8,137,saab
62,8,175,saab
55,7,146,saab
67,12,222,saab
60,12,196,saab
61,11,217,saab
55,4,129,saab
59,7,169,saab
60,7,170,saab
62,10,206,saab
56,8,154,saab
57,7,149,saab
62,10,217,saab
61,10,181,saab
63,11,222,saab
59,8,154,saab
60,12,215,saab
59,11,199,saab
66,10,214,saab
58,8,140,saab
64,10,220,saab
58,7,135,saab
66,10,203,saab
71,11,219,saab
64,11,213,saab
64,8,169,saab
61,11,212,saab
58,9,157,saab
57,7,159,saab
61,11,207,saab
57,6,128,saab
62,9,169,saab
67,8,154,saab
53,4,115,saab
57,11,211,saab
64,12,206,saab
67,12,222,saab
56,7,155,saab
58,8,177,saab
62,9,203,saab
55,12,216,saab
65,11,218,saab
65,11,208,saab
62,11,202,saab
53,7,125,saab
60,8,172,saab
63,7,135,saab
69,10,221,saab
62,7,150,saab
56,6,133,saab
66,10,188,saab
55,7,146,saab
69,12,221,saab
