@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1-2,11,17-19'

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
84,37,141,179,183,van
94,43,169,199,206,bus
89,43,173,185,196,van
94,49,178,183,194,van
119,54,223,192,202,saab
91,45,184,199,208,saab
96,40,162,183,183,van
92,39,196,192,200,opel
73,37,135,176,184,opel
94,36,155,195,196,van
94,38,196,190,195,opel
87,44,170,179,182,bus
82,45,237,181,185,bus
102,45,225,193,191,bus
108,53,224,188,199,saab
99,48,202,195,195,bus
85,45,171,187,196,van
85,41,173,184,191,bus
97,42,208,194,206,saab
87,42,157,193,201,van
106,49,224,192,206,opel
95,45,188,199,204,opel
94,45,164,194,202,van
89,44,168,186,187,van
103,49,202,198,208,saab
91,43,165,197,207,van
83,46,167,185,191,bus
89,46,171,183,191,van
83,41,168,188,195,bus
86,42,171,180,182,bus
91,45,170,195,201,bus
108,52,229,189,201,saab
89,47,175,186,197,van
109,52,262,187,186,bus
87,37,154,186,192,saab
99,43,210,191,199,saab
94,47,320,188,196,van
85,37,179,191,197,opel
96,39,154,181,182,van
84,38,177,185,191,saab
101,52,208,193,202,saab
97,47,193,192,198,opel
96,54,221,186,194,opel
105,51,232,189,200,saab
104,54,223,187,196,opel
86,38,167,189,196,van
93,45,180,192,199,saab
102,54,228,187,198,opel
85,40,173,182,187,saab
97,44,216,190,197,saab
95,47,184,200,206,bus
102,55,226,187,199,saab
92,40,159,182,183,van
113,48,216,193,204,saab
89,47,175,182,193,van
104,54,218,187,196,saab
80,36,147,183,191,opel
98,46,184,200,203,bus
86,39,137,199,204,van
80,34,131,179,183,opel
92,37,180,195,202,bus
85,33,136,179,185,saab
81,38,147,177,184,opel
102,43,202,195,204,opel
91,35,169,197,203,opel
82,43,181,183,188,bus
89,41,181,191,195,bus
105,51,207,196,205,saab
86,45,172,187,191,bus
105,45,214,192,200,saab
91,38,196,189,198,opel
85,36,144,184,194,opel
96,44,167,192,202,van
86,39,140,190,194,van
81,45,167,179,183,bus
87,42,177,185,188,bus
87,41,171,188,195,bus
111,53,217,196,205,saab
103,56,219,186,194,opel
92,39,179,195,200,bus
106,55,225,186,196,opel
95,49,200,198,206,opel
111,58,285,181,183,bus
93,34,151,201,207,opel
93,39,200,188,195,saab
