@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
88,74,43,bus
101,107,32,opel
82,72,44,bus
93,82,43,van
91,70,51,van
85,66,46,bus
89,84,44,van
98,84,34,bus
101,103,34,opel
87,71,44,bus
104,107,31,saab
85,77,45,opel
94,83,43,van
100,95,32,bus
106,106,32,saab
98,81,40,saab
84,53,59,saab
90,78,42,opel
93,85,44,van
104,89,31,bus
86,64,45,saab
85,40,61,saab
101,108,31,saab
85,75,44,van
91,88,38,saab
89,60,56,van
89,70,53,van
100,81,40,saab
87,70,45,bus
113,109,26,bus
89,72,45,bus
90,85,43,van
96,77,36,bus
93,90,44,van
86,75,43,bus
97,76,41,opel
101,105,31,opel
103,101,33,opel
80,64,51,opel
86,86,39,saab
89,77,41,saab
85,82,43,van
91,93,36,opel
106,98,30,opel
91,86,37,opel
101,98,34,saab
91,66,48,van
104,109,30,opel
106,105,27,bus
94,72,41,bus
103,107,30,opel
93,73,49,van
90,57,51,van
86,58,57,van
88,88,40,opel
94,69,43,saab
100,89,32,bus
90,85,41,saab
85,72,51,opel
88,69,48,opel
86,63,50,saab
86,70,45,bus
96,69,47,saab
89,77,45,saab
98,104,32,saab
86,44,57,van
103,83,38,opel
95,76,42,van
99,74,39,bus
89,82,43,saab
99,104,32,opel
82,70,48,van
100,109,30,opel
105,93,30,bus
93,85,44,van
93,90,36,saab
102,98,31,opel
91,101,34,opel
80,68,45,bus
96,64,52,van
83,68,44,bus
79,55,48,saab
83,69,49,opel
100,70,40,bus
82,51,50,saab
