@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R3,12,17-19'

@attribute Distance_circularity numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
53,221,179,183,van
64,344,199,206,bus
85,356,185,196,van
87,366,183,194,van
106,675,192,202,saab
79,404,199,208,saab
70,269,183,183,van
91,466,192,200,opel
53,227,176,184,opel
68,242,195,196,van
84,430,190,195,opel
65,321,179,182,bus
66,326,181,185,bus
83,576,193,191,bus
103,711,188,199,saab
79,524,195,195,bus
71,307,187,196,van
66,330,184,191,bus
101,511,194,206,saab
64,264,193,201,van
107,670,192,206,opel
80,406,199,204,opel
81,313,194,202,van
70,273,186,187,van
100,518,198,208,saab
88,326,197,207,van
73,327,185,191,bus
77,351,183,191,van
70,309,188,195,bus
65,327,180,182,bus
76,340,195,201,bus
109,687,189,201,saab
85,349,186,197,van
95,776,187,186,bus
60,243,186,192,saab
89,521,191,199,saab
85,354,188,196,van
80,348,191,197,opel
58,255,181,182,van
83,327,185,191,saab
101,527,193,202,saab
81,426,192,198,opel
104,682,186,194,opel
108,711,189,200,saab
91,697,187,196,opel
76,301,189,196,van
81,383,192,199,saab
98,692,187,198,opel
75,339,182,187,saab
95,526,190,197,saab
73,430,200,206,bus
101,719,187,199,saab
66,277,182,183,van
98,613,193,204,saab
80,369,182,193,van
101,669,187,196,saab
69,240,183,191,opel
77,422,200,203,bus
62,203,199,204,van
42,191,179,183,opel
75,393,195,202,bus
50,193,179,185,saab
53,259,177,184,opel
96,513,195,204,opel
66,322,197,203,opel
73,337,183,188,bus
76,373,191,195,bus
105,545,196,205,saab
71,321,187,191,bus
100,586,192,200,saab
76,415,189,198,opel
72,233,184,194,opel
85,355,192,202,van
58,204,190,194,van
68,333,179,183,bus
70,327,185,188,bus
76,327,188,195,bus
108,636,196,205,saab
100,684,186,194,opel
76,350,195,200,bus
96,717,186,196,opel
92,478,198,206,opel
105,1018,181,183,bus
66,251,201,207,opel
87,422,188,195,saab
