@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
37,72,60,50,van
38,76,59,47,van
44,85,66,43,van
41,80,62,45,van
48,85,64,43,van
46,85,66,44,van
45,66,58,47,van
43,84,55,44,van
46,88,68,43,van
42,85,58,44,van
43,85,54,44,van
43,68,64,48,van
39,60,60,55,van
41,64,61,51,van
45,73,68,46,van
42,89,61,44,van
49,87,54,43,van
39,62,59,57,van
47,81,62,45,van
49,87,64,43,van
43,70,55,51,van
42,64,62,51,van
36,68,60,50,van
41,82,65,46,van
48,77,56,44,van
46,90,67,43,van
38,60,62,58,van
40,62,49,52,van
37,70,62,48,van
45,85,68,44,van
42,66,53,51,van
42,64,64,50,van
42,64,68,49,van
43,76,57,44,van
43,78,64,48,van
34,58,59,52,van
44,70,58,49,van
46,91,70,43,van
45,80,63,46,van
39,58,55,57,van
41,62,56,52,van
48,83,64,43,van
35,44,54,57,van
44,78,68,46,van
50,84,57,44,van
49,85,57,43,van
40,66,48,50,van
45,81,102,44,van
36,60,56,56,van
37,76,55,51,van
42,85,66,44,van
45,82,56,43,van
47,85,58,44,van
46,78,63,43,van
37,69,63,48,van
39,68,56,52,van
47,85,64,42,van
40,60,56,56,van
40,53,53,53,van
36,70,61,50,van
36,66,61,50,van
45,83,56,43,van
40,79,64,46,van
48,84,63,44,van
36,51,52,57,van
36,51,56,57,van
48,81,60,44,van
40,81,68,46,van
46,84,66,43,van
40,73,58,49,van
42,63,59,50,van
43,81,97,45,van
43,70,105,48,van
37,70,52,53,van
40,66,59,54,van
48,83,72,42,van
47,75,53,44,van
35,70,58,53,van
42,70,56,53,van
39,68,52,53,van
44,69,64,49,van
48,75,58,43,van
47,80,54,43,van
45,71,63,46,van
44,84,55,44,van
47,81,64,44,van
45,85,63,43,van
46,92,63,42,van
47,83,133,43,van
46,73,58,43,van
47,85,58,44,van
35,58,58,55,van
47,73,58,42,van
49,82,56,43,van
36,53,58,57,van
37,60,54,56,van
35,64,57,57,van
39,64,48,52,van
46,85,64,42,van
38,66,52,52,van
46,75,55,43,van
44,76,54,44,van
43,88,61,45,van
40,77,65,46,van
39,82,68,46,van
47,87,64,43,van
37,62,53,55,van
41,63,59,55,van
43,82,54,43,van
41,79,63,46,van
39,57,48,51,van
46,77,52,44,van
39,58,51,52,van
37,49,55,55,van
44,84,62,46,van
44,66,63,48,van
42,68,64,52,van
48,78,59,43,van
38,70,66,47,van
47,88,64,43,van
35,60,59,52,van
39,77,62,47,van
37,51,52,57,van
43,72,64,49,van
45,80,64,45,van
41,82,63,46,van
44,78,63,47,van
36,68,54,52,van
47,85,65,43,van
43,66,65,48,van
41,84,57,45,van
48,78,56,43,van
36,63,57,50,van
44,85,56,43,van
41,75,51,49,van
37,68,60,51,van
40,70,50,50,van
38,58,56,57,van
45,87,67,44,van
41,66,52,50,van
46,76,66,42,van
44,80,58,44,van
44,88,67,43,van
37,51,54,56,van
47,85,138,43,van
41,66,56,53,van
44,90,65,44,van
37,70,61,49,van
36,66,55,56,van
46,80,62,43,van
36,68,59,47,van
38,66,55,51,van
45,81,67,46,van
45,88,67,43,van
48,78,60,43,van
38,74,59,49,van
39,68,49,51,van
46,74,59,44,van
38,70,52,53,van
39,78,66,48,van
43,70,52,49,van
47,84,55,44,van
47,85,60,43,van
43,88,66,45,van
37,53,59,55,van
47,85,66,44,van
46,82,58,43,van
46,88,64,44,van
41,84,58,45,van
42,66,58,50,van
42,80,66,44,van
36,53,57,57,van
49,82,56,43,van
43,85,64,43,van
41,62,60,52,van
35,47,55,57,van
37,52,54,58,van
40,62,59,52,van
45,85,59,43,van
54,106,68,32,saab
40,63,56,50,saab
56,103,73,30,saab
39,89,62,38,saab
33,40,57,61,saab
40,72,59,50,saab
37,80,58,42,saab
48,85,64,39,saab
48,90,60,38,saab
54,98,65,31,saab
48,98,62,33,saab
51,105,56,32,saab
38,75,53,47,saab
51,112,59,32,saab
39,88,63,38,saab
54,102,64,31,saab
48,107,61,32,saab
36,78,57,43,saab
54,102,65,33,saab
55,100,66,31,saab
48,104,63,33,saab
37,63,58,54,saab
53,95,65,34,saab
41,69,56,47,saab
49,109,59,32,saab
55,101,67,30,saab
54,108,68,31,saab
38,71,66,43,saab
53,98,60,31,saab
34,66,59,47,saab
42,101,59,36,saab
37,60,57,52,saab
35,53,57,59,saab
49,109,61,31,saab
38,86,60,39,saab
41,66,58,46,saab
38,77,62,45,saab
47,96,64,33,saab
36,77,60,45,saab
36,69,63,48,saab
51,105,54,32,saab
53,108,64,32,saab
40,100,58,37,saab
35,52,57,55,saab
39,86,59,39,saab
51,100,60,34,saab
54,100,69,30,saab
54,105,62,33,saab
54,103,63,30,saab
52,108,64,31,saab
38,83,54,45,saab
40,75,56,44,saab
36,75,55,48,saab
44,96,63,36,saab
50,106,66,32,saab
46,77,60,42,saab
52,104,59,32,saab
37,86,60,42,saab
40,98,64,38,saab
53,108,63,31,saab
52,104,60,31,saab
53,105,66,32,saab
37,76,63,40,saab
50,90,61,36,saab
54,100,61,31,saab
36,72,60,44,saab
37,54,61,50,saab
40,62,62,45,saab
51,104,67,32,saab
