@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R6-7,14,19'

@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
10,207,73,saab
10,208,74,opel
6,192,76,bus
7,146,83,saab
8,164,63,opel
11,224,70,opel
6,147,80,opel
12,221,72,saab
8,150,82,bus
5,134,79,saab
7,134,75,van
5,125,74,saab
7,127,74,van
6,150,66,opel
10,213,73,opel
6,158,73,bus
7,152,81,bus
11,214,74,opel
9,172,63,opel
7,150,71,bus
11,157,76,van
10,222,71,opel
12,155,76,van
7,155,65,saab
10,215,73,saab
10,181,69,saab
7,148,72,bus
10,221,73,saab
8,149,85,bus
10,181,62,opel
10,156,76,van
10,222,71,opel
5,148,86,saab
8,156,70,opel
7,168,67,saab
6,146,75,bus
11,217,72,saab
7,125,78,saab
6,164,71,bus
6,144,69,saab
11,207,71,opel
11,161,77,van
10,143,68,van
8,200,67,opel
6,183,73,bus
4,222,83,bus
8,167,67,opel
7,163,67,opel
11,206,65,opel
10,158,66,van
6,239,82,bus
7,150,87,bus
6,145,71,opel
11,175,62,saab
7,149,85,bus
6,116,65,van
5,186,75,bus
8,139,64,van
7,130,78,van
9,151,70,van
9,187,67,saab
10,163,73,van
10,211,67,saab
12,157,69,van
7,197,74,bus
10,196,65,saab
6,154,71,bus
11,217,71,opel
10,198,72,saab
8,153,67,bus
10,155,69,van
7,152,84,bus
10,156,77,van
4,237,82,bus
7,150,80,bus
11,215,75,opel
10,157,78,van
22,151,88,bus
11,161,74,van
9,145,64,van
8,156,74,opel
6,160,71,saab
8,158,67,saab
7,135,66,saab
5,120,73,van
