@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,8,15,17,19'

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
97,73,65,42,13,200,bus
86,62,61,54,2,200,van
94,79,71,37,6,197,bus
88,77,58,47,10,198,saab
90,86,126,44,0,185,van
95,104,67,32,5,186,opel
107,103,66,32,0,191,opel
91,83,60,38,0,188,saab
91,84,75,38,3,196,bus
104,100,59,33,10,191,saab
94,87,64,43,4,184,van
95,105,68,33,5,191,opel
92,82,63,45,9,199,van
89,70,62,45,2,186,bus
100,104,60,34,13,189,saab
103,107,64,30,0,189,opel
93,64,69,49,2,193,van
87,74,58,44,1,187,saab
84,90,60,37,4,190,opel
107,104,71,31,19,189,saab
81,71,56,44,3,180,bus
90,74,60,42,6,197,saab
89,58,58,54,7,199,van
83,68,61,45,1,185,bus
85,57,56,58,17,197,van
99,101,62,30,2,186,opel
94,66,62,50,8,196,van
85,53,58,58,3,185,saab
83,54,55,52,4,180,saab
93,88,66,38,0,195,saab
96,103,69,33,6,187,opel
82,66,54,52,17,183,saab
94,72,72,41,0,200,bus
97,91,63,45,18,197,van
91,78,61,45,13,189,van
87,77,59,44,15,184,opel
106,100,67,27,5,182,bus
100,109,67,30,6,189,opel
90,83,63,37,1,189,saab
87,64,64,50,7,193,van
88,78,62,48,4,194,opel
101,108,54,31,4,190,opel
93,72,56,50,5,200,saab
85,70,54,45,8,181,bus
89,69,57,50,3,193,opel
85,70,56,45,10,181,bus
93,64,51,51,16,185,van
91,75,75,42,8,192,bus
94,74,59,41,6,198,opel
95,71,64,45,8,195,bus
85,66,52,44,13,180,opel
82,71,68,45,7,181,bus
94,89,71,35,4,195,bus
104,103,72,30,11,186,opel
108,109,57,31,12,189,saab
95,71,61,43,5,196,saab
88,76,62,48,3,201,van
86,61,53,46,8,179,bus
104,105,61,32,0,193,saab
88,70,74,44,1,186,bus
97,66,64,52,6,195,van
104,105,68,32,9,189,opel
108,104,56,31,15,189,saab
83,59,53,52,12,177,van
88,66,57,54,8,193,van
88,71,70,46,4,188,bus
95,104,66,35,0,190,saab
85,66,58,48,2,182,saab
91,77,59,48,8,201,van
96,70,70,39,17,200,bus
108,103,62,32,6,189,saab
102,98,61,29,9,188,bus
104,101,65,31,12,187,saab
85,73,69,46,2,190,van
88,55,53,53,0,176,van
100,98,63,30,8,189,bus
107,92,62,35,12,195,opel
88,70,66,44,5,193,bus
97,105,64,33,2,193,opel
92,93,67,35,2,188,opel
85,63,55,55,20,195,opel
98,72,69,38,1,200,bus
95,96,65,35,6,190,opel
90,72,64,48,9,196,van
