@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
9,268,71,201,van
9,334,65,206,van
7,254,73,191,van
11,370,76,192,van
9,330,72,199,van
10,265,67,201,van
7,212,61,207,van
10,351,78,191,van
7,249,78,184,van
6,223,76,188,van
3,203,89,184,van
7,246,69,196,van
5,207,86,183,van
8,269,80,183,van
11,367,73,194,van
6,273,78,187,van
8,331,70,199,van
10,349,74,197,van
7,278,72,193,van
10,359,74,197,van
9,333,75,195,van
11,372,70,200,van
5,209,72,190,van
9,359,68,202,van
5,194,72,194,van
9,258,66,201,van
8,291,73,196,van
6,206,80,185,van
9,309,63,207,van
6,243,63,206,van
10,367,76,192,van
46,332,91,196,van
11,350,73,196,van
8,283,65,203,van
8,253,78,183,van
11,356,72,196,van
49,346,118,194,van
10,363,75,195,van
8,289,62,209,van
11,373,76,193,van
9,285,69,201,van
10,371,75,192,van
10,348,66,203,van
10,351,75,196,van
9,345,73,197,van
7,275,81,184,van
7,261,85,182,van
6,253,65,203,van
9,281,67,202,van
9,268,69,197,van
55,289,99,199,van
11,354,74,192,van
9,314,70,200,van
8,251,72,187,van
8,307,72,196,van
8,265,62,209,van
7,262,78,185,van
9,323,70,200,van
8,241,62,210,van
9,313,66,202,van
11,387,71,196,van
9,347,65,204,van
11,368,72,197,van
6,282,79,185,van
9,356,79,191,van
10,363,75,194,van
7,259,65,204,van
11,362,76,193,van
9,237,72,194,van
8,294,73,196,van
10,345,72,197,van
8,318,71,197,van
5,241,75,187,van
11,352,76,193,van
49,354,135,196,van
11,374,75,193,van
8,294,62,208,van
7,250,84,183,van
6,246,61,208,van
3,204,88,183,van
9,266,66,202,van
11,369,77,193,van
9,330,72,200,van
8,265,62,208,van
10,364,75,197,van
6,195,64,202,van
9,326,64,207,van
43,347,90,192,van
10,355,67,202,van
6,209,65,199,van
10,357,73,195,van
11,365,75,192,van
5,219,85,184,van
8,309,67,203,van
9,311,71,197,van
7,284,77,185,van
10,264,67,201,van
9,324,71,199,van
9,280,68,202,van
2,208,90,183,van
6,227,66,198,van
8,305,71,199,van
9,316,64,207,van
5,221,82,183,van
6,247,86,183,van
9,262,69,195,van
8,256,69,192,van
7,278,64,205,van
11,355,74,195,van
8,301,71,196,van
25,296,67,202,van
48,364,97,194,van
8,260,67,201,van
8,253,70,194,van
8,258,80,184,van
7,225,63,208,van
6,203,64,204,van
8,307,71,199,van
8,249,68,201,van
8,284,71,195,van
7,249,87,183,van
6,211,67,198,van
7,272,75,191,van
9,305,70,201,van
4,205,85,183,van
9,325,72,198,van
5,207,81,184,van
6,196,74,190,van
11,369,77,192,van
11,349,74,193,van
7,225,63,206,van
12,351,75,195,van
5,213,82,183,van
5,204,69,194,van
8,281,63,210,van
7,280,72,194,van
9,238,71,190,van
6,222,64,203,van
11,366,76,192,van
6,255,86,182,van
7,223,64,208,van
10,317,70,199,van
6,275,73,188,van
8,253,63,210,van
10,357,74,196,van
11,365,75,191,van
11,366,75,194,van
4,208,78,186,van
10,339,71,200,van
