@relation 'vehicle-weka.filters.unsupervised.attribute.Remove-V-R2,5-7,9-10,12,19'

@attribute Circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
54,61,10,216,24,173,686,saab
37,63,8,164,20,134,405,saab
38,51,6,142,19,130,299,saab
55,70,9,210,24,168,661,opel
50,63,9,193,22,161,567,opel
41,56,7,146,19,137,317,opel
44,68,9,142,18,147,305,van
40,55,7,147,19,135,311,opel
37,55,6,125,18,125,229,opel
46,62,11,159,20,156,366,van
43,54,8,150,19,145,329,bus
40,64,9,144,19,139,311,van
45,64,6,147,19,143,320,bus
37,68,7,151,19,131,347,bus
42,66,7,145,19,140,325,bus
55,59,7,240,26,168,866,bus
46,64,8,162,20,149,396,opel
42,55,7,149,19,146,323,bus
36,56,7,138,18,126,286,opel
54,68,10,208,24,166,640,saab
44,53,6,151,19,147,333,bus
52,59,10,208,24,163,642,saab
42,68,9,134,18,142,268,van
37,74,5,165,20,128,419,bus
45,56,8,151,19,145,332,bus
41,51,7,140,18,141,284,van
55,65,11,212,24,165,673,opel
43,67,6,142,18,142,310,bus
39,60,7,119,17,134,212,van
37,53,6,122,17,129,218,van
57,51,8,257,28,172,954,bus
37,71,7,154,19,127,362,bus
45,58,8,151,19,146,334,bus
51,59,10,192,22,161,553,opel
41,56,9,126,18,144,237,van
37,54,5,120,17,127,213,van
44,63,8,142,18,148,300,van
52,59,9,188,22,161,530,opel
40,62,6,140,18,135,290,opel
44,59,6,151,19,145,343,opel
46,61,10,198,23,150,578,saab
47,58,9,152,19,155,345,van
38,66,25,140,18,139,296,van
36,56,4,120,17,124,209,opel
36,56,6,119,17,130,211,van
45,68,8,142,18,144,305,van
55,57,13,225,25,177,741,opel
48,60,11,161,20,159,374,van
45,60,9,157,20,149,370,saab
43,57,6,151,19,143,333,bus
55,68,11,215,24,170,679,opel
54,68,12,218,25,170,700,saab
40,58,8,177,21,133,471,saab
40,60,8,160,20,133,383,saab
43,54,6,150,19,144,325,bus
53,63,12,222,25,168,712,saab
54,66,11,214,24,167,677,saab
44,55,8,150,19,148,325,bus
43,62,8,153,19,144,344,bus
37,61,7,137,18,140,278,van
42,58,8,140,18,138,290,opel
44,69,5,143,18,143,306,bus
49,73,7,178,21,157,487,bus
43,69,6,177,21,139,484,bus
37,62,8,161,20,131,389,opel
41,63,10,179,21,140,481,opel
35,59,7,128,18,129,246,van
47,61,8,164,20,150,402,saab
37,67,8,154,19,129,353,saab
40,59,7,130,18,134,252,opel
40,62,9,169,20,139,430,saab
48,64,10,201,23,152,600,saab
55,61,11,225,25,178,730,opel
39,66,6,145,19,134,318,bus
48,65,9,197,23,152,584,saab
43,53,7,150,19,147,327,bus
44,64,7,135,18,145,272,van
54,62,12,218,24,170,694,saab
37,54,6,115,17,126,196,van
45,56,8,154,19,149,357,saab
51,56,11,210,24,163,650,saab
38,53,8,137,18,127,277,saab
57,54,13,224,25,188,726,opel
43,57,10,151,19,149,339,van
54,67,12,222,25,173,721,saab
