@relation vehicle

@attribute Compactness numeric
@attribute Praxis_rectangular numeric
@attribute Minor_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
89,19,13,197,van
93,19,17,203,van
83,18,6,183,van
93,19,13,196,van
83,17,16,184,van
95,20,4,193,van
86,17,8,207,van
94,19,6,197,van
90,20,0,195,van
83,17,7,185,van
94,19,14,202,van
94,20,6,199,van
89,17,19,207,van
85,20,21,193,van
94,18,2,196,van
85,18,14,203,van
96,19,10,202,van
89,19,7,197,van
90,19,0,195,van
91,18,5,197,van
89,18,17,191,van
93,18,29,204,van
96,18,0,182,van
90,20,11,192,van
92,17,5,194,van
93,18,13,190,van
85,17,5,184,van
85,17,18,190,van
85,18,0,199,van
98,20,9,202,van
95,19,8,207,van
93,18,4,190,van
98,18,10,187,van
96,19,15,202,van
91,18,9,194,van
97,19,20,205,van
88,19,2,196,van
86,17,14,208,van
89,20,3,191,van
85,19,3,196,van
92,19,0,206,van
100,20,7,200,van
93,20,4,194,van
89,17,14,185,van
93,18,13,201,van
97,18,7,186,van
88,18,6,209,van
90,20,3,191,van
88,18,7,183,van
89,20,14,194,van
93,19,9,196,van
90,18,2,191,van
90,18,3,204,van
89,17,4,206,van
91,17,14,198,van
90,18,3,202,van
91,19,9,201,van
94,20,15,195,van
89,20,9,194,van
98,18,13,185,van
94,18,7,195,van
89,20,17,191,van
87,18,1,201,van
89,17,8,199,van
86,17,1,183,van
89,20,20,197,van
98,18,12,194,van
90,20,8,191,van
82,18,9,199,van
88,20,16,195,van
90,19,2,197,van
88,17,4,198,van
89,20,12,193,van
94,19,14,196,van
96,19,8,201,van
91,18,8,194,van
90,18,4,203,van
90,20,16,192,van
95,20,10,191,van
94,20,5,194,van
95,19,6,206,van
94,20,0,194,van
89,18,18,209,van
89,19,9,196,van
91,19,26,207,van
86,18,10,196,van
89,18,7,193,van
89,19,23,199,van
95,18,8,183,van
86,18,11,201,van
91,18,17,209,van
93,18,27,201,van
86,17,2,186,van
86,18,6,195,van
86,17,9,204,van
91,18,12,201,van
94,19,9,196,van
89,20,9,192,van
89,19,7,197,van
88,18,6,209,van
86,17,6,194,van
88,18,2,210,van
93,18,12,210,van
85,17,23,203,van
93,20,15,195,van
91,18,11,202,van
84,18,23,205,van
92,17,17,203,van
91,18,10,194,van
90,19,15,194,van
87,18,0,201,van
97,20,12,200,van
100,20,0,196,van
93,18,0,188,van
93,19,9,203,van
85,19,4,199,van
97,18,2,200,van
90,20,9,193,van
90,19,9,196,van
94,20,7,192,van
91,19,5,199,van
90,20,2,193,van
85,17,7,202,van
92,19,19,183,van
89,20,17,192,van
97,20,13,202,van
96,18,20,184,van
94,18,7,201,van
94,20,21,200,van
87,17,15,183,van
90,19,5,196,van
96,19,11,199,van
89,18,3,187,van
94,20,6,191,van
83,18,3,199,van
86,17,8,190,van
88,19,16,197,van
93,18,7,208,van
93,19,10,207,van
96,18,13,183,van
89,17,4,183,van
90,20,16,195,van
93,20,15,195,van
90,18,8,182,van
90,20,14,192,van
88,17,14,183,van
89,17,3,188,van
95,19,23,200,van
85,20,7,191,van
93,19,4,204,van
89,20,13,193,van
88,18,10,206,van
93,18,12,185,van
84,18,9,202,van
96,18,3,208,van
95,20,16,197,van
94,18,3,208,van
95,20,21,200,van
98,18,2,207,van
91,19,11,200,van
93,19,17,206,van
90,18,6,209,van
87,17,22,190,van
84,17,1,183,van
92,18,19,184,van
93,20,21,197,van
92,17,1,210,van
91,18,12,192,van
93,18,15,185,van
87,18,12,196,van
86,20,1,192,van
87,19,13,199,van
85,18,8,187,van
88,17,16,183,van
89,20,7,193,van
98,18,1,186,van
89,20,16,193,van
90,20,7,193,van
93,18,6,184,van
96,19,10,207,van
98,20,20,199,saab
116,24,28,206,saab
85,17,30,185,saab
91,20,7,191,saab
102,25,21,199,saab
107,25,28,199,saab
103,24,9,196,saab
104,24,22,201,saab
96,18,8,209,saab
98,22,1,199,saab
82,18,5,184,saab
113,24,25,199,saab
89,18,14,185,saab
83,18,13,184,saab
109,25,3,199,saab
82,18,4,182,saab
92,20,5,191,saab
93,20,11,199,saab
92,19,19,211,saab
78,19,4,185,saab
104,24,12,198,saab
89,19,1,192,saab
85,17,21,183,saab
98,20,19,205,saab
101,24,36,206,saab
98,23,19,196,saab
104,24,4,196,saab
92,19,9,195,saab
100,23,13,197,saab
99,23,4,197,saab
105,25,35,203,saab
110,24,2,199,saab
117,24,25,205,saab
83,18,3,183,saab
108,25,18,199,saab
93,22,21,197,saab
89,20,15,197,saab
96,21,34,202,saab
101,23,38,205,saab
107,25,21,203,saab
104,23,9,196,saab
107,25,7,197,saab
