@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
93,64,123,144,164,van
89,60,131,137,143,van
89,51,111,127,138,van
93,85,133,153,174,van
85,64,129,125,138,van
93,70,126,137,156,van
96,88,174,148,173,van
84,70,150,140,156,van
100,90,172,150,170,van
90,85,157,167,175,van
88,85,139,155,176,van
90,81,231,149,200,van
93,85,163,158,172,van
91,77,153,139,159,van
87,53,117,125,138,van
90,72,157,144,159,van
91,64,148,142,161,van
94,81,166,147,164,van
84,80,140,157,166,van
88,66,133,144,147,van
85,57,126,135,134,van
95,82,170,145,163,van
97,91,161,148,166,van
95,84,158,148,163,van
94,84,138,170,171,van
87,64,150,141,157,van
91,84,141,143,170,van
85,51,115,124,139,van
85,80,154,148,169,van
82,70,250,145,231,van
88,84,135,158,176,van
91,76,138,135,157,van
96,80,162,148,161,van
86,76,143,131,167,van
90,73,136,153,172,van
91,60,126,130,139,van
89,68,149,134,153,van
98,70,125,139,157,van
89,85,144,144,173,van
89,70,137,146,168,van
94,82,136,149,176,van
98,68,121,142,164,van
87,66,139,148,168,van
95,83,178,159,176,van
89,77,125,160,171,van
89,85,147,151,175,van
92,60,130,132,135,van
88,58,140,130,148,van
90,66,157,146,162,van
90,86,306,156,272,van
95,85,174,144,168,van
95,82,139,162,173,van
93,82,145,160,180,van
97,87,164,149,173,van
94,87,162,161,179,van
90,85,161,160,177,van
90,78,142,160,173,van
86,44,110,121,139,van
94,66,151,135,154,van
86,78,164,147,168,van
94,91,175,155,172,van
89,84,141,145,172,van
93,78,164,140,157,van
93,85,161,157,179,van
89,74,138,133,167,van
89,76,125,151,163,van
89,85,149,158,177,van
90,75,133,161,173,van
95,66,126,140,158,van
87,81,162,139,167,van
93,64,158,142,163,van
89,79,154,139,168,van
86,60,140,134,140,van
96,85,166,150,167,van
91,80,162,145,171,van
83,53,114,140,142,van
86,62,140,127,141,van
90,78,143,159,172,van
90,77,132,164,169,van
90,85,141,167,173,van
89,77,159,141,168,van
93,70,131,145,156,van
83,49,112,128,144,van
97,62,133,143,158,van
84,53,121,125,141,van
92,66,111,140,159,van
96,70,120,141,162,van
96,58,117,139,154,van
94,83,162,153,177,van
92,66,125,143,160,van
93,73,139,138,166,van
94,66,147,127,159,van
94,82,137,160,176,van
87,81,149,152,171,van
93,78,162,145,156,van
98,78,160,148,160,van
85,73,167,148,173,van
88,55,114,139,142,van
94,85,160,157,174,van
94,87,159,158,179,van
88,53,113,128,137,van
89,83,322,163,229,van
86,70,143,130,153,van
86,62,129,135,137,van
88,76,155,137,156,van
94,87,137,162,178,van
89,68,141,130,166,van
89,80,131,163,175,van
91,82,164,137,164,van
93,85,169,147,169,van
92,58,136,132,142,van
87,52,116,126,135,van
83,62,113,129,143,van
85,68,119,135,148,van
92,62,144,139,149,van
90,85,149,155,179,van
92,70,124,144,164,van
85,71,150,147,171,van
89,81,147,163,170,van
86,58,125,134,140,van
90,62,147,141,149,van
94,72,146,135,161,van
98,88,176,149,173,van
85,66,123,128,140,van
94,68,150,143,154,van
90,57,114,139,155,van
83,59,116,137,145,van
89,63,134,137,148,van
90,73,137,158,170,van
90,72,157,145,158,van
94,68,127,132,155,van
85,68,145,130,150,van
91,78,148,152,168,van
95,88,162,157,176,van
83,73,161,144,169,van
89,58,137,140,146,van
95,76,162,155,175,van
89,70,138,128,147,van
97,66,151,129,148,van
85,47,110,122,136,van
94,85,163,156,170,van
91,70,133,146,159,van
89,78,150,160,170,van
96,64,111,141,160,van
86,68,150,143,161,van
92,82,163,140,165,van
85,75,121,165,168,van
93,63,139,136,158,van
86,66,139,139,145,van
91,66,131,144,159,van
95,76,142,149,173,van
90,63,144,142,154,van
88,60,143,129,147,van
91,66,142,142,163,van
89,85,160,151,173,van
89,84,133,160,169,van
93,79,159,150,165,van
91,66,151,146,166,van
89,66,125,144,162,van
89,51,109,129,137,van
85,82,133,156,170,van
87,64,150,142,157,van
90,81,144,156,173,van
86,58,119,129,140,van
91,88,157,157,165,van
88,84,136,150,174,van
90,80,143,156,169,van
93,90,166,156,170,van
90,69,152,145,165,van
86,69,150,134,163,van
88,51,105,128,135,van
90,85,145,155,175,van
93,88,170,147,164,van
93,64,165,136,161,van
93,75,124,141,164,van
93,62,117,145,160,van
96,88,160,148,173,van
94,85,333,155,320,van
91,70,160,139,162,van
89,85,189,153,188,saab
101,101,231,171,232,saab
101,105,195,150,213,saab
112,104,197,159,223,saab
117,110,228,163,228,saab
98,109,202,154,207,saab
104,108,193,163,232,saab
102,105,214,152,214,saab
108,105,203,164,216,saab
85,53,127,121,137,saab
98,81,191,138,184,saab
88,77,151,142,165,saab
92,86,167,131,181,saab
115,100,205,166,229,saab
84,83,141,132,177,saab
90,83,187,154,205,saab
103,105,174,163,222,saab
90,85,184,125,187,saab
102,104,217,162,220,saab
107,108,213,163,216,saab
87,71,123,127,158,saab
85,75,137,134,173,saab
91,77,157,126,177,saab
107,104,231,172,226,saab
79,55,120,128,153,saab
110,104,191,162,226,saab
84,53,122,123,135,saab
103,100,194,160,202,saab
106,106,211,158,224,saab
86,66,133,136,155,saab
95,71,171,134,178,saab
95,104,208,148,210,saab
105,106,215,166,217,saab
91,83,176,132,190,saab
108,100,206,159,214,saab
99,105,219,165,221,saab
108,103,234,174,232,saab
88,57,132,125,151,saab
88,58,137,131,163,saab
86,66,138,133,162,saab
93,63,146,134,149,saab
88,63,130,130,141,saab
98,78,191,136,197,saab
98,96,203,157,207,saab
95,105,208,150,202,saab
87,74,152,136,174,saab
95,95,202,160,220,saab
109,103,220,167,229,saab
104,108,206,168,226,saab
78,63,115,130,162,saab
96,69,153,141,162,saab
85,75,132,131,171,saab
86,86,175,134,191,saab
104,96,211,156,207,saab
108,103,202,168,224,saab
104,107,222,173,232,saab
89,77,147,146,163,saab
90,89,181,132,200,saab
103,106,209,149,217,saab
86,63,135,135,152,saab
104,105,209,157,217,saab
101,85,191,153,192,saab
104,100,186,173,225,saab
82,54,117,126,146,saab
92,83,154,148,185,saab
99,89,195,144,210,saab
93,87,183,134,200,saab
92,78,165,128,169,saab
106,101,213,158,214,saab
103,106,172,168,220,saab
86,62,140,133,165,saab
89,52,121,125,139,saab
98,90,192,155,195,saab
89,83,169,150,189,saab
93,76,149,143,172,saab
109,96,206,150,219,saab
105,108,201,163,232,saab
97,105,225,167,226,saab
108,103,200,155,227,saab
89,77,161,129,174,saab
99,104,196,152,221,saab
106,108,207,168,229,saab
104,100,191,158,218,saab
93,72,144,123,158,saab
104,108,204,172,226,saab
94,85,186,139,184,saab
110,100,197,149,209,saab
85,50,104,118,136,saab
90,85,160,131,189,saab
91,83,170,134,197,saab
101,98,194,161,219,saab
100,104,184,147,222,saab
100,102,206,164,224,saab
85,66,136,137,164,saab
106,107,202,153,227,saab
84,75,136,125,166,saab
93,81,177,147,180,saab
80,63,129,130,168,saab
92,80,180,129,180,saab
87,60,132,129,154,saab
89,54,119,127,151,saab
101,101,197,162,208,saab
91,83,166,133,189,saab
91,83,162,128,163,saab
106,98,193,169,224,saab
90,74,171,128,177,saab
88,90,178,152,200,saab
91,98,192,135,194,saab
105,100,195,149,214,saab
89,82,156,129,179,saab
105,105,197,162,207,saab
89,77,188,151,190,saab
93,98,197,146,202,saab
88,82,155,149,180,saab
102,101,213,177,226,saab
97,95,202,144,216,saab
107,98,210,169,221,saab
96,100,178,134,205,saab
115,100,201,162,207,saab
108,103,212,162,228,saab
82,59,134,128,151,saab
92,71,174,133,181,saab
92,76,162,147,184,saab
95,81,176,152,196,saab
105,108,206,168,226,saab
100,104,189,163,220,saab
89,69,162,131,164,saab
91,79,176,148,184,saab
93,98,192,138,206,saab
84,77,150,143,175,saab
93,88,200,151,197,saab
96,78,170,139,197,saab
90,90,188,158,211,saab
83,54,118,127,146,saab
91,72,162,133,166,saab
94,69,161,143,175,saab
90,66,158,124,165,saab
104,101,197,172,218,saab
96,94,215,158,214,saab
104,101,190,166,218,saab
107,103,182,162,226,saab
101,108,228,168,229,saab
98,104,213,167,223,saab
98,101,203,152,216,saab
94,77,169,148,181,saab
119,106,220,167,223,saab
104,106,209,158,223,saab
110,104,223,164,223,saab
107,96,201,170,221,saab
96,74,187,134,183,saab
93,76,183,134,191,saab
86,77,165,128,174,saab
108,104,181,167,226,saab
89,80,151,139,166,saab
90,72,172,144,174,saab
96,101,201,143,218,saab
86,64,148,138,165,saab
113,98,208,151,216,saab
109,109,193,156,225,saab
112,110,186,159,232,saab
90,80,171,132,172,saab
107,98,203,167,229,saab
107,108,211,168,228,saab
91,75,136,131,165,saab
90,66,136,118,148,saab
107,108,228,170,223,saab
109,109,225,169,226,saab
101,112,201,162,223,saab
93,86,180,134,186,saab
108,109,182,171,229,saab
100,81,187,154,189,saab
111,108,211,167,217,saab
106,101,222,173,228,saab
109,109,221,169,226,saab
82,51,114,126,150,saab
82,66,126,127,148,saab
90,57,130,127,137,saab
85,40,115,119,130,saab
97,101,186,138,208,saab
86,78,146,124,155,saab
104,101,199,168,216,saab
89,89,174,133,202,saab
87,66,140,136,164,saab
97,96,195,144,202,saab
107,103,213,172,221,saab
105,100,220,170,232,saab
97,76,175,149,180,saab
91,88,189,132,197,saab
85,72,139,135,159,saab
97,104,219,171,222,saab
93,90,209,156,211,saab
108,109,189,174,229,saab
83,54,131,127,152,saab
91,72,142,140,168,saab
98,90,192,144,189,saab
86,70,140,145,170,bus
99,88,188,158,222,bus
94,73,186,127,171,bus
91,76,171,135,169,bus
98,86,207,161,212,bus
107,102,184,171,243,bus
83,70,166,143,166,bus
85,66,123,145,166,bus
83,71,156,147,174,bus
88,74,171,148,180,bus
94,89,213,145,204,bus
90,75,164,131,168,bus
82,73,154,143,178,bus
108,102,246,167,264,bus
92,76,180,131,179,bus
85,66,155,139,173,bus
99,77,197,139,202,bus
93,73,174,131,175,bus
81,68,120,147,170,bus
98,88,191,147,215,bus
82,71,154,143,171,bus
89,68,113,147,171,bus
88,71,165,141,167,bus
87,70,148,136,164,bus
86,70,122,144,170,bus
102,83,198,146,225,bus
89,76,188,136,174,bus
86,73,152,145,170,bus
83,70,155,141,168,bus
91,76,171,144,170,bus
80,71,133,146,170,bus
107,106,172,169,280,bus
81,68,169,146,173,bus
104,94,208,161,227,bus
90,79,185,130,178,bus
102,92,194,162,247,bus
91,75,185,147,178,bus
86,64,122,143,170,bus
89,76,183,136,181,bus
85,64,128,144,168,bus
89,72,160,147,166,bus
81,71,141,148,177,bus
96,74,199,128,188,bus
81,68,137,151,167,bus
94,72,193,133,184,bus
88,70,177,143,180,bus
82,63,123,147,166,bus
106,107,235,171,285,bus
94,75,184,133,175,bus
89,70,148,143,176,bus
80,71,128,147,171,bus
85,66,123,146,172,bus
98,84,219,154,208,bus
81,71,130,149,172,bus
106,105,164,165,269,bus
89,72,155,135,175,bus
94,68,170,142,164,bus
80,68,120,145,171,bus
105,93,173,159,254,bus
85,70,130,146,171,bus
85,70,120,145,169,bus
96,68,190,145,179,bus
89,75,162,136,175,bus
96,98,187,152,228,bus
98,70,182,124,184,bus
107,106,179,172,275,bus
91,66,169,140,169,bus
79,72,141,144,175,bus
102,85,193,146,217,bus
97,88,183,148,214,bus
86,70,126,145,166,bus
83,66,156,144,174,bus
96,77,177,134,205,bus
114,102,181,169,287,bus
88,70,151,143,163,bus
98,77,199,150,184,bus
106,103,161,166,266,bus
102,101,238,163,267,bus
84,68,148,142,168,bus
100,75,205,138,204,bus
97,72,187,144,178,bus
113,109,194,175,288,bus
100,98,204,156,232,bus
87,60,116,141,169,bus
88,78,186,134,185,bus
88,73,173,137,174,bus
95,73,195,152,184,bus
92,75,191,128,180,bus
97,70,173,129,167,bus
86,75,165,146,176,bus
111,105,183,174,285,bus
81,68,154,147,186,bus
80,68,135,145,170,bus
85,66,121,147,169,bus
82,70,155,138,172,bus
108,106,177,170,285,bus
83,71,152,142,172,bus
107,103,167,172,269,bus
85,66,130,143,173,bus
98,84,207,161,199,bus
94,70,186,144,171,bus
87,70,179,141,167,bus
100,89,199,159,219,bus
101,62,175,139,169,bus
81,68,148,144,175,bus
101,91,194,161,231,bus
103,103,170,160,254,bus
98,72,192,131,189,bus
102,98,201,165,246,bus
94,72,179,144,181,bus
85,59,132,144,166,bus
87,70,169,145,177,bus
87,70,139,142,177,bus
86,70,149,146,170,bus
107,98,199,168,258,bus
86,66,126,145,170,bus
79,74,141,149,175,bus
85,64,121,146,167,bus
101,104,185,168,275,bus
100,73,199,127,189,bus
96,82,161,141,215,bus
110,106,180,171,278,bus
87,71,159,146,175,bus
82,66,252,144,237,bus
85,66,122,141,172,bus
98,70,186,136,189,bus
100,81,197,158,206,bus
86,73,125,147,170,bus
95,73,191,126,184,bus
106,98,154,164,263,bus
87,76,159,138,184,bus
84,70,123,146,173,bus
82,68,139,143,169,bus
87,74,165,134,173,bus
100,80,206,156,206,bus
98,77,171,139,197,bus
88,70,166,134,167,bus
87,76,165,140,171,bus
86,61,119,144,169,bus
104,89,168,153,238,bus
83,68,139,146,172,bus
85,70,130,145,177,bus
80,68,123,147,169,bus
80,68,120,146,170,bus
82,72,118,147,174,bus
