@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
88,58,59,52,4,199,van
86,78,68,46,1,190,van
97,62,56,52,5,184,van
88,84,55,44,6,185,van
95,76,66,42,8,184,van
89,80,54,43,1,182,van
90,62,60,52,13,201,van
89,84,55,44,5,182,van
85,80,64,45,1,188,van
89,77,52,44,7,183,van
94,68,64,52,14,192,van
90,72,64,49,4,201,van
83,49,55,55,8,180,van
89,85,58,44,8,187,van
98,78,63,47,19,201,van
93,78,66,48,4,201,van
90,81,97,45,5,186,van
90,69,64,49,3,187,van
90,85,60,43,1,185,van
89,70,58,49,10,186,van
89,84,58,45,4,188,van
93,85,65,43,2,184,van
89,68,60,50,6,201,van
96,80,63,46,5,199,van
95,88,64,43,12,189,van
88,80,62,45,4,188,van
90,85,57,43,1,182,van
96,58,51,52,6,181,van
86,68,64,48,6,192,van
93,63,57,50,3,193,van
84,80,58,44,5,183,van
93,83,56,43,1,184,van
96,64,48,52,7,183,van
85,68,52,53,8,182,van
98,88,67,43,14,194,van
93,82,63,46,6,199,van
91,60,56,56,6,192,van
94,68,54,52,1,195,van
94,84,57,44,5,182,van
90,85,64,42,9,185,van
89,79,64,46,8,188,van
89,83,133,43,0,184,van
89,84,66,43,1,186,van
90,81,60,44,2,185,van
98,70,52,53,0,186,van
90,77,56,44,1,182,van
87,53,58,57,9,180,van
100,85,64,42,18,189,van
83,62,53,55,0,181,van
90,85,58,44,4,186,van
84,70,61,49,0,196,van
86,70,61,50,2,194,van
90,73,58,43,0,182,van
86,44,54,57,6,180,van
90,75,55,43,0,182,van
89,89,61,44,11,187,van
90,63,59,50,15,197,van
93,70,52,53,2,191,van
93,64,68,49,7,192,van
90,85,64,43,3,185,van
85,71,63,46,2,187,van
91,66,58,50,6,191,van
93,62,49,52,8,184,van
86,62,59,57,7,199,van
93,73,58,49,0,187,van
89,60,56,56,10,193,van
95,83,72,42,6,187,van
88,53,57,57,7,180,van
100,90,67,43,17,192,van
89,81,102,44,9,183,van
94,82,54,43,1,186,van
89,68,59,47,7,189,van
97,88,67,43,8,192,van
87,64,64,50,7,193,van
94,72,60,50,2,192,van
94,83,64,43,4,185,van
88,84,55,44,7,183,van
83,53,53,53,8,176,van
85,68,60,51,3,195,van
85,66,55,56,1,186,van
98,68,56,52,4,186,van
94,87,64,43,4,183,van
87,52,54,58,11,186,van
96,70,50,50,10,183,van
89,51,52,57,2,181,van
86,66,59,54,7,202,van
88,60,59,52,1,202,van
92,66,48,50,12,182,van
95,85,66,44,11,196,van
96,88,68,43,14,194,van
93,79,63,46,4,195,van
95,84,62,46,10,199,van
85,82,56,43,10,183,van
89,74,59,49,7,189,van
86,60,54,56,2,186,van
96,85,66,43,3,192,van
96,77,62,47,15,201,van
92,62,59,52,13,204,van
94,85,63,43,1,189,van
93,70,56,53,5,189,van
93,82,58,43,2,183,van
90,80,62,43,17,185,van
97,87,64,43,1,192,van
89,85,64,43,5,185,van
84,70,62,48,11,194,van
98,66,55,51,3,191,van
95,66,52,52,11,184,van
82,70,105,48,4,190,van
87,81,62,45,0,188,van
86,60,60,55,7,200,van
90,78,56,43,1,182,van
90,78,60,43,2,184,van
89,66,53,51,10,188,van
90,78,59,43,10,183,van
89,70,58,53,4,199,van
91,64,61,51,6,194,van
86,69,63,48,1,189,van
91,80,66,44,3,189,van
93,84,63,44,8,185,van
91,66,63,48,1,188,van
89,78,63,43,5,185,van
96,87,67,44,9,192,van
91,76,55,51,0,191,van
95,92,63,42,7,189,van
93,90,65,44,9,194,van
85,75,53,44,1,182,van
93,75,51,49,5,184,van
93,85,66,44,7,183,van
86,75,58,43,3,183,van
89,76,54,44,12,184,van
90,57,48,51,12,183,van
95,82,56,43,7,182,van
88,85,56,43,5,184,van
91,66,56,53,3,191,van
93,88,66,45,2,196,van
87,81,68,46,0,189,van
89,85,58,44,13,186,van
85,47,55,57,5,180,van
94,91,70,43,15,190,van
86,58,56,57,9,184,van
88,51,52,57,8,179,van
96,88,64,44,15,192,van
85,51,56,57,13,181,van
90,66,65,48,3,193,van
88,64,62,51,3,203,van
93,85,66,44,0,195,van
83,73,68,46,10,191,van
93,85,54,44,12,184,van
89,63,59,55,12,186,van
89,77,65,46,0,190,van
95,76,57,44,2,187,van
93,78,64,48,17,203,van
94,85,138,43,12,188,van
87,66,58,47,3,188,van
94,85,68,44,17,187,van
84,53,59,55,7,179,van
89,85,59,43,12,183,van
94,82,56,43,10,183,van
91,70,66,47,4,192,van
91,84,57,45,9,189,van
86,76,59,47,5,189,van
89,74,59,44,12,184,van
91,70,55,51,1,190,van
94,87,54,43,5,183,van
94,66,61,50,9,201,van
95,82,65,46,4,199,van
86,58,55,57,7,190,van
89,51,54,56,7,181,van
89,81,64,44,6,184,van
92,58,58,55,6,197,van
92,66,52,50,7,182,van
94,81,67,46,11,194,van
90,73,58,42,11,183,van
91,88,61,45,1,197,van
92,60,62,58,14,190,van
85,64,57,57,1,196,van
92,70,52,49,4,183,van
98,68,49,51,4,186,van
91,82,68,46,13,191,van
115,100,64,30,21,189,saab
109,96,64,33,4,190,saab
98,96,66,35,10,191,saab
96,94,67,35,8,193,saab
106,106,64,32,1,190,saab
94,85,62,39,2,200,saab
91,83,61,47,0,193,saab
92,80,67,43,6,190,saab
