@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
36,63,132,50,260,van
42,64,133,50,264,van
47,75,157,44,358,van
40,62,131,52,249,van
38,60,114,58,194,van
35,64,116,57,200,van
43,72,136,49,279,van
39,82,143,46,308,van
40,70,137,50,269,van
44,85,157,43,363,van
45,85,157,44,357,van
36,53,118,57,204,van
40,73,136,49,275,van
44,78,142,46,305,van
46,92,160,42,372,van
42,63,131,50,259,van
40,58,122,54,225,van
45,71,143,46,307,van
37,49,122,55,219,van
42,64,133,50,265,van
43,85,155,43,356,van
39,58,117,57,204,van
38,76,142,47,301,van
44,66,137,48,280,van
41,80,146,45,318,van
35,47,117,57,203,van
48,83,156,43,357,van
47,87,156,43,359,van
48,78,160,43,366,van
44,72,137,48,283,van
43,70,139,48,289,van
38,66,130,51,251,van
47,85,153,44,349,van
47,85,155,43,354,van
39,68,134,51,261,van
48,87,157,43,363,van
43,88,150,45,334,van
44,85,155,43,355,van
40,60,118,56,209,van
44,69,135,49,272,van
36,60,119,56,211,van
48,78,161,43,374,van
37,60,119,56,209,van
35,44,119,57,208,van
38,70,140,47,296,van
48,77,157,44,354,van
47,81,156,44,352,van
45,73,142,46,305,van
37,52,115,58,196,van
41,62,130,52,247,van
44,88,158,43,367,van
46,77,156,44,351,van
48,78,160,43,370,van
40,77,144,46,314,van
40,53,132,53,247,van
37,70,136,48,280,van
44,78,142,47,300,van
43,84,154,44,350,van
41,63,123,55,223,van
42,64,135,51,262,van
47,81,147,45,325,van
43,85,155,44,351,van
44,84,155,44,351,van
47,85,156,44,355,van
40,82,146,45,319,van
41,66,126,53,237,van
41,84,149,45,330,van
50,84,156,44,351,van
35,66,128,52,246,van
45,81,145,46,313,van
45,83,157,43,364,van
46,90,157,43,363,van
46,76,162,42,381,van
37,68,130,51,253,van
42,68,128,52,246,van
46,88,155,43,354,van
